"version","role","score","midgain_db","lower_cutoff_hz","upper_cutoff_hz","high_slope_100k_1meg_db_dec","ac_nrmse","tran_nrmse","power_w","area_p","power_delta_vs_selected_w","area_delta_vs_selected_p","ac_nrmse_delta_vs_selected","tran_nrmse_delta_vs_selected","notes"
"bjt2_sweep_ppa_rc120k_re3p9k_rb4p7m_c68n_cout10n_ch22p_r10k_c220p_ft250k","accepted_2bjt_current","","39.7601021","12.56994968","20409.38025254","-80.5594","0.136319434501","0.023733677809","6.517243343856e-5","1.820824e+8","2.858497273227e-6","81758.525817","0.011055166714","-1.391773694594e-4","current accepted 2BJT baseline"
"bjt2_autotopo_ceopr_rc125k_re4p05k_rb4p7m_c68n_cout10n_ch27p_r11k_c180p_ft175k","prior_autotopo_best","3.83078704","","12.394501","20114.103925","-83.5329","0.126874866409","0.02343218823","6.231393626022e-5","1.819982e+8","9.488650100017e-14","-2441.474183","0.001610598622","-4.406669484594e-4","best prior bjt2_autotopo_run_index row"
"bjt3_sweep_hfbuf_r10k_c150p","3bjt_performance_fallback","","39.5403745","10.59844607","20738.04885949","-87.1742","0.105900392044","0.029755172563","2.358623086371e-4","2.651698e+8","1.735483724718e-4","8.316917e+7","-0.019363875743","0.005882317385","Performance fallback for a hard high-frequency rolloff target; adds OPAMP/filter area and about 70 uW static power."
"bjt2_autotopo_lfrp_rc125k_re4p05k_rb4p7m_cin68n_c12_68n_cout10n_ch28p_r11k_c180p_ft175k","selected_autotopo","4.05260891","40.0618817","12.39399613","19837.85848766","-83.6903","0.125264267787","0.023872855178","6.231393616533e-5","1.820006e+8","0","0","0","0","meets relaxed hard gates but does not improve the current autotopo/reference score"
