"version","changed_family","changed_values","midgain_db","lower_cutoff_hz","upper_cutoff_hz","passband_ripple_db","out_pp","output_center","load_gain_delta_db","istatic_a","pdc_w","estimated_area_note","decision","notes"
"hflp_r47k_c47p","high_cutoff_shape","RLP=47k between vout_drv and vout_final; CLP=47p at vout_final; CLOAD_10P=10p retained at vout_final; CH1=CH2=CH3=30p","39.473536","10.5538","12098.28238","6.166948","0.188294","2.499756","-0.059884","3.31711e-5","1.658555e-4","adds one output low-pass resistor RLP=47k and one internal capacitor CLP=47p; external CLOAD_10P remains ppa_included=false","rejected_gain","log scan pass; rejected because the explicit output low-pass pole moves the upper cutoff below the 20 kHz bandwidth target; output LP pole with CLP+10p=59408.34 Hz; high slopes 10k-100k=-28.41 dB/dec, 20k-200k=-42.63 dB/dec, 100k-1Meg=-70.49 dB/dec"
"hflp_r68k_c33p","high_cutoff_shape","RLP=68k between vout_drv and vout_final; CLP=33p at vout_final; CLOAD_10P=10p retained at vout_final; CH1=CH2=CH3=30p","39.491053","10.56681","13525.2665","5.382914","0.188657","2.499755","-0.042367","3.31711e-5","1.658555e-4","adds one output low-pass resistor RLP=68k and one internal capacitor CLP=33p; external CLOAD_10P remains ppa_included=false","rejected_gain","log scan pass; rejected because the explicit output low-pass pole moves the upper cutoff below the 20 kHz bandwidth target; output LP pole with CLP+10p=54430.56 Hz; high slopes 10k-100k=-28.07 dB/dec, 20k-200k=-43.29 dB/dec, 100k-1Meg=-71.93 dB/dec"
"hflp_r68k_c47p","high_cutoff_shape","RLP=68k between vout_drv and vout_final; CLP=47p at vout_final; CLOAD_10P=10p retained at vout_final; CH1=CH2=CH3=30p","39.469523","10.54623","11347.40444","6.655424","0.18821","2.499756","-0.063897","3.31711e-5","1.658555e-4","adds one output low-pass resistor RLP=68k and one internal capacitor CLP=47p; external CLOAD_10P remains ppa_included=false","rejected_gain","log scan pass; rejected because the explicit output low-pass pole moves the upper cutoff below the 20 kHz bandwidth target; output LP pole with CLP+10p=41061.65 Hz; high slopes 10k-100k=-29.41 dB/dec, 20k-200k=-44.22 dB/dec, 100k-1Meg=-72.36 dB/dec"
"hflp_r100k_c22p","high_cutoff_shape","RLP=100k between vout_drv and vout_final; CLP=22p at vout_final; CLOAD_10P=10p retained at vout_final; CH1=CH2=CH3=30p","39.504195","10.57584","14848.46104","4.760418","0.188953","2.499755","-0.029225","3.31711e-5","1.658555e-4","adds one output low-pass resistor RLP=100k and one internal capacitor CLP=22p; external CLOAD_10P remains ppa_included=false","rejected_gain","log scan pass; rejected because the explicit output low-pass pole moves the upper cutoff below the 20 kHz bandwidth target; output LP pole with CLP+10p=49735.92 Hz; high slopes 10k-100k=-27.9 dB/dec, 20k-200k=-44.06 dB/dec, 100k-1Meg=-73.14 dB/dec"
"hflp_r100k_c33p","high_cutoff_shape","RLP=100k between vout_drv and vout_final; CLP=33p at vout_final; CLOAD_10P=10p retained at vout_final; CH1=CH2=CH3=30p","39.487029","10.5592","12481.0707","5.971593","0.188586","2.499756","-0.046391","3.31711e-5","1.658555e-4","adds one output low-pass resistor RLP=100k and one internal capacitor CLP=33p; external CLOAD_10P remains ppa_included=false","rejected_gain","log scan pass; rejected because the explicit output low-pass pole moves the upper cutoff below the 20 kHz bandwidth target; output LP pole with CLP+10p=37012.78 Hz; high slopes 10k-100k=-29.45 dB/dec, 20k-200k=-45.21 dB/dec, 100k-1Meg=-73.57 dB/dec"
"hflp_r150k_c15p","high_cutoff_shape","RLP=150k between vout_drv and vout_final; CLP=15p at vout_final; CLOAD_10P=10p retained at vout_final; CH1=CH2=CH3=30p","39.511565","10.5797","15457.36378","4.50942","0.189116","2.499754","-0.021855","3.31711e-5","1.658555e-4","adds one output low-pass resistor RLP=150k and one internal capacitor CLP=15p; external CLOAD_10P remains ppa_included=false","rejected_gain","log scan pass; rejected because the explicit output low-pass pole moves the upper cutoff below the 20 kHz bandwidth target; output LP pole with CLP+10p=42441.32 Hz; high slopes 10k-100k=-28.3 dB/dec, 20k-200k=-45.2 dB/dec, 100k-1Meg=-74.22 dB/dec"
"hflp_r150k_c22p","high_cutoff_shape","RLP=150k between vout_drv and vout_final; CLP=22p at vout_final; CLOAD_10P=10p retained at vout_final; CH1=CH2=CH3=30p","39.499989","10.56789","13423.77297","5.472058","0.18886","2.499755","-0.033431","3.31711e-5","1.658555e-4","adds one output low-pass resistor RLP=150k and one internal capacitor CLP=22p; external CLOAD_10P remains ppa_included=false","rejected_gain","log scan pass; rejected because the explicit output low-pass pole moves the upper cutoff below the 20 kHz bandwidth target; output LP pole with CLP+10p=33157.28 Hz; high slopes 10k-100k=-29.7 dB/dec, 20k-200k=-46.25 dB/dec, 100k-1Meg=-74.52 dB/dec"
