 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+02  4.31097437e-06  4.43248577e-08 
 2.37137371e+02  4.20450823e-06  4.32273798e-08 
 2.44061907e+02  4.10263034e-06  4.21773827e-08 
 2.51188643e+02  4.00512217e-06  4.11725903e-08 
 2.58523484e+02  3.91177457e-06  4.02108262e-08 
 2.66072506e+02  3.82238755e-06  3.92900102e-08 
 2.73841963e+02  3.73676991e-06  3.84081551e-08 
 2.81838293e+02  3.65473896e-06  3.75633635e-08 
 2.90068120e+02  3.57612029e-06  3.67538246e-08 
 2.98538262e+02  3.50074744e-06  3.59778115e-08 
 3.07255737e+02  3.42846165e-06  3.52336778e-08 
 3.16227766e+02  3.35911160e-06  3.45198549e-08 
 3.25461783e+02  3.29255312e-06  3.38348493e-08 
 3.34965439e+02  3.22864896e-06  3.31772396e-08 
 3.44746607e+02  3.16726853e-06  3.25456738e-08 
 3.54813389e+02  3.10828764e-06  3.19388669e-08 
 3.65174127e+02  3.05158824e-06  3.13555978e-08 
 3.75837404e+02  2.99705821e-06  3.07947070e-08 
 3.86812055e+02  2.94459110e-06  3.02550942e-08 
 3.98107171e+02  2.89408591e-06  2.97357156e-08 
 4.09732110e+02  2.84544684e-06  2.92355816e-08 
 4.21696503e+02  2.79858309e-06  2.87537541e-08 
 4.34010264e+02  2.75340859e-06  2.82893450e-08 
 4.46683592e+02  2.70984188e-06  2.78415129e-08 
 4.59726989e+02  2.66780580e-06  2.74094619e-08 
 4.73151259e+02  2.62722734e-06  2.69924387e-08 
 4.86967525e+02  2.58803744e-06  2.65897311e-08 
 5.01187234e+02  2.55017077e-06  2.62006654e-08 
 5.15822165e+02  2.51356560e-06  2.58246052e-08 
 5.30884444e+02  2.47816354e-06  2.54609490e-08 
 5.46386550e+02  2.44390943e-06  2.51091285e-08 
 5.62341325e+02  2.41075117e-06  2.47686069e-08 
 5.78761988e+02  2.37863951e-06  2.44388772e-08 
 5.95662144e+02  2.34752796e-06  2.41194609e-08 
 6.13055792e+02  2.31737256e-06  2.38099058e-08 
 6.30957344e+02  2.28813185e-06  2.35097853e-08 
 6.49381632e+02  2.25976661e-06  2.32186962e-08 
 6.68343918e+02  2.23223983e-06  2.29362582e-08 
 6.87859912e+02  2.20551654e-06  2.26621118e-08 
 7.07945784e+02  2.17956367e-06  2.23959178e-08 
 7.28618175e+02  2.15435000e-06  2.21373556e-08 
 7.49894209e+02  2.12984600e-06  2.18861223e-08 
 7.71791516e+02  2.10602375e-06  2.16419318e-08 
 7.94328235e+02  2.08285684e-06  2.14045136e-08 
 8.17523038e+02  2.06032028e-06  2.11736117e-08 
 8.41395142e+02  2.03839040e-06  2.09489843e-08 
 8.65964323e+02  2.01704480e-06  2.07304023e-08 
 8.91250938e+02  1.99626224e-06  2.05176490e-08 
 9.17275935e+02  1.97602258e-06  2.03105191e-08 
 9.44060876e+02  1.95630672e-06  2.01088178e-08 
 9.71627952e+02  1.93709651e-06  1.99123607e-08 
 1.00000000e+03  1.91837471e-06  1.97209728e-08 
 1.02920053e+03  1.90012493e-06  1.95344877e-08 
 1.05925373e+03  1.88233157e-06  1.93527475e-08 
 1.09018449e+03  1.86497977e-06  1.91756022e-08 
 1.12201845e+03  1.84805535e-06  1.90029089e-08 
 1.15478198e+03  1.83154481e-06  1.88345315e-08 
 1.18850223e+03  1.81543521e-06  1.86703405e-08 
 1.22320712e+03  1.79971422e-06  1.85102122e-08 
 1.25892541e+03  1.78436999e-06  1.83540288e-08 
 1.29568670e+03  1.76939120e-06  1.82016775e-08 
 1.33352143e+03  1.75476698e-06  1.80530505e-08 
 1.37246096e+03  1.74048686e-06  1.79080448e-08 
 1.41253754e+03  1.72654080e-06  1.77665616e-08 
 1.45378439e+03  1.71291912e-06  1.76285061e-08 
 1.49623566e+03  1.69961248e-06  1.74937876e-08 
 1.53992653e+03  1.68661186e-06  1.73623187e-08 
 1.58489319e+03  1.67390855e-06  1.72340156e-08 
 1.63117291e+03  1.66149410e-06  1.71087975e-08 
 1.67880402e+03  1.64936032e-06  1.69865866e-08 
 1.72782598e+03  1.63749927e-06  1.68673081e-08 
 1.77827941e+03  1.62590321e-06  1.67508894e-08 
 1.83020611e+03  1.61456461e-06  1.66372610e-08 
 1.88364909e+03  1.60347613e-06  1.65263551e-08 
 1.93865264e+03  1.59263059e-06  1.64181065e-08 
 1.99526231e+03  1.58202098e-06  1.63124521e-08 
 2.05352503e+03  1.57164042e-06  1.62093304e-08 
 2.11348904e+03  1.56148216e-06  1.61086822e-08 
 2.17520403e+03  1.55153958e-06  1.60104498e-08 
 2.23872114e+03  1.54180616e-06  1.59145772e-08 
