 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.53812860e+00  4.53812860e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.30344889e-05 
 5.00000000e-08  2.50000031e+00  4.53812855e+00  4.53812861e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -1.30344892e-05 
 1.00000000e-07  2.50000063e+00  4.53812845e+00  4.53812864e+00  2.50000003e+00  2.50000000e+00  2.50000000e+00 -1.30344900e-05 
 2.00000000e-07  2.50000126e+00  4.53812815e+00  4.53812873e+00  2.50000013e+00  2.50000000e+00  2.50000000e+00 -1.30344919e-05 
 4.00000000e-07  2.50000251e+00  4.53812698e+00  4.53812940e+00  2.50000080e+00  2.50000001e+00  2.50000000e+00 -1.30344968e-05 
 8.00000000e-07  2.50000503e+00  4.53812261e+00  4.53813409e+00  2.50000549e+00  2.50000013e+00  2.50000001e+00 -1.30344935e-05 
 1.60000000e-06  2.50001005e+00  4.53810738e+00  4.53816499e+00  2.50003639e+00  2.50000245e+00  2.50000039e+00 -1.30343359e-05 
 3.20000000e-06  2.50002010e+00  4.53805966e+00  4.53834000e+00  2.50021139e+00  2.50003317e+00  2.50000938e+00 -1.30330535e-05 
 6.40000000e-06  2.50004020e+00  4.53793191e+00  4.53911515e+00  2.50098651e+00  2.50030192e+00  2.50013916e+00 -1.30265249e-05 
 1.14000000e-05  2.50007157e+00  4.53770709e+00  4.54100869e+00  2.50287985e+00  2.50136305e+00  2.50086138e+00 -1.30096896e-05 
 1.64000000e-05  2.50010286e+00  4.53747872e+00  4.54320662e+00  2.50507739e+00  2.50302979e+00  2.50225205e+00 -1.29898161e-05 
 2.14000000e-05  2.50013406e+00  4.53725107e+00  4.54543516e+00  2.50730530e+00  2.50501050e+00  2.50409381e+00 -1.29696262e-05 
 2.64000000e-05  2.50016512e+00  4.53702409e+00  4.54765332e+00  2.50952262e+00  2.50712594e+00  2.50615048e+00 -1.29495343e-05 
 3.14000000e-05  2.50019601e+00  4.53679803e+00  4.54985693e+00  2.51172517e+00  2.50929309e+00  2.50829531e+00 -1.29295800e-05 
 3.64000000e-05  2.50022672e+00  4.53657312e+00  4.55204361e+00  2.51391057e+00  2.51147372e+00  2.51047041e+00 -1.29097850e-05 
 4.14000000e-05  2.50025720e+00  4.53634958e+00  4.55421125e+00  2.51607671e+00  2.51364992e+00  2.51264896e+00 -1.28901684e-05 
 4.64000000e-05  2.50028743e+00  4.53612764e+00  4.55635778e+00  2.51822152e+00  2.51581257e+00  2.51481801e+00 -1.28707487e-05 
 5.14000000e-05  2.50031737e+00  4.53590752e+00  4.55848117e+00  2.52034299e+00  2.51795658e+00  2.51697068e+00 -1.28515442e-05 
 5.64000000e-05  2.50034700e+00  4.53568945e+00  4.56057943e+00  2.52243911e+00  2.52007856e+00  2.51910286e+00 -1.28325727e-05 
 6.14000000e-05  2.50037629e+00  4.53547364e+00  4.56265060e+00  2.52450793e+00  2.52217591e+00  2.52121158e+00 -1.28138517e-05 
 6.64000000e-05  2.50040521e+00  4.53526032e+00  4.56469277e+00  2.52654755e+00  2.52424643e+00  2.52329449e+00 -1.27953984e-05 
 7.14000000e-05  2.50043372e+00  4.53504970e+00  4.56670405e+00  2.52855607e+00  2.52628808e+00  2.52534945e+00 -1.27772295e-05 
 7.64000000e-05  2.50046181e+00  4.53484201e+00  4.56868260e+00  2.53053167e+00  2.52829893e+00  2.52737451e+00 -1.27593614e-05 
 8.14000000e-05  2.50048944e+00  4.53463744e+00  4.57062664e+00  2.53247256e+00  2.53027711e+00  2.52936775e+00 -1.27418100e-05 
 8.64000000e-05  2.50051659e+00  4.53443622e+00  4.57253441e+00  2.53437699e+00  2.53222083e+00  2.53132736e+00 -1.27245910e-05 
 9.14000000e-05  2.50054323e+00  4.53423855e+00  4.57440420e+00  2.53624325e+00  2.53412833e+00  2.53325155e+00 -1.27077193e-05 
 9.64000000e-05  2.50056934e+00  4.53404463e+00  4.57623436e+00  2.53806969e+00  2.53599790e+00  2.53513859e+00 -1.26912097e-05 
 1.01400000e-04  2.50059488e+00  4.53385467e+00  4.57802327e+00  2.53985471e+00  2.53782787e+00  2.53698681e+00 -1.26750765e-05 
 1.06400000e-04  2.50061983e+00  4.53366886e+00  4.57976937e+00  2.54159673e+00  2.53961663e+00  2.53879456e+00 -1.26593334e-05 
 1.11400000e-04  2.50064418e+00  4.53348740e+00  4.58147114e+00  2.54329425e+00  2.54136263e+00  2.54056026e+00 -1.26439938e-05 
 1.16400000e-04  2.50066788e+00  4.53331048e+00  4.58312710e+00  2.54494581e+00  2.54306433e+00  2.54228236e+00 -1.26290706e-05 
 1.21400000e-04  2.50069093e+00  4.53313828e+00  4.58473585e+00  2.54654998e+00  2.54472026e+00  2.54395938e+00 -1.26145762e-05 
 1.26400000e-04  2.50071330e+00  4.53297098e+00  4.58629601e+00  2.54810540e+00  2.54632902e+00  2.54558986e+00 -1.26005227e-05 
 1.31400000e-04  2.50073496e+00  4.53280876e+00  4.58780626e+00  2.54961077e+00  2.54788923e+00  2.54717243e+00 -1.25869215e-05 
 1.36400000e-04  2.50075590e+00  4.53265178e+00  4.58926534e+00  2.55106482e+00  2.54939956e+00  2.54870573e+00 -1.25737837e-05 
 1.41400000e-04  2.50077609e+00  4.53250022e+00  4.59067203e+00  2.55246633e+00  2.55085876e+00  2.55018847e+00 -1.25611199e-05 
 1.46400000e-04  2.50079552e+00  4.53235424e+00  4.59202517e+00  2.55381415e+00  2.55226560e+00  2.55161942e+00 -1.25489402e-05 
 1.51400000e-04  2.50081416e+00  4.53221399e+00  4.59332364e+00  2.55510718e+00  2.55361893e+00  2.55299738e+00 -1.25372543e-05 
 1.56400000e-04  2.50083199e+00  4.53207961e+00  4.59456637e+00  2.55634434e+00  2.55491761e+00  2.55432122e+00 -1.25260715e-05 
 1.61400000e-04  2.50084901e+00  4.53195126e+00  4.59575237e+00  2.55752465e+00  2.55616061e+00  2.55558986e+00 -1.25154004e-05 
 1.66400000e-04  2.50086519e+00  4.53182906e+00  4.59688068e+00  2.55864714e+00  2.55734689e+00  2.55680224e+00 -1.25052493e-05 
 1.71400000e-04  2.50088051e+00  4.53171315e+00  4.59795037e+00  2.55971092e+00  2.55847551e+00  2.55795741e+00 -1.24956261e-05 
 1.76400000e-04  2.50089497e+00  4.53160366e+00  4.59896061e+00  2.56071514e+00  2.55954556e+00  2.55905442e+00 -1.24865382e-05 
 1.81400000e-04  2.50090854e+00  4.53150069e+00  4.59991059e+00  2.56165900e+00  2.56055618e+00  2.56009239e+00 -1.24779924e-05 
 1.86400000e-04  2.50092121e+00  4.53140436e+00  4.60079955e+00  2.56254175e+00  2.56150657e+00  2.56107050e+00 -1.24699952e-05 
 1.91400000e-04  2.50093298e+00  4.53131478e+00  4.60162681e+00  2.56336271e+00  2.56239598e+00  2.56198798e+00 -1.24625526e-05 
 1.96400000e-04  2.50094382e+00  4.53123203e+00  4.60239170e+00  2.56412123e+00  2.56322371e+00  2.56284409e+00 -1.24556703e-05 
 2.01400000e-04  2.50095374e+00  4.53115622e+00  4.60309363e+00  2.56481671e+00  2.56398912e+00  2.56363818e+00 -1.24493532e-05 
 2.06400000e-04  2.50096271e+00  4.53108741e+00  4.60373206e+00  2.56544863e+00  2.56469159e+00  2.56436961e+00 -1.24436062e-05 
 2.11400000e-04  2.50097073e+00  4.53102569e+00  4.60430649e+00  2.56601649e+00  2.56533059e+00  2.56503782e+00 -1.24384334e-05 
 2.16400000e-04  2.50097780e+00  4.53097112e+00  4.60481648e+00  2.56651985e+00  2.56590563e+00  2.56564229e+00 -1.24338386e-05 
