 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 1.71400000e-04  2.50088051e+00  4.99149534e+00  4.99178526e+00  2.50006455e+00  2.50006370e+00  2.50006331e+00 -1.56438325e-05 
 1.76400000e-04  2.50089497e+00  4.99149150e+00  4.99178639e+00  2.50006567e+00  2.50006487e+00  2.50006450e+00 -1.56438490e-05 
 1.81400000e-04  2.50090854e+00  4.99148788e+00  4.99178745e+00  2.50006672e+00  2.50006597e+00  2.50006562e+00 -1.56438644e-05 
 1.86400000e-04  2.50092121e+00  4.99148450e+00  4.99178844e+00  2.50006771e+00  2.50006701e+00  2.50006668e+00 -1.56438789e-05 
 1.91400000e-04  2.50093298e+00  4.99148135e+00  4.99178937e+00  2.50006863e+00  2.50006797e+00  2.50006767e+00 -1.56438924e-05 
 1.96400000e-04  2.50094382e+00  4.99147845e+00  4.99179023e+00  2.50006948e+00  2.50006887e+00  2.50006859e+00 -1.56439048e-05 
 2.01400000e-04  2.50095374e+00  4.99147579e+00  4.99179102e+00  2.50007026e+00  2.50006970e+00  2.50006944e+00 -1.56439161e-05 
 2.06400000e-04  2.50096271e+00  4.99147337e+00  4.99179173e+00  2.50007097e+00  2.50007046e+00  2.50007022e+00 -1.56439265e-05 
 2.11400000e-04  2.50097073e+00  4.99147120e+00  4.99179238e+00  2.50007161e+00  2.50007115e+00  2.50007093e+00 -1.56439357e-05 
 2.16400000e-04  2.50097780e+00  4.99146929e+00  4.99179295e+00  2.50007218e+00  2.50007176e+00  2.50007157e+00 -1.56439439e-05 
 2.21400000e-04  2.50098390e+00  4.99146762e+00  4.99179345e+00  2.50007267e+00  2.50007231e+00  2.50007214e+00 -1.56439509e-05 
 2.26400000e-04  2.50098903e+00  4.99146621e+00  4.99179388e+00  2.50007309e+00  2.50007278e+00  2.50007263e+00 -1.56439569e-05 
 2.31400000e-04  2.50099318e+00  4.99146506e+00  4.99179423e+00  2.50007343e+00  2.50007317e+00  2.50007305e+00 -1.56439618e-05 
 2.36400000e-04  2.50099635e+00  4.99146417e+00  4.99179451e+00  2.50007370e+00  2.50007350e+00  2.50007340e+00 -1.56439656e-05 
 2.41400000e-04  2.50099854e+00  4.99146353e+00  4.99179471e+00  2.50007390e+00  2.50007374e+00  2.50007367e+00 -1.56439682e-05 
 2.46400000e-04  2.50099974e+00  4.99146316e+00  4.99179484e+00  2.50007402e+00  2.50007392e+00  2.50007387e+00 -1.56439698e-05 
 2.51400000e-04  2.50099996e+00  4.99146304e+00  4.99179489e+00  2.50007406e+00  2.50007401e+00  2.50007399e+00 -1.56439702e-05 
 2.56400000e-04  2.50099919e+00  4.99146318e+00  4.99179487e+00  2.50007404e+00  2.50007404e+00  2.50007403e+00 -1.56439695e-05 
 2.61400000e-04  2.50099744e+00  4.99146359e+00  4.99179477e+00  2.50007393e+00  2.50007399e+00  2.50007401e+00 -1.56439677e-05 
 2.66400000e-04  2.50099470e+00  4.99146425e+00  4.99179460e+00  2.50007375e+00  2.50007386e+00  2.50007390e+00 -1.56439647e-05 
 2.71400000e-04  2.50099097e+00  4.99146517e+00  4.99179435e+00  2.50007350e+00  2.50007366e+00  2.50007373e+00 -1.56439607e-05 
 2.76400000e-04  2.50098627e+00  4.99146635e+00  4.99179403e+00  2.50007317e+00  2.50007338e+00  2.50007347e+00 -1.56439555e-05 
 2.81400000e-04  2.50098060e+00  4.99146779e+00  4.99179364e+00  2.50007277e+00  2.50007303e+00  2.50007315e+00 -1.56439493e-05 
 2.86400000e-04  2.50097396e+00  4.99146948e+00  4.99179317e+00  2.50007229e+00  2.50007260e+00  2.50007274e+00 -1.56439419e-05 
 2.91400000e-04  2.50096636e+00  4.99147142e+00  4.99179263e+00  2.50007174e+00  2.50007211e+00  2.50007227e+00 -1.56439335e-05 
 2.96400000e-04  2.50095780e+00  4.99147362e+00  4.99179201e+00  2.50007112e+00  2.50007154e+00  2.50007172e+00 -1.56439240e-05 
 3.01400000e-04  2.50094830e+00  4.99147606e+00  4.99179132e+00  2.50007042e+00  2.50007089e+00  2.50007110e+00 -1.56439134e-05 
 3.06400000e-04  2.50093786e+00  4.99147875e+00  4.99179057e+00  2.50006966e+00  2.50007018e+00  2.50007041e+00 -1.56439018e-05 
 3.11400000e-04  2.50092650e+00  4.99148168e+00  4.99178974e+00  2.50006882e+00  2.50006939e+00  2.50006965e+00 -1.56438891e-05 
 3.16400000e-04  2.50091423e+00  4.99148485e+00  4.99178884e+00  2.50006792e+00  2.50006853e+00  2.50006881e+00 -1.56438754e-05 
 3.21400000e-04  2.50090105e+00  4.99148825e+00  4.99178787e+00  2.50006694e+00  2.50006761e+00  2.50006791e+00 -1.56438607e-05 
 3.26400000e-04  2.50088698e+00  4.99149189e+00  4.99178684e+00  2.50006590e+00  2.50006661e+00  2.50006694e+00 -1.56438450e-05 
 3.31400000e-04  2.50087204e+00  4.99149576e+00  4.99178574e+00  2.50006480e+00  2.50006555e+00  2.50006590e+00 -1.56438283e-05 
 3.36400000e-04  2.50085623e+00  4.99149985e+00  4.99178457e+00  2.50006362e+00  2.50006443e+00  2.50006479e+00 -1.56438107e-05 
 3.41400000e-04  2.50083958e+00  4.99150417e+00  4.99178334e+00  2.50006239e+00  2.50006323e+00  2.50006362e+00 -1.56437921e-05 
 3.46400000e-04  2.50082210e+00  4.99150869e+00  4.99178204e+00  2.50006109e+00  2.50006198e+00  2.50006238e+00 -1.56437726e-05 
 3.51400000e-04  2.50080382e+00  4.99151343e+00  4.99178069e+00  2.50005972e+00  2.50006066e+00  2.50006109e+00 -1.56437521e-05 
 3.56400000e-04  2.50078473e+00  4.99151838e+00  4.99177927e+00  2.50005830e+00  2.50005928e+00  2.50005973e+00 -1.56437309e-05 
 3.61400000e-04  2.50076488e+00  4.99152352e+00  4.99177780e+00  2.50005682e+00  2.50005784e+00  2.50005831e+00 -1.56437087e-05 
 3.66400000e-04  2.50074426e+00  4.99152886e+00  4.99177627e+00  2.50005529e+00  2.50005635e+00  2.50005683e+00 -1.56436857e-05 
 3.71400000e-04  2.50072292e+00  4.99153439e+00  4.99177468e+00  2.50005370e+00  2.50005479e+00  2.50005529e+00 -1.56436620e-05 
 3.76400000e-04  2.50070086e+00  4.99154010e+00  4.99177304e+00  2.50005205e+00  2.50005319e+00  2.50005370e+00 -1.56436374e-05 
 3.81400000e-04  2.50067811e+00  4.99154599e+00  4.99177135e+00  2.50005035e+00  2.50005153e+00  2.50005206e+00 -1.56436121e-05 
 3.86400000e-04  2.50065469e+00  4.99155204e+00  4.99176961e+00  2.50004861e+00  2.50004981e+00  2.50005036e+00 -1.56435861e-05 
 3.91400000e-04  2.50063062e+00  4.99155827e+00  4.99176782e+00  2.50004681e+00  2.50004805e+00  2.50004862e+00 -1.56435593e-05 
 3.96400000e-04  2.50060593e+00  4.99156465e+00  4.99176598e+00  2.50004497e+00  2.50004624e+00  2.50004682e+00 -1.56435319e-05 
 4.01400000e-04  2.50058065e+00  4.99157118e+00  4.99176410e+00  2.50004308e+00  2.50004439e+00  2.50004498e+00 -1.56435039e-05 
 4.06400000e-04  2.50055479e+00  4.99157786e+00  4.99176217e+00  2.50004115e+00  2.50004249e+00  2.50004310e+00 -1.56434753e-05 
 4.11400000e-04  2.50052838e+00  4.99158467e+00  4.99176021e+00  2.50003918e+00  2.50004055e+00  2.50004117e+00 -1.56434460e-05 
 4.16400000e-04  2.50050145e+00  4.99159161e+00  4.99175820e+00  2.50003717e+00  2.50003857e+00  2.50003920e+00 -1.56434162e-05 
 4.21400000e-04  2.50047403e+00  4.99159868e+00  4.99175616e+00  2.50003513e+00  2.50003655e+00  2.50003720e+00 -1.56433860e-05 
 4.26400000e-04  2.50044614e+00  4.99160586e+00  4.99175409e+00  2.50003305e+00  2.50003449e+00  2.50003515e+00 -1.56433552e-05 
 4.31400000e-04  2.50041780e+00  4.99161315e+00  4.99175198e+00  2.50003094e+00  2.50003240e+00  2.50003307e+00 -1.56433239e-05 
 4.36400000e-04  2.50038906e+00  4.99162054e+00  4.99174984e+00  2.50002880e+00  2.50003028e+00  2.50003096e+00 -1.56432923e-05 
 4.41400000e-04  2.50035993e+00  4.99162803e+00  4.99174767e+00  2.50002663e+00  2.50002813e+00  2.50002882e+00 -1.56432603e-05 
 4.46400000e-04  2.50033045e+00  4.99163560e+00  4.99174548e+00  2.50002443e+00  2.50002596e+00  2.50002665e+00 -1.56432279e-05 
 4.51400000e-04  2.50030064e+00  4.99164324e+00  4.99174326e+00  2.50002221e+00  2.50002375e+00  2.50002446e+00 -1.56431951e-05 
 4.56400000e-04  2.50027053e+00  4.99165096e+00  4.99174102e+00  2.50001997e+00  2.50002153e+00  2.50002224e+00 -1.56431621e-05 
 4.61400000e-04  2.50024016e+00  4.99165874e+00  4.99173877e+00  2.50001771e+00  2.50001928e+00  2.50002000e+00 -1.56431289e-05 
 4.66400000e-04  2.50020955e+00  4.99166657e+00  4.99173649e+00  2.50001544e+00  2.50001702e+00  2.50001775e+00 -1.56430954e-05 
 4.71400000e-04  2.50017873e+00  4.99167445e+00  4.99173420e+00  2.50001315e+00  2.50001474e+00  2.50001547e+00 -1.56430618e-05 
 4.76400000e-04  2.50014774e+00  4.99168237e+00  4.99173190e+00  2.50001084e+00  2.50001245e+00  2.50001318e+00 -1.56430279e-05 
 4.81400000e-04  2.50011660e+00  4.99169032e+00  4.99172959e+00  2.50000853e+00  2.50001014e+00  2.50001088e+00 -1.56429940e-05 
 4.86400000e-04  2.50008535e+00  4.99169829e+00  4.99172727e+00  2.50000621e+00  2.50000783e+00  2.50000857e+00 -1.56429600e-05 
 4.91400000e-04  2.50005401e+00  4.99170627e+00  4.99172494e+00  2.50000388e+00  2.50000551e+00  2.50000625e+00 -1.56429259e-05 
 4.96400000e-04  2.50002262e+00  4.99171426e+00  4.99172262e+00  2.50000156e+00  2.50000318e+00  2.50000392e+00 -1.56428919e-05 
 5.01400000e-04  2.49999120e+00  4.99172225e+00  4.99172029e+00  2.49999923e+00  2.50000085e+00  2.50000160e+00 -1.56428578e-05 
 5.06400000e-04  2.49995980e+00  4.99173023e+00  4.99171796e+00  2.49999690e+00  2.49999852e+00  2.49999927e+00 -1.56428238e-05 
 5.11400000e-04  2.49992843e+00  4.99173819e+00  4.99171564e+00  2.49999458e+00  2.49999620e+00  2.49999694e+00 -1.56427899e-05 
 5.16400000e-04  2.49989714e+00  4.99174613e+00  4.99171332e+00  2.49999226e+00  2.49999388e+00  2.49999462e+00 -1.56427561e-05 
 5.21400000e-04  2.49986594e+00  4.99175404e+00  4.99171101e+00  2.49998995e+00  2.49999157e+00  2.49999231e+00 -1.56427224e-05 
 5.26400000e-04  2.49983488e+00  4.99176190e+00  4.99170871e+00  2.49998765e+00  2.49998926e+00  2.49999000e+00 -1.56426889e-05 
 5.31400000e-04  2.49980399e+00  4.99176972e+00  4.99170643e+00  2.49998537e+00  2.49998697e+00  2.49998770e+00 -1.56426557e-05 
 5.36400000e-04  2.49977328e+00  4.99177748e+00  4.99170416e+00  2.49998310e+00  2.49998469e+00  2.49998542e+00 -1.56426227e-05 
 5.41400000e-04  2.49974280e+00  4.99178518e+00  4.99170190e+00  2.49998085e+00  2.49998243e+00  2.49998315e+00 -1.56425899e-05 
 5.46400000e-04  2.49971257e+00  4.99179281e+00  4.99169967e+00  2.49997862e+00  2.49998018e+00  2.49998090e+00 -1.56425575e-05 
 5.51400000e-04  2.49968263e+00  4.99180036e+00  4.99169746e+00  2.49997641e+00  2.49997796e+00  2.49997867e+00 -1.56425255e-05 
 5.56400000e-04  2.49965300e+00  4.99180782e+00  4.99169527e+00  2.49997422e+00  2.49997575e+00  2.49997646e+00 -1.56424937e-05 
 5.61400000e-04  2.49962371e+00  4.99181519e+00  4.99169310e+00  2.49997206e+00  2.49997357e+00  2.49997427e+00 -1.56424624e-05 
 5.66400000e-04  2.49959479e+00  4.99182247e+00  4.99169097e+00  2.49996993e+00  2.49997142e+00  2.49997211e+00 -1.56424316e-05 
 5.71400000e-04  2.49956628e+00  4.99182963e+00  4.99168886e+00  2.49996783e+00  2.49996930e+00  2.49996998e+00 -1.56424012e-05 
 5.76400000e-04  2.49953819e+00  4.99183669e+00  4.99168679e+00  2.49996576e+00  2.49996721e+00  2.49996788e+00 -1.56423712e-05 
