 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.53648204e+00  4.53648204e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -2.37654244e-05 
 5.00000000e-08  2.50000031e+00  4.53648200e+00  4.53648205e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -2.37654246e-05 
 1.00000000e-07  2.50000063e+00  4.53648190e+00  4.53648207e+00  2.50000003e+00  2.50000000e+00  2.50000000e+00 -2.37654252e-05 
 2.00000000e-07  2.50000126e+00  4.53648162e+00  4.53648216e+00  2.50000012e+00  2.50000000e+00  2.50000000e+00 -2.37654267e-05 
 4.00000000e-07  2.50000251e+00  4.53648053e+00  4.53648275e+00  2.50000070e+00  2.50000003e+00  2.50000000e+00 -2.37654309e-05 
 8.00000000e-07  2.50000503e+00  4.53647656e+00  4.53648672e+00  2.50000468e+00  2.50000043e+00  2.50000005e+00 -2.37654307e-05 
 1.60000000e-06  2.50001005e+00  4.53646322e+00  4.53651143e+00  2.50002939e+00  2.50000516e+00  2.50000115e+00 -2.37653353e-05 
 3.20000000e-06  2.50002010e+00  4.53642383e+00  4.53663850e+00  2.50015646e+00  2.50004684e+00  2.50001772e+00 -2.37645981e-05 
 6.40000000e-06  2.50004020e+00  4.53632572e+00  4.53712901e+00  2.50064694e+00  2.50030046e+00  2.50017365e+00 -2.37612957e-05 
 1.14000000e-05  2.50007157e+00  4.53616212e+00  4.53817201e+00  2.50168982e+00  2.50106372e+00  2.50079370e+00 -2.37538912e-05 
 1.64000000e-05  2.50010286e+00  4.53599868e+00  4.53927982e+00  2.50279740e+00  2.50206551e+00  2.50173384e+00 -2.37459388e-05 
 2.14000000e-05  2.50013406e+00  4.53583572e+00  4.54037823e+00  2.50389548e+00  2.50313873e+00  2.50279271e+00 -2.37380615e-05 
 2.64000000e-05  2.50016512e+00  4.53567339e+00  4.54147193e+00  2.50498874e+00  2.50422759e+00  2.50387862e+00 -2.37302187e-05 
 3.14000000e-05  2.50019601e+00  4.53551183e+00  4.54255941e+00  2.50607566e+00  2.50531650e+00  2.50496816e+00 -2.37224218e-05 
 3.64000000e-05  2.50022672e+00  4.53535122e+00  4.54363963e+00  2.50715522e+00  2.50640035e+00  2.50605385e+00 -2.37146780e-05 
 4.14000000e-05  2.50025720e+00  4.53519170e+00  4.54471154e+00  2.50822636e+00  2.50747694e+00  2.50713287e+00 -2.37069950e-05 
 4.64000000e-05  2.50028743e+00  4.53503345e+00  4.54577409e+00  2.50928804e+00  2.50854492e+00  2.50820368e+00 -2.36993802e-05 
 5.14000000e-05  2.50031737e+00  4.53487662e+00  4.54682625e+00  2.51033922e+00  2.50960316e+00  2.50926510e+00 -2.36918409e-05 
 5.64000000e-05  2.50034700e+00  4.53472136e+00  4.54786700e+00  2.51137888e+00  2.51065062e+00  2.51031606e+00 -2.36843845e-05 
 6.14000000e-05  2.50037629e+00  4.53456783e+00  4.54889534e+00  2.51240603e+00  2.51168625e+00  2.51135554e+00 -2.36770181e-05 
 6.64000000e-05  2.50040521e+00  4.53441618e+00  4.54991026e+00  2.51341966e+00  2.51270908e+00  2.51238252e+00 -2.36697488e-05 
 7.14000000e-05  2.50043372e+00  4.53426657e+00  4.55091079e+00  2.51441880e+00  2.51371809e+00  2.51339601e+00 -2.36625835e-05 
 7.64000000e-05  2.50046181e+00  4.53411914e+00  4.55189598e+00  2.51540250e+00  2.51471234e+00  2.51439504e+00 -2.36555291e-05 
 8.14000000e-05  2.50048944e+00  4.53397404e+00  4.55286487e+00  2.51636980e+00  2.51569085e+00  2.51537864e+00 -2.36485924e-05 
 8.64000000e-05  2.50051659e+00  4.53383141e+00  4.55381653e+00  2.51731978e+00  2.51665269e+00  2.51634587e+00 -2.36417798e-05 
 9.14000000e-05  2.50054323e+00  4.53369141e+00  4.55475006e+00  2.51825153e+00  2.51759695e+00  2.51729581e+00 -2.36350979e-05 
 9.64000000e-05  2.50056934e+00  4.53355416e+00  4.55566457e+00  2.51916417e+00  2.51852271e+00  2.51822754e+00 -2.36285530e-05 
 1.01400000e-04  2.50059488e+00  4.53341981e+00  4.55655919e+00  2.52005682e+00  2.51942910e+00  2.51914018e+00 -2.36221512e-05 
 1.06400000e-04  2.50061983e+00  4.53328850e+00  4.55743306e+00  2.52092864e+00  2.52031525e+00  2.52003286e+00 -2.36158985e-05 
 1.11400000e-04  2.50064418e+00  4.53316034e+00  4.55828535e+00  2.52177880e+00  2.52118033e+00  2.52090473e+00 -2.36098009e-05 
 1.16400000e-04  2.50066788e+00  4.53303548e+00  4.55911527e+00  2.52260650e+00  2.52202351e+00  2.52175496e+00 -2.36038640e-05 
 1.21400000e-04  2.50069093e+00  4.53291404e+00  4.55992203e+00  2.52341096e+00  2.52284400e+00  2.52258276e+00 -2.35980933e-05 
 1.26400000e-04  2.50071330e+00  4.53279614e+00  4.56070487e+00  2.52419142e+00  2.52364102e+00  2.52338733e+00 -2.35924943e-05 
 1.31400000e-04  2.50073496e+00  4.53268190e+00  4.56146305e+00  2.52494714e+00  2.52441383e+00  2.52416793e+00 -2.35870721e-05 
 1.36400000e-04  2.50075590e+00  4.53257144e+00  4.56219586e+00  2.52567742e+00  2.52516169e+00  2.52492382e+00 -2.35818317e-05 
 1.41400000e-04  2.50077609e+00  4.53246486e+00  4.56290261e+00  2.52638157e+00  2.52588391e+00  2.52565428e+00 -2.35767780e-05 
 1.46400000e-04  2.50079552e+00  4.53236228e+00  4.56358264e+00  2.52705893e+00  2.52657980e+00  2.52635864e+00 -2.35719157e-05 
 1.51400000e-04  2.50081416e+00  4.53226379e+00  4.56423533e+00  2.52770887e+00  2.52724873e+00  2.52703623e+00 -2.35672491e-05 
 1.56400000e-04  2.50083199e+00  4.53216950e+00  4.56486005e+00  2.52833079e+00  2.52789006e+00  2.52768643e+00 -2.35627827e-05 
 1.61400000e-04  2.50084901e+00  4.53207952e+00  4.56545630e+00  2.52892418e+00  2.52850322e+00  2.52830864e+00 -2.35585198e-05 
 1.66400000e-04  2.50086519e+00  4.53199391e+00  4.56602343e+00  2.52948839e+00  2.52908765e+00  2.52890230e+00 -2.35544653e-05 
 1.71400000e-04  2.50088051e+00  4.53191277e+00  4.56656086e+00  2.53002284e+00  2.52964273e+00  2.52946680e+00 -2.35506232e-05 
 1.76400000e-04  2.50089497e+00  4.53183619e+00  4.56706818e+00  2.53052714e+00  2.53016796e+00  2.53000161e+00 -2.35469962e-05 
 1.81400000e-04  2.50090854e+00  4.53176423e+00  4.56754492e+00  2.53100080e+00  2.53066289e+00  2.53050627e+00 -2.35435879e-05 
 1.86400000e-04  2.50092121e+00  4.53169699e+00  4.56799062e+00  2.53144338e+00  2.53112706e+00  2.53098030e+00 -2.35404012e-05 
 1.91400000e-04  2.50093298e+00  4.53163451e+00  4.56840489e+00  2.53185448e+00  2.53156003e+00  2.53142328e+00 -2.35374391e-05 
 1.96400000e-04  2.50094382e+00  4.53157687e+00  4.56878732e+00  2.53223371e+00  2.53196140e+00  2.53183479e+00 -2.35347042e-05 
 2.01400000e-04  2.50095374e+00  4.53152412e+00  4.56913758e+00  2.53258073e+00  2.53233082e+00  2.53221445e+00 -2.35321991e-05 
 2.06400000e-04  2.50096271e+00  4.53147633e+00  4.56945535e+00  2.53289522e+00  2.53266793e+00  2.53256192e+00 -2.35299260e-05 
 2.11400000e-04  2.50097073e+00  4.53143353e+00  4.56974032e+00  2.53317689e+00  2.53297243e+00  2.53287687e+00 -2.35278869e-05 
 2.16400000e-04  2.50097780e+00  4.53139577e+00  4.56999223e+00  2.53342547e+00  2.53324404e+00  2.53315902e+00 -2.35260837e-05 
 2.21400000e-04  2.50098390e+00  4.53136309e+00  4.57021087e+00  2.53364075e+00  2.53348251e+00  2.53340811e+00 -2.35245179e-05 
 2.26400000e-04  2.50098903e+00  4.53133552e+00  4.57039601e+00  2.53382253e+00  2.53368762e+00  2.53362390e+00 -2.35231911e-05 
 2.31400000e-04  2.50099318e+00  4.53131309e+00  4.57054751e+00  2.53397063e+00  2.53385917e+00  2.53380621e+00 -2.35221044e-05 
 2.36400000e-04  2.50099635e+00  4.53129582e+00  4.57066521e+00  2.53408493e+00  2.53399703e+00  2.53395486e+00 -2.35212588e-05 
 2.41400000e-04  2.50099854e+00  4.53128374e+00  4.57074900e+00  2.53416531e+00  2.53410105e+00  2.53406972e+00 -2.35206550e-05 
 2.46400000e-04  2.50099974e+00  4.53127684e+00  4.57079882e+00  2.53421171e+00  2.53417115e+00  2.53415067e+00 -2.35202936e-05 
 2.51400000e-04  2.50099996e+00  4.53127515e+00  4.57081462e+00  2.53422408e+00  2.53420726e+00  2.53419766e+00 -2.35201749e-05 
 2.56400000e-04  2.50099919e+00  4.53127866e+00  4.57079637e+00  2.53420242e+00  2.53420934e+00  2.53421064e+00 -2.35202991e-05 
 2.61400000e-04  2.50099744e+00  4.53128736e+00  4.57074410e+00  2.53414673e+00  2.53417740e+00  2.53418958e+00 -2.35206659e-05 
 2.66400000e-04  2.50099470e+00  4.53130126e+00  4.57065786e+00  2.53405708e+00  2.53411146e+00  2.53413452e+00 -2.35212751e-05 
 2.71400000e-04  2.50099097e+00  4.53132033e+00  4.57053772e+00  2.53393355e+00  2.53401159e+00  2.53404551e+00 -2.35221262e-05 
 2.76400000e-04  2.50098627e+00  4.53134456e+00  4.57038380e+00  2.53377624e+00  2.53387788e+00  2.53392262e+00 -2.35232183e-05 
 2.81400000e-04  2.50098060e+00  4.53137391e+00  4.57019623e+00  2.53358530e+00  2.53371044e+00  2.53376596e+00 -2.35245505e-05 
 2.86400000e-04  2.50097396e+00  4.53140837e+00  4.56997519e+00  2.53336091e+00  2.53350944e+00  2.53357570e+00 -2.35261217e-05 
 2.91400000e-04  2.50096636e+00  4.53144789e+00  4.56972088e+00  2.53310328e+00  2.53327506e+00  2.53335198e+00 -2.35279303e-05 
 2.96400000e-04  2.50095780e+00  4.53149244e+00  4.56943354e+00  2.53281264e+00  2.53300751e+00  2.53309503e+00 -2.35299748e-05 
 3.01400000e-04  2.50094830e+00  4.53154197e+00  4.56911342e+00  2.53248925e+00  2.53270704e+00  2.53280508e+00 -2.35322533e-05 
 3.06400000e-04  2.50093786e+00  4.53159643e+00  4.56876082e+00  2.53213343e+00  2.53237392e+00  2.53248239e+00 -2.35347637e-05 
 3.11400000e-04  2.50092650e+00  4.53165576e+00  4.56837607e+00  2.53174548e+00  2.53200846e+00  2.53212727e+00 -2.35375039e-05 
 3.16400000e-04  2.50091423e+00  4.53171991e+00  4.56795952e+00  2.53132578e+00  2.53161101e+00  2.53174003e+00 -2.35404713e-05 
 3.21400000e-04  2.50090105e+00  4.53178880e+00  4.56751155e+00  2.53087470e+00  2.53118192e+00  2.53132104e+00 -2.35436633e-05 
 3.26400000e-04  2.50088698e+00  4.53186238e+00  4.56703258e+00  2.53039267e+00  2.53072159e+00  2.53087069e+00 -2.35470769e-05 
 3.31400000e-04  2.50087204e+00  4.53194056e+00  4.56652306e+00  2.52988013e+00  2.53023044e+00  2.53038938e+00 -2.35507090e-05 
 3.36400000e-04  2.50085623e+00  4.53202326e+00  4.56598344e+00  2.52933755e+00  2.52970894e+00  2.52987756e+00 -2.35545564e-05 
 3.41400000e-04  2.50083958e+00  4.53211040e+00  4.56541417e+00  2.52876537e+00  2.52915753e+00  2.52933570e+00 -2.35586162e-05 
 3.46400000e-04  2.50082210e+00  4.53220190e+00  4.56481585e+00  2.52816420e+00  2.52857673e+00  2.52876427e+00 -2.35628839e-05 
 3.51400000e-04  2.50080382e+00  4.53229766e+00  4.56418909e+00  2.52753466e+00  2.52796713e+00  2.52816385e+00 -2.35673552e-05 
 3.56400000e-04  2.50078473e+00  4.53239758e+00  4.56353439e+00  2.52687724e+00  2.52732929e+00  2.52753502e+00 -2.35720266e-05 
 3.61400000e-04  2.50076488e+00  4.53250156e+00  4.56285239e+00  2.52619259e+00  2.52666379e+00  2.52687834e+00 -2.35768938e-05 
 3.66400000e-04  2.50074426e+00  4.53260950e+00  4.56214372e+00  2.52548133e+00  2.52597126e+00  2.52619442e+00 -2.35819523e-05 
 3.71400000e-04  2.50072292e+00  4.53272129e+00  4.56140904e+00  2.52474414e+00  2.52525232e+00  2.52548389e+00 -2.35871973e-05 
 3.76400000e-04  2.50070086e+00  4.53283681e+00  4.56064904e+00  2.52398170e+00  2.52450767e+00  2.52474743e+00 -2.35926241e-05 
 3.81400000e-04  2.50067811e+00  4.53295595e+00  4.55986443e+00  2.52319474e+00  2.52373799e+00  2.52398572e+00 -2.35982277e-05 
 3.86400000e-04  2.50065469e+00  4.53307859e+00  4.55905596e+00  2.52238399e+00  2.52294402e+00  2.52319949e+00 -2.36040027e-05 
 3.91400000e-04  2.50063062e+00  4.53320461e+00  4.55822439e+00  2.52155022e+00  2.52212650e+00  2.52238946e+00 -2.36099439e-05 
 3.96400000e-04  2.50060593e+00  4.53333387e+00  4.55737050e+00  2.52069422e+00  2.52128620e+00  2.52155640e+00 -2.36160457e-05 
 4.01400000e-04  2.50058065e+00  4.53346625e+00  4.55649510e+00  2.51981679e+00  2.52042392e+00  2.52070111e+00 -2.36223023e-05 
 4.06400000e-04  2.50055479e+00  4.53360161e+00  4.55559902e+00  2.51891878e+00  2.51954047e+00  2.51982439e+00 -2.36287080e-05 
 4.11400000e-04  2.50052838e+00  4.53373983e+00  4.55468311e+00  2.51800103e+00  2.51863670e+00  2.51892707e+00 -2.36352566e-05 
 4.16400000e-04  2.50050145e+00  4.53388075e+00  4.55374825e+00  2.51706441e+00  2.51771346e+00  2.51801001e+00 -2.36419420e-05 
 4.21400000e-04  2.50047403e+00  4.53402424e+00  4.55279533e+00  2.51610983e+00  2.51677163e+00  2.51707407e+00 -2.36487579e-05 
 4.26400000e-04  2.50044614e+00  4.53417016e+00  4.55182525e+00  2.51513819e+00  2.51581211e+00  2.51612016e+00 -2.36556979e-05 
 4.31400000e-04  2.50041780e+00  4.53431836e+00  4.55083896e+00  2.51415043e+00  2.51483582e+00  2.51514919e+00 -2.36627552e-05 
 4.36400000e-04  2.50038906e+00  4.53446868e+00  4.54983739e+00  2.51314750e+00  2.51384371e+00  2.51416209e+00 -2.36699232e-05 
 4.41400000e-04  2.50035993e+00  4.53462099e+00  4.54882151e+00  2.51213035e+00  2.51283671e+00  2.51315980e+00 -2.36771950e-05 
 4.46400000e-04  2.50033045e+00  4.53477513e+00  4.54779230e+00  2.51109999e+00  2.51181581e+00  2.51214329e+00 -2.36845637e-05 
 4.51400000e-04  2.50030064e+00  4.53493094e+00  4.54675076e+00  2.51005739e+00  2.51078199e+00  2.51111354e+00 -2.36920222e-05 
 4.56400000e-04  2.50027053e+00  4.53508827e+00  4.54569790e+00  2.50900357e+00  2.50973624e+00  2.51007155e+00 -2.36995632e-05 
 4.61400000e-04  2.50024016e+00  4.53524696e+00  4.54463473e+00  2.50793955e+00  2.50867959e+00  2.50901833e+00 -2.37071796e-05 
 4.66400000e-04  2.50020955e+00  4.53540686e+00  4.54356229e+00  2.50686638e+00  2.50761305e+00  2.50795490e+00 -2.37148638e-05 
