 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  4.44618444e+00  4.44618444e+00  2.50000000e+00  2.50000000e+00  2.50000000e+00 -1.30273249e-05 
 5.00000000e-08  2.50000031e+00  4.44618439e+00  4.44618445e+00  2.50000001e+00  2.50000000e+00  2.50000000e+00 -1.30273252e-05 
 1.00000000e-07  2.50000063e+00  4.44618429e+00  4.44618448e+00  2.50000003e+00  2.50000000e+00  2.50000000e+00 -1.30273258e-05 
 2.00000000e-07  2.50000126e+00  4.44618398e+00  4.44618458e+00  2.50000013e+00  2.50000000e+00  2.50000000e+00 -1.30273274e-05 
 4.00000000e-07  2.50000251e+00  4.44618280e+00  4.44618525e+00  2.50000081e+00  2.50000001e+00  2.50000000e+00 -1.30273315e-05 
 8.00000000e-07  2.50000503e+00  4.44617837e+00  4.44619007e+00  2.50000563e+00  2.50000014e+00  2.50000001e+00 -1.30273283e-05 
 1.60000000e-06  2.50001005e+00  4.44616265e+00  4.44622256e+00  2.50003811e+00  2.50000255e+00  2.50000041e+00 -1.30271876e-05 
 3.20000000e-06  2.50002010e+00  4.44611223e+00  4.44641421e+00  2.50022976e+00  2.50003572e+00  2.50001007e+00 -1.30260001e-05 
 6.40000000e-06  2.50004020e+00  4.44597290e+00  4.44731727e+00  2.50113278e+00  2.50034195e+00  2.50015675e+00 -1.30195707e-05 
 1.14000000e-05  2.50007157e+00  4.44572083e+00  4.44967898e+00  2.50349426e+00  2.50162467e+00  2.50101775e+00 -1.30018011e-05 
 1.64000000e-05  2.50010286e+00  4.44546166e+00  4.45256773e+00  2.50638252e+00  2.50374024e+00  2.50275182e+00 -1.29796476e-05 
 2.14000000e-05  2.50013406e+00  4.44520296e+00  4.45556817e+00  2.50938217e+00  2.50634107e+00  2.50513602e+00 -1.29565481e-05 
 2.64000000e-05  2.50016512e+00  4.44494499e+00  4.45857241e+00  2.51238532e+00  2.50916841e+00  2.50786385e+00 -1.29334105e-05 
 3.14000000e-05  2.50019601e+00  4.44468799e+00  4.46156000e+00  2.51537152e+00  2.51208835e+00  2.51074357e+00 -1.29104050e-05 
 3.64000000e-05  2.50022672e+00  4.44443224e+00  4.46452506e+00  2.51833490e+00  2.51503703e+00  2.51368015e+00 -1.28875788e-05 
 4.14000000e-05  2.50025720e+00  4.44417799e+00  4.46746426e+00  2.52127211e+00  2.51798428e+00  2.51662859e+00 -1.28649581e-05 
 4.64000000e-05  2.50028743e+00  4.44392549e+00  4.47037470e+00  2.52418028e+00  2.52091515e+00  2.51956726e+00 -1.28425649e-05 
 5.14000000e-05  2.50031737e+00  4.44367501e+00  4.47325363e+00  2.52705665e+00  2.52382152e+00  2.52248504e+00 -1.28204204e-05 
 5.64000000e-05  2.50034700e+00  4.44342679e+00  4.47609835e+00  2.52989852e+00  2.52669828e+00  2.52537551e+00 -1.27985450e-05 
 6.14000000e-05  2.50037629e+00  4.44318109e+00  4.47890622e+00  2.53270326e+00  2.52954170e+00  2.52823434e+00 -1.27769590e-05 
 6.64000000e-05  2.50040521e+00  4.44293817e+00  4.48167465e+00  2.53546829e+00  2.53234870e+00  2.53105816e+00 -1.27556820e-05 
 7.14000000e-05  2.50043372e+00  4.44269826e+00  4.48440112e+00  2.53819107e+00  2.53511648e+00  2.53384403e+00 -1.27347332e-05 
 7.64000000e-05  2.50046181e+00  4.44246162e+00  4.48708314e+00  2.54086914e+00  2.53784242e+00  2.53658926e+00 -1.27141314e-05 
 8.14000000e-05  2.50048944e+00  4.44222849e+00  4.48971832e+00  2.54350010e+00  2.54052402e+00  2.53929130e+00 -1.26938948e-05 
 8.64000000e-05  2.50051659e+00  4.44199911e+00  4.49230429e+00  2.54608159e+00  2.54315883e+00  2.54194768e+00 -1.26740412e-05 
 9.14000000e-05  2.50054323e+00  4.44177373e+00  4.49483877e+00  2.54861134e+00  2.54574451e+00  2.54455600e+00 -1.26545878e-05 
 9.64000000e-05  2.50056934e+00  4.44155257e+00  4.49731954e+00  2.55108712e+00  2.54827875e+00  2.54711395e+00 -1.26355514e-05 
 1.01400000e-04  2.50059488e+00  4.44133586e+00  4.49974444e+00  2.55350679e+00  2.55075934e+00  2.54961926e+00 -1.26169482e-05 
 1.06400000e-04  2.50061983e+00  4.44112384e+00  4.50211138e+00  2.55586827e+00  2.55318411e+00  2.55206974e+00 -1.25987939e-05 
 1.11400000e-04  2.50064418e+00  4.44091673e+00  4.50441834e+00  2.55816952e+00  2.55555097e+00  2.55446328e+00 -1.25811037e-05 
 1.16400000e-04  2.50066788e+00  4.44071474e+00  4.50666335e+00  2.56040860e+00  2.55785790e+00  2.55679782e+00 -1.25638923e-05 
 1.21400000e-04  2.50069093e+00  4.44051809e+00  4.50884453e+00  2.56258363e+00  2.56010293e+00  2.55907136e+00 -1.25471737e-05 
 1.26400000e-04  2.50071330e+00  4.44032698e+00  4.51096006e+00  2.56469280e+00  2.56228418e+00  2.56128198e+00 -1.25309615e-05 
 1.31400000e-04  2.50073496e+00  4.44014163e+00  4.51300819e+00  2.56673436e+00  2.56439982e+00  2.56342784e+00 -1.25152687e-05 
 1.36400000e-04  2.50075590e+00  4.43996222e+00  4.51498724e+00  2.56870663e+00  2.56644811e+00  2.56550714e+00 -1.25001079e-05 
 1.41400000e-04  2.50077609e+00  4.43978895e+00  4.51689560e+00  2.57060803e+00  2.56842737e+00  2.56751818e+00 -1.24854909e-05 
 1.46400000e-04  2.50079552e+00  4.43962201e+00  4.51873172e+00  2.57243700e+00  2.57033597e+00  2.56945931e+00 -1.24714293e-05 
 1.51400000e-04  2.50081416e+00  4.43946157e+00  4.52049414e+00  2.57419208e+00  2.57217238e+00  2.57132896e+00 -1.24579338e-05 
 1.56400000e-04  2.50083199e+00  4.43930780e+00  4.52218145e+00  2.57587189e+00  2.57393513e+00  2.57312562e+00 -1.24450148e-05 
 1.61400000e-04  2.50084901e+00  4.43916088e+00  4.52379232e+00  2.57747510e+00  2.57562281e+00  2.57484786e+00 -1.24326822e-05 
 1.66400000e-04  2.50086519e+00  4.43902095e+00  4.52532549e+00  2.57900045e+00  2.57723409e+00  2.57649431e+00 -1.24209453e-05 
 1.71400000e-04  2.50088051e+00  4.43888818e+00  4.52677977e+00  2.58044675e+00  2.57876771e+00  2.57806367e+00 -1.24098127e-05 
 1.76400000e-04  2.50089497e+00  4.43876270e+00  4.52815403e+00  2.58181290e+00  2.58022247e+00  2.57955473e+00 -1.23992929e-05 
 1.81400000e-04  2.50090854e+00  4.43864465e+00  4.52944722e+00  2.58309784e+00  2.58159725e+00  2.58096632e+00 -1.23893934e-05 
 1.86400000e-04  2.50092121e+00  4.43853416e+00  4.53065834e+00  2.58430059e+00  2.58289100e+00  2.58229737e+00 -1.23801216e-05 
 1.91400000e-04  2.50093298e+00  4.43843135e+00  4.53178648e+00  2.58542024e+00  2.58410272e+00  2.58354684e+00 -1.23714842e-05 
 1.96400000e-04  2.50094382e+00  4.43833633e+00  4.53283079e+00  2.58645596e+00  2.58523150e+00  2.58471378e+00 -1.23634874e-05 
 2.01400000e-04  2.50095374e+00  4.43824921e+00  4.53379047e+00  2.58740695e+00  2.58627648e+00  2.58579733e+00 -1.23561370e-05 
 2.06400000e-04  2.50096271e+00  4.43817008e+00  4.53466483e+00  2.58827252e+00  2.58723688e+00  2.58679665e+00 -1.23494381e-05 
 2.11400000e-04  2.50097073e+00  4.43809903e+00  4.53545319e+00  2.58905202e+00  2.58811198e+00  2.58771100e+00 -1.23433955e-05 
 2.16400000e-04  2.50097780e+00  4.43803613e+00  4.53615498e+00  2.58974487e+00  2.58890113e+00  2.58853971e+00 -1.23380136e-05 
