 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 2.06400000e-04  2.50096271e+00  3.74062186e+00  2.41100705e+00  2.41239386e+00 -3.38135731e-05 
 2.11400000e-04  2.50097073e+00  3.73975747e+00  2.41015258e+00  2.41141857e+00 -3.38198614e-05 
 2.16400000e-04  2.50097780e+00  3.73898367e+00  2.40938869e+00  2.41053258e+00 -3.38254967e-05 
 2.21400000e-04  2.50098390e+00  3.73830124e+00  2.40871615e+00  2.40973680e+00 -3.38304735e-05 
 2.26400000e-04  2.50098903e+00  3.73771086e+00  2.40813563e+00  2.40903201e+00 -3.38347867e-05 
 2.31400000e-04  2.50099318e+00  3.73721312e+00  2.40764771e+00  2.40841892e+00 -3.38384320e-05 
 2.36400000e-04  2.50099635e+00  3.73680852e+00  2.40725289e+00  2.40789816e+00 -3.38414056e-05 
 2.41400000e-04  2.50099854e+00  3.73649747e+00  2.40695155e+00  2.40747023e+00 -3.38437046e-05 
 2.46400000e-04  2.50099974e+00  3.73628027e+00  2.40674401e+00  2.40713558e+00 -3.38453267e-05 
 2.51400000e-04  2.50099996e+00  3.73615715e+00  2.40663046e+00  2.40689453e+00 -3.38462702e-05 
 2.56400000e-04  2.50099919e+00  3.73612823e+00  2.40661103e+00  2.40674734e+00 -3.38465342e-05 
 2.61400000e-04  2.50099744e+00  3.73619354e+00  2.40668572e+00  2.40669413e+00 -3.38461185e-05 
 2.66400000e-04  2.50099470e+00  3.73635301e+00  2.40685447e+00  2.40673497e+00 -3.38450234e-05 
 2.71400000e-04  2.50099097e+00  3.73660648e+00  2.40711711e+00  2.40686982e+00 -3.38432501e-05 
 2.76400000e-04  2.50098627e+00  3.73695369e+00  2.40747337e+00  2.40709854e+00 -3.38408004e-05 
 2.81400000e-04  2.50098060e+00  3.73739430e+00  2.40792289e+00  2.40742090e+00 -3.38376767e-05 
 2.86400000e-04  2.50097396e+00  3.73792787e+00  2.40846521e+00  2.40783657e+00 -3.38338822e-05 
 2.91400000e-04  2.50096636e+00  3.73855385e+00  2.40909981e+00  2.40834514e+00 -3.38294208e-05 
 2.96400000e-04  2.50095780e+00  3.73927161e+00  2.40982603e+00  2.40894610e+00 -3.38242970e-05 
 3.01400000e-04  2.50094830e+00  3.74008045e+00  2.41064314e+00  2.40963883e+00 -3.38185159e-05 
 3.06400000e-04  2.50093786e+00  3.74097953e+00  2.41155033e+00  2.41042265e+00 -3.38120834e-05 
 3.11400000e-04  2.50092650e+00  3.74196796e+00  2.41254669e+00  2.41129677e+00 -3.38050059e-05 
 3.16400000e-04  2.50091423e+00  3.74304476e+00  2.41363121e+00  2.41226031e+00 -3.37972907e-05 
 3.21400000e-04  2.50090105e+00  3.74420882e+00  2.41480280e+00  2.41331229e+00 -3.37889455e-05 
 3.26400000e-04  2.50088698e+00  3.74545899e+00  2.41606029e+00  2.41445168e+00 -3.37799787e-05 
 3.31400000e-04  2.50087204e+00  3.74679402e+00  2.41740242e+00  2.41567731e+00 -3.37703994e-05 
