 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+02  3.82124147e-06  4.64333590e-08 
 2.37137371e+02  3.73233077e-06  4.53503408e-08 
 2.44061907e+02  3.64714281e-06  4.43128402e-08 
 2.51188643e+02  3.56549770e-06  4.33186452e-08 
 2.58523484e+02  3.48722365e-06  4.23656448e-08 
 2.66072506e+02  3.41215669e-06  4.14518253e-08 
 2.73841963e+02  3.34014041e-06  4.05752668e-08 
 2.81838293e+02  3.27102569e-06  3.97341400e-08 
 2.90068120e+02  3.20467045e-06  3.89267028e-08 
 2.98538262e+02  3.14093939e-06  3.81512971e-08 
 3.07255737e+02  3.07970374e-06  3.74063456e-08 
 3.16227766e+02  3.02084103e-06  3.66903485e-08 
 3.25461783e+02  2.96423483e-06  3.60018809e-08 
 3.34965439e+02  2.90977454e-06  3.53395894e-08 
 3.44746607e+02  2.85735510e-06  3.47021892e-08 
 3.54813389e+02  2.80687684e-06  3.40884617e-08 
 3.65174127e+02  2.75824519e-06  3.34972509e-08 
 3.75837404e+02  2.71137049e-06  3.29274613e-08 
 3.86812055e+02  2.66616777e-06  3.23780551e-08 
 3.98107171e+02  2.62255654e-06  3.18480495e-08 
 4.09732110e+02  2.58046060e-06  3.13365141e-08 
 4.21696503e+02  2.53980781e-06  3.08425685e-08 
 4.34010264e+02  2.50052993e-06  3.03653800e-08 
 4.46683592e+02  2.46256239e-06  2.99041612e-08 
 4.59726989e+02  2.42584416e-06  2.94581678e-08 
 4.73151259e+02  2.39031755e-06  2.90266963e-08 
 4.86967525e+02  2.35592801e-06  2.86090822e-08 
 5.01187234e+02  2.32262402e-06  2.82046975e-08 
 5.15822165e+02  2.29035691e-06  2.78129493e-08 
 5.30884444e+02  2.25908068e-06  2.74332776e-08 
 5.46386550e+02  2.22875190e-06  2.70651536e-08 
 5.62341325e+02  2.19932954e-06  2.67080780e-08 
 5.78761988e+02  2.17077486e-06  2.63615795e-08 
 5.95662144e+02  2.14305125e-06  2.60252128e-08 
 6.13055792e+02  2.11612414e-06  2.56985577e-08 
 6.30957344e+02  2.08996087e-06  2.53812173e-08 
 6.49381632e+02  2.06453058e-06  2.50728167e-08 
 6.68343918e+02  2.03980408e-06  2.47730017e-08 
 6.87859912e+02  2.01575382e-06  2.44814378e-08 
 7.07945784e+02  1.99235372e-06  2.41978086e-08 
 7.28618175e+02  1.96957910e-06  2.39218153e-08 
 7.49894209e+02  1.94740664e-06  2.36531751e-08 
 7.71791516e+02  1.92581422e-06  2.33916205e-08 
 7.94328235e+02  1.90478093e-06  2.31368984e-08 
 8.17523038e+02  1.88428692e-06  2.28887692e-08 
 8.41395142e+02  1.86431339e-06  2.26470057e-08 
 8.65964323e+02  1.84484248e-06  2.24113927e-08 
 8.91250938e+02  1.82585726e-06  2.21817260e-08 
 9.17275935e+02  1.80734161e-06  2.19578120e-08 
 9.44060876e+02  1.78928023e-06  2.17394668e-08 
 9.71627952e+02  1.77165855e-06  2.15265155e-08 
 1.00000000e+03  1.75446268e-06  2.13187919e-08 
 1.02920053e+03  1.73767940e-06  2.11161378e-08 
