 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+02  2.83107708e-06  6.26673740e-08 
 2.37137371e+02  2.76482784e-06  6.11957344e-08 
 2.44061907e+02  2.70131796e-06  5.97852631e-08 
 2.51188643e+02  2.64041541e-06  5.84329878e-08 
 2.58523484e+02  2.58199410e-06  5.71360724e-08 
 2.66072506e+02  2.52593370e-06  5.58918123e-08 
 2.73841963e+02  2.47211940e-06  5.46976295e-08 
 2.81838293e+02  2.42044177e-06  5.35510680e-08 
 2.90068120e+02  2.37079651e-06  5.24497896e-08 
 2.98538262e+02  2.32308435e-06  5.13915689e-08 
 3.07255737e+02  2.27721076e-06  5.03742896e-08 
 3.16227766e+02  2.23308588e-06  4.93959399e-08 
 3.25461783e+02  2.19062426e-06  4.84546082e-08 
 3.34965439e+02  2.14974473e-06  4.75484796e-08 
 3.44746607e+02  2.11037019e-06  4.66758314e-08 
 3.54813389e+02  2.07242751e-06  4.58350294e-08 
 3.65174127e+02  2.03584728e-06  4.50245241e-08 
 3.75837404e+02  2.00056371e-06  4.42428470e-08 
 3.86812055e+02  1.96651445e-06  4.34886069e-08 
 3.98107171e+02  1.93364044e-06  4.27604866e-08 
 4.09732110e+02  1.90188575e-06  4.20572392e-08 
 4.21696503e+02  1.87119745e-06  4.13776849e-08 
 4.34010264e+02  1.84152547e-06  4.07207079e-08 
 4.46683592e+02  1.81282242e-06  4.00852530e-08 
 4.59726989e+02  1.78504353e-06  3.94703228e-08 
 4.73151259e+02  1.75814645e-06  3.88749747e-08 
 4.86967525e+02  1.73209116e-06  3.82983182e-08 
 5.01187234e+02  1.70683986e-06  3.77395120e-08 
 5.15822165e+02  1.68235682e-06  3.71977615e-08 
 5.30884444e+02  1.65860831e-06  3.66723165e-08 
 5.46386550e+02  1.63556245e-06  3.61624683e-08 
 5.62341325e+02  1.61318915e-06  3.56675480e-08 
 5.78761988e+02  1.59145998e-06  3.51869239e-08 
 5.95662144e+02  1.57034808e-06  3.47199996e-08 
 6.13055792e+02  1.54982811e-06  3.42662118e-08 
 6.30957344e+02  1.52987611e-06  3.38250287e-08 
 6.49381632e+02  1.51046944e-06  3.33959481e-08 
 6.68343918e+02  1.49158672e-06  3.29784952e-08 
 6.87859912e+02  1.47320774e-06  3.25722220e-08 
