 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711236e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711240e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.49999999e+00  2.50000000e+00 -3.31711251e-05 
 4.00000000e-07  2.50000251e+00  3.82990735e+00  2.49999992e+00  2.50000000e+00 -3.31711294e-05 
 8.00000000e-07  2.50000503e+00  3.82990649e+00  2.49999906e+00  2.49999996e+00 -3.31711442e-05 
 1.60000000e-06  2.50001005e+00  3.82989639e+00  2.49998897e+00  2.49999902e+00 -3.31712140e-05 
 3.20000000e-06  2.50002010e+00  3.82980161e+00  2.49989420e+00  2.49998231e+00 -3.31717599e-05 
 6.40000000e-06  2.50004020e+00  3.82917427e+00  2.49926709e+00  2.49977829e+00 -3.31756914e-05 
 1.14000000e-05  2.50007157e+00  3.82718704e+00  2.49728108e+00  2.49873370e+00 -3.31891392e-05 
 1.64000000e-05  2.50010286e+00  3.82453759e+00  2.49463396e+00  2.49680580e+00 -3.32078056e-05 
 2.14000000e-05  2.50013406e+00  3.82169722e+00  2.49179677e+00  2.49431244e+00 -3.32281039e-05 
 2.64000000e-05  2.50016512e+00  3.81879714e+00  2.48890040e+00  2.49155976e+00 -3.32489211e-05 
 3.14000000e-05  2.50019601e+00  3.81587377e+00  2.48598114e+00  2.48869935e+00 -3.32699518e-05 
 3.64000000e-05  2.50022672e+00  3.81294966e+00  2.48306148e+00  2.48579794e+00 -3.32910097e-05 
 4.14000000e-05  2.50025720e+00  3.81003612e+00  2.48015269e+00  2.48288763e+00 -3.33120029e-05 
 4.64000000e-05  2.50028743e+00  3.80713984e+00  2.47726145e+00  2.47998446e+00 -3.33328786e-05 
 5.14000000e-05  2.50031737e+00  3.80426544e+00  2.47439235e+00  2.47709727e+00 -3.33536013e-05 
 5.64000000e-05  2.50034700e+00  3.80141653e+00  2.47154902e+00  2.47423159e+00 -3.33741439e-05 
 6.14000000e-05  2.50037629e+00  3.79859631e+00  2.46873462e+00  2.47139147e+00 -3.33944830e-05 
 6.64000000e-05  2.50040521e+00  3.79580773e+00  2.46595212e+00  2.46858029e+00 -3.34145970e-05 
 7.14000000e-05  2.50043372e+00  3.79305365e+00  2.46320435e+00  2.46580108e+00 -3.34344653e-05 
 7.64000000e-05  2.50046181e+00  3.79033682e+00  2.46049409e+00  2.46305673e+00 -3.34540677e-05 
 8.14000000e-05  2.50048944e+00  3.78765999e+00  2.45782405e+00  2.46035002e+00 -3.34733845e-05 
 8.64000000e-05  2.50051659e+00  3.78502581e+00  2.45519689e+00  2.45768366e+00 -3.34923964e-05 
 9.14000000e-05  2.50054323e+00  3.78243693e+00  2.45261523e+00  2.45506033e+00 -3.35110844e-05 
 9.64000000e-05  2.50056934e+00  3.77989592e+00  2.45008167e+00  2.45248263e+00 -3.35294296e-05 
 1.01400000e-04  2.50059488e+00  3.77740532e+00  2.44759871e+00  2.44995316e+00 -3.35474139e-05 
 1.06400000e-04  2.50061983e+00  3.77496761e+00  2.44516885e+00  2.44747442e+00 -3.35650191e-05 
 1.11400000e-04  2.50064418e+00  3.77258524e+00  2.44279450e+00  2.44504890e+00 -3.35822276e-05 
 1.16400000e-04  2.50066788e+00  3.77026058e+00  2.44047805e+00  2.44267902e+00 -3.35990222e-05 
 1.21400000e-04  2.50069093e+00  3.76799595e+00  2.43822180e+00  2.44036715e+00 -3.36153860e-05 
 1.26400000e-04  2.50071330e+00  3.76579363e+00  2.43602801e+00  2.43811559e+00 -3.36313026e-05 
 1.31400000e-04  2.50073496e+00  3.76365580e+00  2.43389887e+00  2.43592660e+00 -3.36467560e-05 
 1.36400000e-04  2.50075590e+00  3.76158461e+00  2.43183653e+00  2.43380236e+00 -3.36617307e-05 
 1.41400000e-04  2.50077609e+00  3.75958214e+00  2.42984303e+00  2.43174501e+00 -3.36762117e-05 
 1.46400000e-04  2.50079552e+00  3.75765039e+00  2.42792037e+00  2.42975660e+00 -3.36901844e-05 
