 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.50000000e+00  2.50000000e+00 -3.31711247e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711280e-05 
 8.00000000e-07  2.50000503e+00  3.82990703e+00  2.49999960e+00  2.49999996e+00 -3.31711395e-05 
 1.60000000e-06  2.50001005e+00  3.82990249e+00  2.49999506e+00  2.49999915e+00 -3.31711827e-05 
 3.20000000e-06  2.50002010e+00  3.82985489e+00  2.49994748e+00  2.49998428e+00 -3.31714571e-05 
 6.40000000e-06  2.50004020e+00  3.82948023e+00  2.49957302e+00  2.49979563e+00 -3.31736731e-05 
 1.14000000e-05  2.50007157e+00  3.82803611e+00  2.49813002e+00  2.49879126e+00 -3.31830485e-05 
 1.64000000e-05  2.50010286e+00  3.82576745e+00  2.49586357e+00  2.49688225e+00 -3.31986606e-05 
 2.14000000e-05  2.50013406e+00  3.82307294e+00  2.49317212e+00  2.49436692e+00 -3.32177391e-05 
 2.64000000e-05  2.50016512e+00  3.82021139e+00  2.49031419e+00  2.49157568e+00 -3.32382274e-05 
 3.14000000e-05  2.50019601e+00  3.81729395e+00  2.48740076e+00  2.48868397e+00 -3.32592024e-05 
 3.64000000e-05  2.50022672e+00  3.81436502e+00  2.48447615e+00  2.48576321e+00 -3.32802940e-05 
 4.14000000e-05  2.50025720e+00  3.81144299e+00  2.48155874e+00  2.48284219e+00 -3.33013507e-05 
 4.64000000e-05  2.50028743e+00  3.80853655e+00  2.47865720e+00  2.47993345e+00 -3.33223028e-05 
 5.14000000e-05  2.50031737e+00  3.80565072e+00  2.47577654e+00  2.47704347e+00 -3.33431113e-05 
 5.64000000e-05  2.50034700e+00  3.80278918e+00  2.47292044e+00  2.47417647e+00 -3.33637488e-05 
 6.14000000e-05  2.50037629e+00  3.79995508e+00  2.47009202e+00  2.47133579e+00 -3.33841922e-05 
 6.64000000e-05  2.50040521e+00  3.79715132e+00  2.46729421e+00  2.46852443e+00 -3.34044202e-05 
 7.14000000e-05  2.50043372e+00  3.79438076e+00  2.46452983e+00  2.46574527e+00 -3.34244123e-05 
 7.64000000e-05  2.50046181e+00  3.79164616e+00  2.46180166e+00  2.46300110e+00 -3.34441483e-05 
 8.14000000e-05  2.50048944e+00  3.78895025e+00  2.45911241e+00  2.46029465e+00 -3.34636087e-05 
 8.64000000e-05  2.50051659e+00  3.78629573e+00  2.45646477e+00  2.45762863e+00 -3.34827738e-05 
 9.14000000e-05  2.50054323e+00  3.78368522e+00  2.45386138e+00  2.45500570e+00 -3.35016246e-05 
 9.64000000e-05  2.50056934e+00  3.78112135e+00  2.45130482e+00  2.45242847e+00 -3.35201421e-05 
 1.01400000e-04  2.50059488e+00  3.77860667e+00  2.44879766e+00  2.44989951e+00 -3.35383079e-05 
 1.06400000e-04  2.50061983e+00  3.77614368e+00  2.44634240e+00  2.44742134e+00 -3.35561038e-05 
 1.11400000e-04  2.50064418e+00  3.77373485e+00  2.44394148e+00  2.44499645e+00 -3.35735118e-05 
 1.16400000e-04  2.50066788e+00  3.77138259e+00  2.44159731e+00  2.44262724e+00 -3.35905147e-05 
 1.21400000e-04  2.50069093e+00  3.76908924e+00  2.43931223e+00  2.44031610e+00 -3.36070953e-05 
 1.26400000e-04  2.50071330e+00  3.76685710e+00  2.43708851e+00  2.43806532e+00 -3.36232370e-05 
 1.31400000e-04  2.50073496e+00  3.76468839e+00  2.43492840e+00  2.43587717e+00 -3.36389235e-05 
 1.36400000e-04  2.50075590e+00  3.76258530e+00  2.43283404e+00  2.43375382e+00 -3.36541393e-05 
 1.41400000e-04  2.50077609e+00  3.76054992e+00  2.43080753e+00  2.43169740e+00 -3.36688689e-05 
 1.46400000e-04  2.50079552e+00  3.75858428e+00  2.42885090e+00  2.42970997e+00 -3.36830976e-05 
 1.51400000e-04  2.50081416e+00  3.75669037e+00  2.42696611e+00  2.42779352e+00 -3.36968110e-05 
 1.56400000e-04  2.50083199e+00  3.75487007e+00  2.42515505e+00  2.42594997e+00 -3.37099954e-05 
 1.61400000e-04  2.50084901e+00  3.75312521e+00  2.42341953e+00  2.42418116e+00 -3.37226376e-05 
 1.66400000e-04  2.50086519e+00  3.75145753e+00  2.42176128e+00  2.42248887e+00 -3.37347247e-05 
 1.71400000e-04  2.50088051e+00  3.74986871e+00  2.42018198e+00  2.42087479e+00 -3.37462447e-05 
 1.76400000e-04  2.50089497e+00  3.74836033e+00  2.41868320e+00  2.41934053e+00 -3.37571859e-05 
 1.81400000e-04  2.50090854e+00  3.74693392e+00  2.41726644e+00  2.41788765e+00 -3.37675373e-05 
 1.86400000e-04  2.50092121e+00  3.74559090e+00  2.41593313e+00  2.41651758e+00 -3.37772886e-05 
 1.91400000e-04  2.50093298e+00  3.74433262e+00  2.41468460e+00  2.41523172e+00 -3.37864298e-05 
 1.96400000e-04  2.50094382e+00  3.74316034e+00  2.41352211e+00  2.41403134e+00 -3.37949518e-05 
 2.01400000e-04  2.50095374e+00  3.74207523e+00  2.41244682e+00  2.41291765e+00 -3.38028459e-05 
 2.06400000e-04  2.50096271e+00  3.74107839e+00  2.41145981e+00  2.41189176e+00 -3.38101043e-05 
 2.11400000e-04  2.50097073e+00  3.74017081e+00  2.41056207e+00  2.41095472e+00 -3.38167196e-05 
 2.16400000e-04  2.50097780e+00  3.73935341e+00  2.40975450e+00  2.41010745e+00 -3.38226852e-05 
 2.21400000e-04  2.50098390e+00  3.73862700e+00  2.40903790e+00  2.40935080e+00 -3.38279950e-05 
 2.26400000e-04  2.50098903e+00  3.73799231e+00  2.40841301e+00  2.40868554e+00 -3.38326437e-05 
 2.31400000e-04  2.50099318e+00  3.73744999e+00  2.40788044e+00  2.40811233e+00 -3.38366266e-05 
 2.36400000e-04  2.50099635e+00  3.73700057e+00  2.40744074e+00  2.40763175e+00 -3.38399397e-05 
