 time            v(vin)          v(b1_base)      v(b1_emitter)   v(b1_collector) v(b1_out)      
 4.22800000e-05  2.50026254e+00  1.12946983e+00  3.35760802e-01  3.36465186e+00  3.36465186e+00 
 4.32800000e-05  2.50026860e+00  1.12947588e+00  3.35766379e-01  3.36462473e+00  3.36462473e+00 
 4.42800000e-05  2.50027464e+00  1.12948192e+00  3.35771947e-01  3.36459764e+00  3.36459764e+00 
 4.52800000e-05  2.50028068e+00  1.12948796e+00  3.35777505e-01  3.36457060e+00  3.36457060e+00 
 4.62800000e-05  2.50028671e+00  1.12949398e+00  3.35783052e-01  3.36454361e+00  3.36454361e+00 
 4.72800000e-05  2.50029272e+00  1.12949999e+00  3.35788589e-01  3.36451667e+00  3.36451667e+00 
 4.82800000e-05  2.50029872e+00  1.12950598e+00  3.35794115e-01  3.36448979e+00  3.36448979e+00 
 4.92800000e-05  2.50030471e+00  1.12951197e+00  3.35799631e-01  3.36446295e+00  3.36446295e+00 
 5.02800000e-05  2.50031069e+00  1.12951794e+00  3.35805135e-01  3.36443618e+00  3.36443618e+00 
 5.12800000e-05  2.50031666e+00  1.12952391e+00  3.35810628e-01  3.36440945e+00  3.36440945e+00 
 5.22800000e-05  2.50032261e+00  1.12952986e+00  3.35816109e-01  3.36438279e+00  3.36438279e+00 
 5.32800000e-05  2.50032855e+00  1.12953579e+00  3.35821578e-01  3.36435618e+00  3.36435618e+00 
 5.42800000e-05  2.50033448e+00  1.12954171e+00  3.35827035e-01  3.36432963e+00  3.36432963e+00 
 5.52800000e-05  2.50034039e+00  1.12954762e+00  3.35832481e-01  3.36430314e+00  3.36430314e+00 
 5.62800000e-05  2.50034629e+00  1.12955352e+00  3.35837913e-01  3.36427671e+00  3.36427671e+00 
 5.72800000e-05  2.50035218e+00  1.12955940e+00  3.35843333e-01  3.36425034e+00  3.36425034e+00 
 5.82800000e-05  2.50035806e+00  1.12956527e+00  3.35848740e-01  3.36422403e+00  3.36422403e+00 
 5.92800000e-05  2.50036391e+00  1.12957113e+00  3.35854134e-01  3.36419779e+00  3.36419779e+00 
 6.02800000e-05  2.50036976e+00  1.12957697e+00  3.35859515e-01  3.36417161e+00  3.36417161e+00 
 6.12800000e-05  2.50037559e+00  1.12958279e+00  3.35864882e-01  3.36414550e+00  3.36414550e+00 
 6.22800000e-05  2.50038141e+00  1.12958860e+00  3.35870236e-01  3.36411945e+00  3.36411945e+00 
 6.32800000e-05  2.50038721e+00  1.12959440e+00  3.35875575e-01  3.36409348e+00  3.36409348e+00 
 6.42800000e-05  2.50039299e+00  1.12960018e+00  3.35880901e-01  3.36406757e+00  3.36406757e+00 
 6.52800000e-05  2.50039876e+00  1.12960594e+00  3.35886212e-01  3.36404173e+00  3.36404173e+00 
