 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711237e-05 
 1.00000000e-07  2.50000063e+00  3.82990742e+00  2.49999999e+00  2.50000000e+00 -3.31711242e-05 
 2.00000000e-07  2.50000126e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711259e-05 
 4.00000000e-07  2.50000251e+00  3.82990720e+00  2.49999977e+00  2.50000000e+00 -3.31711316e-05 
 8.00000000e-07  2.50000503e+00  3.82990483e+00  2.49999740e+00  2.49999992e+00 -3.31711540e-05 
 1.60000000e-06  2.50001005e+00  3.82987994e+00  2.49997252e+00  2.49999825e+00 -3.31713005e-05 
 3.20000000e-06  2.50002010e+00  3.82968411e+00  2.49977671e+00  2.49997222e+00 -3.31724815e-05 
 6.40000000e-06  2.50004020e+00  3.82866954e+00  2.49876245e+00  2.49970455e+00 -3.31791877e-05 
 1.14000000e-05  2.50007157e+00  3.82615283e+00  2.49624718e+00  2.49852190e+00 -3.31967687e-05 
 1.64000000e-05  2.50010286e+00  3.82332124e+00  2.49341810e+00  2.49653842e+00 -3.32169741e-05 
 2.14000000e-05  2.50013406e+00  3.82045327e+00  2.49055337e+00  2.49409074e+00 -3.32375145e-05 
 2.64000000e-05  2.50016512e+00  3.81754426e+00  2.48764814e+00  2.49140795e+00 -3.32584093e-05 
 3.14000000e-05  2.50019601e+00  3.81462540e+00  2.48473345e+00  2.48860303e+00 -3.32794081e-05 
 3.64000000e-05  2.50022672e+00  3.81171004e+00  2.48182263e+00  2.48574013e+00 -3.33003985e-05 
 4.14000000e-05  2.50025720e+00  3.80880643e+00  2.47892387e+00  2.48285471e+00 -3.33213156e-05 
 4.64000000e-05  2.50028743e+00  3.80592095e+00  2.47604353e+00  2.47996707e+00 -3.33421088e-05 
 5.14000000e-05  2.50031737e+00  3.80305796e+00  2.47318596e+00  2.47708948e+00 -3.33627449e-05 
 5.64000000e-05  2.50034700e+00  3.80022129e+00  2.47035497e+00  2.47422979e+00 -3.33831950e-05 
 6.14000000e-05  2.50037629e+00  3.79741422e+00  2.46755384e+00  2.47139356e+00 -3.34034349e-05 
 6.64000000e-05  2.50040521e+00  3.79463979e+00  2.46478560e+00  2.46858505e+00 -3.34234422e-05 
 7.14000000e-05  2.50043372e+00  3.79190092e+00  2.46205317e+00  2.46580781e+00 -3.34431958e-05 
 7.64000000e-05  2.50046181e+00  3.78920040e+00  2.45935932e+00  2.46306503e+00 -3.34626754e-05 
 8.14000000e-05  2.50048944e+00  3.78654097e+00  2.45670679e+00  2.46035967e+00 -3.34818610e-05 
 8.64000000e-05  2.50051659e+00  3.78392529e+00  2.45409823e+00  2.45769453e+00 -3.35007335e-05 
 9.14000000e-05  2.50054323e+00  3.78135598e+00  2.45153627e+00  2.45507234e+00 -3.35192738e-05 
 9.64000000e-05  2.50056934e+00  3.77883563e+00  2.44902346e+00  2.45249574e+00 -3.35374632e-05 
 1.01400000e-04  2.50059488e+00  3.77636673e+00  2.44656232e+00  2.44996732e+00 -3.35552836e-05 
 1.06400000e-04  2.50061983e+00  3.77395177e+00  2.44415530e+00  2.44748963e+00 -3.35727172e-05 
 1.11400000e-04  2.50064418e+00  3.77159315e+00  2.44180480e+00  2.44506512e+00 -3.35897463e-05 
 1.16400000e-04  2.50066788e+00  3.76929324e+00  2.43951319e+00  2.44269624e+00 -3.36063540e-05 
 1.21400000e-04  2.50069093e+00  3.76705432e+00  2.43728275e+00  2.44038534e+00 -3.36225236e-05 
 1.26400000e-04  2.50071330e+00  3.76487864e+00  2.43511570e+00  2.43813474e+00 -3.36382388e-05 
 1.31400000e-04  2.50073496e+00  3.76276839e+00  2.43301422e+00  2.43594669e+00 -3.36534839e-05 
