 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+02  4.49887800e-06  4.46756942e-08 
 2.37137371e+02  4.38897464e-06  4.35815585e-08 
 2.44061907e+02  4.28378439e-06  4.25345234e-08 
 2.51188643e+02  4.18308206e-06  4.15323246e-08 
 2.58523484e+02  4.08665227e-06  4.05727976e-08 
 2.66072506e+02  3.99428907e-06  3.96538743e-08 
 2.73841963e+02  3.90579570e-06  3.87735802e-08 
 2.81838293e+02  3.82098423e-06  3.79300301e-08 
 2.90068120e+02  3.73967528e-06  3.71214262e-08 
 2.98538262e+02  3.66169776e-06  3.63460542e-08 
 3.07255737e+02  3.58688852e-06  3.56022804e-08 
 3.16227766e+02  3.51509216e-06  3.48885492e-08 
 3.25461783e+02  3.44616065e-06  3.42033798e-08 
 3.34965439e+02  3.37995316e-06  3.35453635e-08 
 3.44746607e+02  3.31633570e-06  3.29131611e-08 
 3.54813389e+02  3.25518093e-06  3.23054998e-08 
 3.65174127e+02  3.19636785e-06  3.17211710e-08 
 3.75837404e+02  3.13978157e-06  3.11590272e-08 
 3.86812055e+02  3.08531305e-06  3.06179802e-08 
 3.98107171e+02  3.03285888e-06  3.00969975e-08 
 4.09732110e+02  2.98232099e-06  2.95951008e-08 
 4.21696503e+02  2.93360646e-06  2.91113635e-08 
 4.34010264e+02  2.88662727e-06  2.86449076e-08 
 4.46683592e+02  2.84130008e-06  2.81949024e-08 
 4.59726989e+02  2.79754602e-06  2.77605619e-08 
 4.73151259e+02  2.75529045e-06  2.73411425e-08 
 4.86967525e+02  2.71446279e-06  2.69359410e-08 
 5.01187234e+02  2.67499632e-06  2.65442930e-08 
 5.15822165e+02  2.63682793e-06  2.61655702e-08 
 5.30884444e+02  2.59989801e-06  2.57991794e-08 
 5.46386550e+02  2.56415022e-06  2.54445601e-08 
 5.62341325e+02  2.52953135e-06  2.51011827e-08 
 5.78761988e+02  2.49599112e-06  2.47685474e-08 
 5.95662144e+02  2.46348204e-06  2.44461821e-08 
 6.13055792e+02  2.43195925e-06  2.41336410e-08 
 6.30957344e+02  2.40138040e-06  2.38305033e-08 
 6.49381632e+02  2.37170546e-06  2.35363717e-08 
 6.68343918e+02  2.34289664e-06  2.32508708e-08 
 6.87859912e+02  2.31491820e-06  2.29736462e-08 
 7.07945784e+02  2.28773640e-06  2.27043633e-08 
 7.28618175e+02  2.26131934e-06  2.24427058e-08 
 7.49894209e+02  2.23563686e-06  2.21883749e-08 
 7.71791516e+02  2.21066042e-06  2.19410883e-08 
 7.94328235e+02  2.18636304e-06  2.17005788e-08 
 8.17523038e+02  2.16271917e-06  2.14665940e-08 
 8.41395142e+02  2.13970462e-06  2.12388950e-08 
 8.65964323e+02  2.11729648e-06  2.10172555e-08 
 8.91250938e+02  2.09547301e-06  2.08014613e-08 
 9.17275935e+02  2.07421361e-06  2.05913096e-08 
