 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.50000000e+00  2.50000000e+00 -3.31711247e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711280e-05 
 8.00000000e-07  2.50000503e+00  3.82990704e+00  2.49999962e+00  2.49999998e+00 -3.31711394e-05 
 1.60000000e-06  2.50001005e+00  3.82990280e+00  2.49999538e+00  2.49999956e+00 -3.31711800e-05 
 3.20000000e-06  2.50002010e+00  3.82986035e+00  2.49995296e+00  2.49999159e+00 -3.31714111e-05 
 6.40000000e-06  2.50004020e+00  3.82954398e+00  2.49963706e+00  2.49988497e+00 -3.31731353e-05 
 1.14000000e-05  2.50007157e+00  3.82836540e+00  2.49846122e+00  2.49927039e+00 -3.31802706e-05 
 1.64000000e-05  2.50010286e+00  3.82651583e+00  2.49661737e+00  2.49799753e+00 -3.31923472e-05 
 2.14000000e-05  2.50013406e+00  3.82425148e+00  2.49436140e+00  2.49615330e+00 -3.32077967e-05 
 2.64000000e-05  2.50016512e+00  3.82173767e+00  2.49185790e+00  2.49391532e+00 -3.32253512e-05 
 3.14000000e-05  2.50019601e+00  3.81906933e+00  2.48920121e+00  2.49142579e+00 -3.32442244e-05 
 3.64000000e-05  2.50022672e+00  3.81630762e+00  2.48645210e+00  2.48877937e+00 -3.32639046e-05 
 4.14000000e-05  2.50025720e+00  3.81349274e+00  2.48365051e+00  2.48603814e+00 -3.32840566e-05 
 4.64000000e-05  2.50028743e+00  3.81065156e+00  2.48082312e+00  2.48324305e+00 -3.33044573e-05 
 5.14000000e-05  2.50031737e+00  3.80780237e+00  2.47798812e+00  2.48042141e+00 -3.33249560e-05 
 5.64000000e-05  2.50034700e+00  3.80495793e+00  2.47515819e+00  2.47759181e+00 -3.33454484e-05 
 6.14000000e-05  2.50037629e+00  3.80212745e+00  2.47234248e+00  2.47476719e+00 -3.33658602e-05 
 6.64000000e-05  2.50040521e+00  3.79931786e+00  2.46954788e+00  2.47195689e+00 -3.33861365e-05 
 7.14000000e-05  2.50043372e+00  3.79653460e+00  2.46677979e+00  2.46916788e+00 -3.34062349e-05 
 7.64000000e-05  2.50046181e+00  3.79378211e+00  2.46404264e+00  2.46640563e+00 -3.34261209e-05 
 8.14000000e-05  2.50048944e+00  3.79106423e+00  2.46134024e+00  2.46367461e+00 -3.34457657e-05 
 8.64000000e-05  2.50051659e+00  3.78838438e+00  2.45867598e+00  2.46097865e+00 -3.34651436e-05 
 9.14000000e-05  2.50054323e+00  3.78574566e+00  2.45605295e+00  2.45832116e+00 -3.34842315e-05 
 9.64000000e-05  2.50056934e+00  3.78315100e+00  2.45347406e+00  2.45570524e+00 -3.35030078e-05 
 1.01400000e-04  2.50059488e+00  3.78060318e+00  2.45094207e+00  2.45313379e+00 -3.35214523e-05 
 1.06400000e-04  2.50061983e+00  3.77810484e+00  2.44845963e+00  2.45060957e+00 -3.35395455e-05 
 1.11400000e-04  2.50064418e+00  3.77565858e+00  2.44602927e+00  2.44813522e+00 -3.35572686e-05 
 1.16400000e-04  2.50066788e+00  3.77326686e+00  2.44365349e+00  2.44571328e+00 -3.35746034e-05 
 1.21400000e-04  2.50069093e+00  3.77093213e+00  2.44133468e+00  2.44334623e+00 -3.35915323e-05 
 1.26400000e-04  2.50071330e+00  3.76865672e+00  2.43907519e+00  2.44103646e+00 -3.36080382e-05 
 1.31400000e-04  2.50073496e+00  3.76644294e+00  2.43687728e+00  2.43878629e+00 -3.36241043e-05 
 1.36400000e-04  2.50075590e+00  3.76429299e+00  2.43474316e+00  2.43659801e+00 -3.36397145e-05 
 1.41400000e-04  2.50077609e+00  3.76220904e+00  2.43267498e+00  2.43447379e+00 -3.36548531e-05 
 1.46400000e-04  2.50079552e+00  3.76019317e+00  2.43067479e+00  2.43241577e+00 -3.36695049e-05 
 1.51400000e-04  2.50081416e+00  3.75824741e+00  2.42874462e+00  2.43042602e+00 -3.36836550e-05 
 1.56400000e-04  2.50083199e+00  3.75637371e+00  2.42688638e+00  2.42850652e+00 -3.36972893e-05 
 1.61400000e-04  2.50084901e+00  3.75457393e+00  2.42510195e+00  2.42665920e+00 -3.37103940e-05 
 1.66400000e-04  2.50086519e+00  3.75284989e+00  2.42339311e+00  2.42488591e+00 -3.37229560e-05 
 1.71400000e-04  2.50088051e+00  3.75120331e+00  2.42176157e+00  2.42318844e+00 -3.37349626e-05 
 1.76400000e-04  2.50089497e+00  3.74963584e+00  2.42020897e+00  2.42156846e+00 -3.37464017e-05 
 1.81400000e-04  2.50090854e+00  3.74814906e+00  2.41873687e+00  2.42002762e+00 -3.37572619e-05 
 1.86400000e-04  2.50092121e+00  3.74674445e+00  2.41734673e+00  2.41856746e+00 -3.37675322e-05 
 1.91400000e-04  2.50093298e+00  3.74542342e+00  2.41603996e+00  2.41718944e+00 -3.37772022e-05 
 1.96400000e-04  2.50094382e+00  3.74418730e+00  2.41481787e+00  2.41589494e+00 -3.37862623e-05 
 2.01400000e-04  2.50095374e+00  3.74303733e+00  2.41368167e+00  2.41468525e+00 -3.37947032e-05 
 2.06400000e-04  2.50096271e+00  3.74197466e+00  2.41263251e+00  2.41356160e+00 -3.38025166e-05 
 2.11400000e-04  2.50097073e+00  3.74100035e+00  2.41167144e+00  2.41252511e+00 -3.38096944e-05 
 2.16400000e-04  2.50097780e+00  3.74011538e+00  2.41079943e+00  2.41157682e+00 -3.38162296e-05 
 2.21400000e-04  2.50098390e+00  3.73932065e+00  2.41001735e+00  2.41071768e+00 -3.38221155e-05 
 2.26400000e-04  2.50098903e+00  3.73861694e+00  2.40932598e+00  2.40994855e+00 -3.38273461e-05 
 2.31400000e-04  2.50099318e+00  3.73800497e+00  2.40872603e+00  2.40927021e+00 -3.38319163e-05 
 2.36400000e-04  2.50099635e+00  3.73748534e+00  2.40821808e+00  2.40868333e+00 -3.38358213e-05 
