 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.50000000e+00  2.50000000e+00 -3.31711247e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711280e-05 
 8.00000000e-07  2.50000503e+00  3.82990704e+00  2.49999962e+00  2.49999997e+00 -3.31711394e-05 
 1.60000000e-06  2.50001005e+00  3.82990279e+00  2.49999536e+00  2.49999942e+00 -3.31711802e-05 
 3.20000000e-06  2.50002010e+00  3.82985990e+00  2.49995250e+00  2.49998923e+00 -3.31714149e-05 
 6.40000000e-06  2.50004020e+00  3.82953583e+00  2.49962887e+00  2.49985687e+00 -3.31732041e-05 
 1.14000000e-05  2.50007157e+00  3.82830880e+00  2.49840430e+00  2.49911978e+00 -3.31807480e-05 
 1.64000000e-05  2.50010286e+00  3.82636240e+00  2.49646289e+00  2.49764067e+00 -3.31936416e-05 
 2.14000000e-05  2.50013406e+00  3.82397592e+00  2.49408353e+00  2.49556395e+00 -3.32101214e-05 
 2.64000000e-05  2.50016512e+00  3.82134413e+00  2.49146030e+00  2.49311479e+00 -3.32286712e-05 
 3.14000000e-05  2.50019601e+00  3.81857728e+00  2.48870295e+00  2.49045412e+00 -3.32483755e-05 
 3.64000000e-05  2.50022672e+00  3.81573976e+00  2.48587559e+00  2.48767794e+00 -3.32686954e-05 
 4.14000000e-05  2.50025720e+00  3.81286964e+00  2.48301609e+00  2.48484277e+00 -3.32893137e-05 
 4.64000000e-05  2.50028743e+00  3.80998997e+00  2.48014742e+00  2.48198223e+00 -3.33100394e-05 
 5.14000000e-05  2.50031737e+00  3.80711519e+00  2.47728394e+00  2.47911683e+00 -3.33307541e-05 
 5.64000000e-05  2.50034700e+00  3.80425480e+00  2.47443511e+00  2.47625955e+00 -3.33513813e-05 
 6.14000000e-05  2.50037629e+00  3.80141546e+00  2.47160756e+00  2.47341901e+00 -3.33718682e-05 
 6.64000000e-05  2.50040521e+00  3.79860216e+00  2.46880625e+00  2.47060137e+00 -3.33921761e-05 
 7.14000000e-05  2.50043372e+00  3.79581895e+00  2.46603523e+00  2.46781134e+00 -3.34122743e-05 
 7.64000000e-05  2.50046181e+00  3.79306932e+00  2.46329796e+00  2.46505279e+00 -3.34321366e-05 
 8.14000000e-05  2.50048944e+00  3.79035642e+00  2.46059758e+00  2.46232909e+00 -3.34517397e-05 
 8.64000000e-05  2.50051659e+00  3.78768318e+00  2.45793701e+00  2.45964330e+00 -3.34710620e-05 
 9.14000000e-05  2.50054323e+00  3.78505241e+00  2.45531904e+00  2.45699832e+00 -3.34900832e-05 
 9.64000000e-05  2.50056934e+00  3.78246680e+00  2.45274635e+00  2.45439689e+00 -3.35087835e-05 
 1.01400000e-04  2.50059488e+00  3.77992898e+00  2.45022156e+00  2.45184168e+00 -3.35271439e-05 
 1.06400000e-04  2.50061983e+00  3.77744150e+00  2.44774720e+00  2.44933528e+00 -3.35451458e-05 
 1.11400000e-04  2.50064418e+00  3.77500687e+00  2.44532578e+00  2.44688020e+00 -3.35627710e-05 
 1.16400000e-04  2.50066788e+00  3.77262752e+00  2.44295970e+00  2.44447892e+00 -3.35800018e-05 
 1.21400000e-04  2.50069093e+00  3.77030584e+00  2.44065134e+00  2.44213383e+00 -3.35968208e-05 
 1.26400000e-04  2.50071330e+00  3.76804415e+00  2.43840301e+00  2.43984729e+00 -3.36132113e-05 
 1.31400000e-04  2.50073496e+00  3.76584471e+00  2.43621696e+00  2.43762158e+00 -3.36291567e-05 
 1.36400000e-04  2.50075590e+00  3.76370971e+00  2.43409537e+00  2.43545893e+00 -3.36446410e-05 
 1.41400000e-04  2.50077609e+00  3.76164131e+00  2.43204037e+00  2.43336151e+00 -3.36596487e-05 
 1.46400000e-04  2.50079552e+00  3.75964157e+00  2.43005402e+00  2.43133141e+00 -3.36741647e-05 
 1.51400000e-04  2.50081416e+00  3.75771248e+00  2.42813830e+00  2.42937066e+00 -3.36881744e-05 
 1.56400000e-04  2.50083199e+00  3.75585599e+00  2.42629513e+00  2.42748123e+00 -3.37016637e-05 
 1.61400000e-04  2.50084901e+00  3.75407394e+00  2.42452636e+00  2.42566501e+00 -3.37146190e-05 
 1.66400000e-04  2.50086519e+00  3.75236813e+00  2.42283375e+00  2.42392382e+00 -3.37270274e-05 
 1.71400000e-04  2.50088051e+00  3.75074027e+00  2.42121901e+00  2.42225940e+00 -3.37388763e-05 
 1.76400000e-04  2.50089497e+00  3.74919199e+00  2.41968376e+00  2.42067342e+00 -3.37501539e-05 
 1.81400000e-04  2.50090854e+00  3.74772483e+00  2.41822952e+00  2.41916747e+00 -3.37608487e-05 
 1.86400000e-04  2.50092121e+00  3.74634027e+00  2.41685777e+00  2.41774306e+00 -3.37709500e-05 
 1.91400000e-04  2.50093298e+00  3.74503970e+00  2.41556986e+00  2.41640162e+00 -3.37804477e-05 
 1.96400000e-04  2.50094382e+00  3.74382441e+00  2.41436711e+00  2.41514449e+00 -3.37893321e-05 
 2.01400000e-04  2.50095374e+00  3.74269564e+00  2.41325071e+00  2.41397293e+00 -3.37975943e-05 
 2.06400000e-04  2.50096271e+00  3.74165451e+00  2.41222178e+00  2.41288811e+00 -3.38052261e-05 
 2.11400000e-04  2.50097073e+00  3.74070207e+00  2.41128135e+00  2.41189114e+00 -3.38122196e-05 
 2.16400000e-04  2.50097780e+00  3.73983927e+00  2.41043037e+00  2.41098300e+00 -3.38185679e-05 
 2.21400000e-04  2.50098390e+00  3.73906698e+00  2.40966969e+00  2.41016460e+00 -3.38242646e-05 
 2.26400000e-04  2.50098903e+00  3.73838597e+00  2.40900007e+00  2.40943678e+00 -3.38293039e-05 
 2.31400000e-04  2.50099318e+00  3.73779692e+00  2.40842219e+00  2.40880025e+00 -3.38336807e-05 
 2.36400000e-04  2.50099635e+00  3.73730043e+00  2.40793663e+00  2.40825566e+00 -3.38373907e-05 
