 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 1.71400000e-04  2.50088051e+00  4.50818643e+00  4.55176261e+00  2.53837259e+00  2.53794451e+00  2.53772169e+00 -2.38727243e-05 
 1.76400000e-04  2.50089497e+00  4.50810038e+00  4.55240761e+00  2.53901372e+00  2.53860945e+00  2.53839887e+00 -2.38680172e-05 
 1.81400000e-04  2.50090854e+00  4.50801954e+00  4.55301342e+00  2.53961561e+00  2.53923554e+00  2.53903744e+00 -2.38635963e-05 
 1.86400000e-04  2.50092121e+00  4.50794398e+00  4.55357964e+00  2.54017783e+00  2.53982227e+00  2.53963679e+00 -2.38594644e-05 
 1.91400000e-04  2.50093298e+00  4.50787379e+00  4.55410571e+00  2.54069986e+00  2.54036913e+00  2.54019644e+00 -2.38556252e-05 
 1.96400000e-04  2.50094382e+00  4.50780905e+00  4.55459118e+00  2.54118124e+00  2.54087563e+00  2.54071588e+00 -2.38520823e-05 
 2.01400000e-04  2.50095374e+00  4.50774981e+00  4.55503561e+00  2.54162152e+00  2.54134131e+00  2.54119465e+00 -2.38488386e-05 
 2.06400000e-04  2.50096271e+00  4.50769613e+00  4.55543859e+00  2.54202033e+00  2.54176576e+00  2.54163232e+00 -2.38458970e-05 
 2.11400000e-04  2.50097073e+00  4.50764808e+00  4.55579978e+00  2.54237729e+00  2.54214860e+00  2.54202849e+00 -2.38432600e-05 
 2.16400000e-04  2.50097780e+00  4.50760570e+00  4.55611883e+00  2.54269209e+00  2.54248948e+00  2.54238282e+00 -2.38409301e-05 
 2.21400000e-04  2.50098390e+00  4.50756904e+00  4.55639548e+00  2.54296446e+00  2.54278811e+00  2.54269498e+00 -2.38389092e-05 
 2.26400000e-04  2.50098903e+00  4.50753813e+00  4.55662947e+00  2.54319414e+00  2.54304421e+00  2.54296471e+00 -2.38371991e-05 
 2.31400000e-04  2.50099318e+00  4.50751300e+00  4.55682059e+00  2.54338093e+00  2.54325755e+00  2.54319175e+00 -2.38358013e-05 
 2.36400000e-04  2.50099635e+00  4.50749368e+00  4.55696868e+00  2.54352467e+00  2.54342795e+00  2.54337590e+00 -2.38347169e-05 
 2.41400000e-04  2.50099854e+00  4.50748020e+00  4.55707360e+00  2.54362524e+00  2.54355526e+00  2.54351701e+00 -2.38339470e-05 
 2.46400000e-04  2.50099974e+00  4.50747256e+00  4.55713525e+00  2.54368253e+00  2.54363936e+00  2.54361494e+00 -2.38334922e-05 
 2.51400000e-04  2.50099996e+00  4.50747077e+00  4.55715359e+00  2.54369650e+00  2.54368018e+00  2.54366961e+00 -2.38333529e-05 
 2.56400000e-04  2.50099919e+00  4.50747483e+00  4.55712860e+00  2.54366714e+00  2.54367768e+00  2.54368098e+00 -2.38335293e-05 
 2.61400000e-04  2.50099744e+00  4.50748475e+00  4.55706029e+00  2.54359447e+00  2.54363186e+00  2.54364902e+00 -2.38340211e-05 
 2.66400000e-04  2.50099470e+00  4.50750050e+00  4.55694874e+00  2.54347855e+00  2.54354277e+00  2.54357377e+00 -2.38348279e-05 
 2.71400000e-04  2.50099097e+00  4.50752208e+00  4.55679403e+00  2.54331951e+00  2.54341048e+00  2.54345530e+00 -2.38359492e-05 
 2.76400000e-04  2.50098627e+00  4.50754945e+00  4.55659630e+00  2.54311746e+00  2.54323512e+00  2.54329371e+00 -2.38373838e-05 
 2.81400000e-04  2.50098060e+00  4.50758260e+00  4.55635574e+00  2.54287260e+00  2.54301683e+00  2.54308915e+00 -2.38391306e-05 
 2.86400000e-04  2.50097396e+00  4.50762149e+00  4.55607255e+00  2.54258514e+00  2.54275582e+00  2.54284180e+00 -2.38411880e-05 
 2.91400000e-04  2.50096636e+00  4.50766608e+00  4.55574699e+00  2.54225534e+00  2.54245231e+00  2.54255188e+00 -2.38435542e-05 
 2.96400000e-04  2.50095780e+00  4.50771632e+00  4.55537935e+00  2.54188349e+00  2.54210658e+00  2.54221964e+00 -2.38462272e-05 
 3.01400000e-04  2.50094830e+00  4.50777216e+00  4.55496996e+00  2.54146993e+00  2.54171894e+00  2.54184540e+00 -2.38492047e-05 
 3.06400000e-04  2.50093786e+00  4.50783355e+00  4.55451918e+00  2.54101502e+00  2.54128973e+00  2.54142947e+00 -2.38524840e-05 
 3.11400000e-04  2.50092650e+00  4.50790042e+00  4.55402741e+00  2.54051918e+00  2.54081934e+00  2.54097223e+00 -2.38560623e-05 
 3.16400000e-04  2.50091423e+00  4.50797270e+00  4.55349511e+00  2.53998285e+00  2.54030819e+00  2.54047410e+00 -2.38599364e-05 
 3.21400000e-04  2.50090105e+00  4.50805031e+00  4.55292274e+00  2.53940651e+00  2.53975674e+00  2.53993552e+00 -2.38641030e-05 
 3.26400000e-04  2.50088698e+00  4.50813319e+00  4.55231083e+00  2.53879069e+00  2.53916548e+00  2.53935697e+00 -2.38685583e-05 
 3.31400000e-04  2.50087204e+00  4.50822123e+00  4.55165981e+00  2.53813583e+00  2.53853491e+00  2.53873895e+00 -2.38732994e-05 
 3.36400000e-04  2.50085623e+00  4.50831436e+00  4.55097040e+00  2.53744264e+00  2.53786559e+00  2.53808200e+00 -2.38783210e-05 
 3.41400000e-04  2.50083958e+00  4.50841248e+00  4.55024330e+00  2.53671183e+00  2.53715823e+00  2.53738677e+00 -2.38836180e-05 
 3.46400000e-04  2.50082210e+00  4.50851549e+00  4.54947904e+00  2.53594394e+00  2.53641344e+00  2.53665392e+00 -2.38891867e-05 
 3.51400000e-04  2.50080382e+00  4.50862328e+00  4.54867837e+00  2.53513971e+00  2.53563186e+00  2.53588408e+00 -2.38950219e-05 
 3.56400000e-04  2.50078473e+00  4.50873575e+00  4.54784199e+00  2.53429986e+00  2.53481422e+00  2.53507794e+00 -2.39011183e-05 
 3.61400000e-04  2.50076488e+00  4.50885277e+00  4.54697068e+00  2.53342516e+00  2.53396126e+00  2.53423624e+00 -2.39074707e-05 
 3.66400000e-04  2.50074426e+00  4.50897423e+00  4.54606522e+00  2.53251641e+00  2.53307376e+00  2.53335974e+00 -2.39140731e-05 
 3.71400000e-04  2.50072292e+00  4.50910001e+00  4.54512647e+00  2.53157445e+00  2.53215254e+00  2.53244927e+00 -2.39209197e-05 
 3.76400000e-04  2.50070086e+00  4.50922997e+00  4.54415526e+00  2.53060014e+00  2.53119844e+00  2.53150563e+00 -2.39280043e-05 
 3.81400000e-04  2.50067811e+00  4.50936399e+00  4.54315252e+00  2.52959438e+00  2.53021233e+00  2.53052972e+00 -2.39353203e-05 
 3.86400000e-04  2.50065469e+00  4.50950193e+00  4.54211915e+00  2.52855811e+00  2.52919514e+00  2.52952242e+00 -2.39428613e-05 
 3.91400000e-04  2.50063062e+00  4.50964364e+00  4.54105612e+00  2.52749228e+00  2.52814780e+00  2.52848468e+00 -2.39506202e-05 
 3.96400000e-04  2.50060593e+00  4.50978900e+00  4.53996442e+00  2.52639788e+00  2.52707129e+00  2.52741745e+00 -2.39585900e-05 
 4.01400000e-04  2.50058065e+00  4.50993784e+00  4.53884507e+00  2.52527595e+00  2.52596661e+00  2.52632172e+00 -2.39667633e-05 
 4.06400000e-04  2.50055479e+00  4.51009002e+00  4.53769911e+00  2.52412752e+00  2.52483479e+00  2.52519853e+00 -2.39751326e-05 
 4.11400000e-04  2.50052838e+00  4.51024538e+00  4.53652763e+00  2.52295368e+00  2.52367690e+00  2.52404891e+00 -2.39836901e-05 
 4.16400000e-04  2.50050145e+00  4.51040378e+00  4.53533171e+00  2.52175553e+00  2.52249401e+00  2.52287396e+00 -2.39924278e-05 
 4.21400000e-04  2.50047403e+00  4.51056504e+00  4.53411249e+00  2.52053419e+00  2.52128725e+00  2.52167478e+00 -2.40013376e-05 
 4.26400000e-04  2.50044614e+00  4.51072900e+00  4.53287113e+00  2.51929084e+00  2.52005775e+00  2.52045249e+00 -2.40104112e-05 
 4.31400000e-04  2.50041780e+00  4.51089551e+00  4.53160880e+00  2.51802664e+00  2.51880668e+00  2.51920825e+00 -2.40196399e-05 
 4.36400000e-04  2.50038906e+00  4.51106439e+00  4.53032670e+00  2.51674281e+00  2.51753523e+00  2.51794326e+00 -2.40290152e-05 
 4.41400000e-04  2.50035993e+00  4.51123547e+00  4.52902606e+00  2.51544056e+00  2.51624461e+00  2.51665870e+00 -2.40385281e-05 
 4.46400000e-04  2.50033045e+00  4.51140859e+00  4.52770812e+00  2.51412114e+00  2.51493606e+00  2.51535582e+00 -2.40481695e-05 
 4.51400000e-04  2.50030064e+00  4.51158357e+00  4.52637415e+00  2.51278582e+00  2.51361083e+00  2.51403585e+00 -2.40579303e-05 
 4.56400000e-04  2.50027053e+00  4.51176023e+00  4.52502543e+00  2.51143590e+00  2.51227018e+00  2.51270006e+00 -2.40678012e-05 
 4.61400000e-04  2.50024016e+00  4.51193840e+00  4.52366327e+00  2.51007266e+00  2.51091543e+00  2.51134975e+00 -2.40777726e-05 
 4.66400000e-04  2.50020955e+00  4.51211791e+00  4.52228899e+00  2.50869743e+00  2.50954787e+00  2.50998621e+00 -2.40878349e-05 
 4.71400000e-04  2.50017873e+00  4.51229856e+00  4.52090391e+00  2.50731156e+00  2.50816883e+00  2.50861077e+00 -2.40979784e-05 
 4.76400000e-04  2.50014774e+00  4.51248019e+00  4.51950939e+00  2.50591638e+00  2.50677966e+00  2.50722476e+00 -2.41081932e-05 
 4.81400000e-04  2.50011660e+00  4.51266261e+00  4.51810680e+00  2.50451326e+00  2.50538170e+00  2.50582954e+00 -2.41184695e-05 
 4.86400000e-04  2.50008535e+00  4.51284564e+00  4.51669750e+00  2.50310358e+00  2.50397633e+00  2.50442646e+00 -2.41287970e-05 
 4.91400000e-04  2.50005401e+00  4.51302910e+00  4.51528288e+00  2.50168872e+00  2.50256493e+00  2.50301691e+00 -2.41391658e-05 
 4.96400000e-04  2.50002262e+00  4.51321281e+00  4.51386433e+00  2.50027008e+00  2.50114888e+00  2.50160227e+00 -2.41495655e-05 
 5.01400000e-04  2.49999120e+00  4.51339658e+00  4.51244326e+00  2.49884905e+00  2.49972957e+00  2.50018392e+00 -2.41599860e-05 
 5.06400000e-04  2.49995980e+00  4.51358025e+00  4.51102107e+00  2.49742704e+00  2.49830842e+00  2.49876328e+00 -2.41704169e-05 
 5.11400000e-04  2.49992843e+00  4.51376361e+00  4.50959917e+00  2.49600547e+00  2.49688683e+00  2.49734175e+00 -2.41808479e-05 
 5.16400000e-04  2.49989714e+00  4.51394650e+00  4.50817898e+00  2.49458576e+00  2.49546622e+00  2.49592074e+00 -2.41912684e-05 
 5.21400000e-04  2.49986594e+00  4.51412874e+00  4.50676192e+00  2.49316931e+00  2.49404799e+00  2.49450167e+00 -2.42016682e-05 
 5.26400000e-04  2.49983488e+00  4.51431014e+00  4.50534940e+00  2.49175754e+00  2.49263357e+00  2.49308595e+00 -2.42120368e-05 
