 frequency       onoise_spectrum inoise_spectrum
 6.13055792e+03  3.19377497e-06  4.13173309e-08 
 6.30957344e+03  3.15907528e-06  4.09358864e-08 
 6.49381632e+03  3.12475657e-06  4.05618747e-08 
 6.68343918e+03  3.09080073e-06  4.01951900e-08 
 6.87859912e+03  3.05718938e-06  3.98357276e-08 
 7.07945784e+03  3.02390381e-06  3.94833840e-08 
 7.28618175e+03  2.99092505e-06  3.91380568e-08 
 7.49894209e+03  2.95823381e-06  3.87996447e-08 
 7.71791516e+03  2.92581048e-06  3.84680473e-08 
 7.94328235e+03  2.89363519e-06  3.81431655e-08 
 8.17523038e+03  2.86168772e-06  3.78249012e-08 
 8.41395142e+03  2.82994759e-06  3.75131573e-08 
 8.65964323e+03  2.79839402e-06  3.72078379e-08 
 8.91250938e+03  2.76700596e-06  3.69088482e-08 
 9.17275935e+03  2.73576210e-06  3.66160943e-08 
 9.44060876e+03  2.70464087e-06  3.63294837e-08 
 9.71627952e+03  2.67362049e-06  3.60489246e-08 
 1.00000000e+04  2.64267901e-06  3.57743266e-08 
 1.02920053e+04  2.61179427e-06  3.55056005e-08 
 1.05925373e+04  2.58094402e-06  3.52426578e-08 
 1.09018449e+04  2.55010592e-06  3.49854117e-08 
 1.12201845e+04  2.51925759e-06  3.47337760e-08 
 1.15478198e+04  2.48837665e-06  3.44876662e-08 
 1.18850223e+04  2.45744083e-06  3.42469986e-08 
 1.22320712e+04  2.42642798e-06  3.40116910e-08 
 1.25892541e+04  2.39531618e-06  3.37816622e-08 
 1.29568670e+04  2.36408380e-06  3.35568324e-08 
 1.33352143e+04  2.33270963e-06  3.33371231e-08 
 1.37246096e+04  2.30117290e-06  3.31224570e-08 
 1.41253754e+04  2.26945346e-06  3.29127584e-08 
 1.45378439e+04  2.23753185e-06  3.27079527e-08 
 1.49623566e+04  2.20538943e-06  3.25079669e-08 
 1.53992653e+04  2.17300851e-06  3.23127293e-08 
 1.58489319e+04  2.14037245e-06  3.21221700e-08 
 1.63117291e+04  2.10746584e-06  3.19362203e-08 
 1.67880402e+04  2.07427462e-06  3.17548132e-08 
 1.72782598e+04  2.04078622e-06  3.15778835e-08 
 1.77827941e+04  2.00698972e-06  3.14053674e-08 
 1.83020611e+04  1.97287598e-06  3.12372031e-08 
 1.88364909e+04  1.93843782e-06  3.10733305e-08 
 1.93865264e+04  1.90367014e-06  3.09136912e-08 
 1.99526231e+04  1.86857009e-06  3.07582290e-08 
