 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711237e-05 
 1.00000000e-07  2.50000063e+00  3.82990742e+00  2.49999999e+00  2.50000000e+00 -3.31711242e-05 
 2.00000000e-07  2.50000126e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711259e-05 
 4.00000000e-07  2.50000251e+00  3.82990721e+00  2.49999978e+00  2.49999999e+00 -3.31711316e-05 
 8.00000000e-07  2.50000503e+00  3.82990488e+00  2.49999745e+00  2.49999983e+00 -3.31711536e-05 
 1.60000000e-06  2.50001005e+00  3.82988077e+00  2.49997334e+00  2.49999671e+00 -3.31712935e-05 
 3.20000000e-06  2.50002010e+00  3.82969339e+00  2.49978602e+00  2.49995104e+00 -3.31724031e-05 
 6.40000000e-06  2.50004020e+00  3.82872439e+00  2.49881749e+00  2.49952702e+00 -3.31787249e-05 
 1.14000000e-05  2.50007157e+00  3.82627596e+00  2.49637096e+00  2.49786082e+00 -3.31957299e-05 
 1.64000000e-05  2.50010286e+00  3.82344269e+00  2.49354070e+00  2.49535652e+00 -3.32159496e-05 
 2.14000000e-05  2.50013406e+00  3.82053363e+00  2.49063525e+00  2.49253881e+00 -3.32368365e-05 
 2.64000000e-05  2.50016512e+00  3.81759184e+00  2.48769745e+00  2.48963152e+00 -3.32580079e-05 
 3.14000000e-05  2.50019601e+00  3.81465210e+00  2.48476201e+00  2.48669894e+00 -3.32791827e-05 
 3.64000000e-05  2.50022672e+00  3.81172376e+00  2.48183827e+00  2.48376894e+00 -3.33002826e-05 
 4.14000000e-05  2.50025720e+00  3.80881267e+00  2.47893207e+00  2.48085190e+00 -3.33212628e-05 
 4.64000000e-05  2.50028743e+00  3.80592278e+00  2.47604732e+00  2.47795345e+00 -3.33420932e-05 
 5.14000000e-05  2.50031737e+00  3.80305717e+00  2.47318713e+00  2.47507739e+00 -3.33627514e-05 
 5.64000000e-05  2.50034700e+00  3.80021886e+00  2.47035449e+00  2.47222689e+00 -3.33832153e-05 
 6.14000000e-05  2.50037629e+00  3.79741068e+00  2.46755224e+00  2.46940489e+00 -3.34034645e-05 
 6.64000000e-05  2.50040521e+00  3.79463546e+00  2.46478319e+00  2.46661422e+00 -3.34234786e-05 
 7.14000000e-05  2.50043372e+00  3.79189594e+00  2.46205009e+00  2.46385769e+00 -3.34432376e-05 
 7.64000000e-05  2.50046181e+00  3.78919487e+00  2.45935567e+00  2.46113803e+00 -3.34627218e-05 
 8.14000000e-05  2.50048944e+00  3.78653494e+00  2.45670261e+00  2.45845795e+00 -3.34819117e-05 
 8.64000000e-05  2.50051659e+00  3.78391879e+00  2.45409356e+00  2.45582014e+00 -3.35007881e-05 
 9.14000000e-05  2.50054323e+00  3.78134903e+00  2.45153112e+00  2.45322721e+00 -3.35193322e-05 
 9.64000000e-05  2.50056934e+00  3.77882824e+00  2.44901784e+00  2.45068175e+00 -3.35375253e-05 
 1.01400000e-04  2.50059488e+00  3.77635892e+00  2.44655624e+00  2.44818631e+00 -3.35553494e-05 
 1.06400000e-04  2.50061983e+00  3.77394354e+00  2.44414877e+00  2.44574338e+00 -3.35727864e-05 
 1.11400000e-04  2.50064418e+00  3.77158452e+00  2.44179784e+00  2.44335538e+00 -3.35898190e-05 
 1.16400000e-04  2.50066788e+00  3.76928421e+00  2.43950579e+00  2.44102472e+00 -3.36064300e-05 
 1.21400000e-04  2.50069093e+00  3.76704490e+00  2.43727492e+00  2.43875371e+00 -3.36226029e-05 
 1.26400000e-04  2.50071330e+00  3.76486885e+00  2.43510745e+00  2.43654464e+00 -3.36383213e-05 
 1.31400000e-04  2.50073496e+00  3.76275822e+00  2.43300556e+00  2.43439970e+00 -3.36535695e-05 
