 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+02  1.63335120e-05  1.72198766e-07 
 2.37137371e+02  1.60629934e-05  1.69339570e-07 
 2.44061907e+02  1.57991893e-05  1.66551852e-07 
 2.51188643e+02  1.55418233e-05  1.63832641e-07 
 2.58523484e+02  1.52906337e-05  1.61179133e-07 
 2.66072506e+02  1.50453734e-05  1.58588679e-07 
 2.73841963e+02  1.48058088e-05  1.56058774e-07 
 2.81838293e+02  1.45717192e-05  1.53587054e-07 
 2.90068120e+02  1.43428956e-05  1.51171284e-07 
 2.98538262e+02  1.41191408e-05  1.48809351e-07 
 3.07255737e+02  1.39002679e-05  1.46499257e-07 
 3.16227766e+02  1.36861004e-05  1.44239115e-07 
 3.25461783e+02  1.34764711e-05  1.42027137e-07 
 3.34965439e+02  1.32712216e-05  1.39861632e-07 
 3.44746607e+02  1.30702022e-05  1.37741000e-07 
 3.54813389e+02  1.28732709e-05  1.35663727e-07 
 3.65174127e+02  1.26802931e-05  1.33628376e-07 
 3.75837404e+02  1.24911413e-05  1.31633587e-07 
 3.86812055e+02  1.23056945e-05  1.29678071e-07 
 3.98107171e+02  1.21238379e-05  1.27760603e-07 
 4.09732110e+02  1.19454624e-05  1.25880023e-07 
 4.21696503e+02  1.17704646e-05  1.24035228e-07 
 4.34010264e+02  1.15987459e-05  1.22225170e-07 
 4.46683592e+02  1.14302127e-05  1.20448854e-07 
 4.59726989e+02  1.12647760e-05  1.18705332e-07 
 4.73151259e+02  1.11023509e-05  1.16993703e-07 
 4.86967525e+02  1.09428565e-05  1.15313107e-07 
 5.01187234e+02  1.07862158e-05  1.13662726e-07 
 5.15822165e+02  1.06323552e-05  1.12041781e-07 
 5.30884444e+02  1.04812045e-05  1.10449525e-07 
 5.46386550e+02  1.03326965e-05  1.08885249e-07 
 5.62341325e+02  1.01867671e-05  1.07348271e-07 
 5.78761988e+02  1.00433548e-05  1.05837942e-07 
 5.95662144e+02  9.90240093e-06  1.04353639e-07 
 6.13055792e+02  9.76384901e-06  1.02894767e-07 
 6.30957344e+02  9.62764501e-06  1.01460754e-07 
 6.49381632e+02  9.49373703e-06  1.00051053e-07 
 6.68343918e+02  9.36207521e-06  9.86651370e-08 
 6.87859912e+02  9.23261161e-06  9.73025014e-08 
 7.07945784e+02  9.10530011e-06  9.59626602e-08 
 7.28618175e+02  8.98009630e-06  9.46451460e-08 
 7.49894209e+02  8.85695737e-06  9.33495088e-08 
 7.71791516e+02  8.73584204e-06  9.20753150e-08 
 7.94328235e+02  8.61671045e-06  9.08221464e-08 
 8.17523038e+02  8.49952410e-06  8.95895996e-08 
 8.41395142e+02  8.38424577e-06  8.83772849e-08 
 8.65964323e+02  8.27083945e-06  8.71848258e-08 
 8.91250938e+02  8.15927026e-06  8.60118579e-08 
 9.17275935e+02  8.04950441e-06  8.48580290e-08 
 9.44060876e+02  7.94150911e-06  8.37229976e-08 
 9.71627952e+02  7.83525255e-06  8.26064329e-08 
 1.00000000e+03  7.73070384e-06  8.15080143e-08 
 1.02920053e+03  7.62783294e-06  8.04274303e-08 
 1.05925373e+03  7.52661062e-06  7.93643788e-08 
 1.09018449e+03  7.42700846e-06  7.83185660e-08 
 1.12201845e+03  7.32899873e-06  7.72897064e-08 
 1.15478198e+03  7.23255443e-06  7.62775222e-08 
 1.18850223e+03  7.13764920e-06  7.52817432e-08 
 1.22320712e+03  7.04425732e-06  7.43021059e-08 
 1.25892541e+03  6.95235364e-06  7.33383538e-08 
 1.29568670e+03  6.86191361e-06  7.23902367e-08 
 1.33352143e+03  6.77291319e-06  7.14575106e-08 
 1.37246096e+03  6.68532883e-06  7.05399372e-08 
 1.41253754e+03  6.59913748e-06  6.96372841e-08 
 1.45378439e+03  6.51431656e-06  6.87493239e-08 
 1.49623566e+03  6.43084389e-06  6.78758346e-08 
 1.53992653e+03  6.34869770e-06  6.70165991e-08 
 1.58489319e+03  6.26785664e-06  6.61714048e-08 
 1.63117291e+03  6.18829969e-06  6.53400440e-08 
 1.67880402e+03  6.11000618e-06  6.45223129e-08 
 1.72782598e+03  6.03295578e-06  6.37180124e-08 
 1.77827941e+03  5.95712847e-06  6.29269468e-08 
 1.83020611e+03  5.88250450e-06  6.21489249e-08 
 1.88364909e+03  5.80906440e-06  6.13837587e-08 
 1.93865264e+03  5.73678896e-06  6.06312640e-08 
