 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 2.06400000e-04  2.50096271e+00  3.74236937e+00  2.41314280e+00  2.41399455e+00 -3.37991755e-05 
 2.11400000e-04  2.50097073e+00  3.74136717e+00  2.41215534e+00  2.41293944e+00 -3.38065885e-05 
 2.16400000e-04  2.50097780e+00  3.74045394e+00  2.41125646e+00  2.41197211e+00 -3.38133619e-05 
 2.21400000e-04  2.50098390e+00  3.73963060e+00  2.41044704e+00  2.41109353e+00 -3.38194889e-05 
 2.26400000e-04  2.50098903e+00  3.73889798e+00  2.40972791e+00  2.41030459e+00 -3.38249634e-05 
 2.31400000e-04  2.50099318e+00  3.73825682e+00  2.40909978e+00  2.40960608e+00 -3.38297797e-05 
 2.36400000e-04  2.50099635e+00  3.73770774e+00  2.40856329e+00  2.40899869e+00 -3.38339331e-05 
 2.41400000e-04  2.50099854e+00  3.73725132e+00  2.40811897e+00  2.40848304e+00 -3.38374193e-05 
 2.46400000e-04  2.50099974e+00  3.73688799e+00  2.40776726e+00  2.40805963e+00 -3.38402350e-05 
 2.51400000e-04  2.50099996e+00  3.73661814e+00  2.40750853e+00  2.40772891e+00 -3.38423771e-05 
 2.56400000e-04  2.50099919e+00  3.73644202e+00  2.40734302e+00  2.40749119e+00 -3.38438437e-05 
 2.61400000e-04  2.50099744e+00  3.73635981e+00  2.40727091e+00  2.40734672e+00 -3.38446332e-05 
 2.66400000e-04  2.50099470e+00  3.73637160e+00  2.40729226e+00  2.40729564e+00 -3.38447449e-05 
 2.71400000e-04  2.50099097e+00  3.73647738e+00  2.40740706e+00  2.40733800e+00 -3.38441786e-05 
 2.76400000e-04  2.50098627e+00  3.73667703e+00  2.40761519e+00  2.40747376e+00 -3.38429349e-05 
 2.81400000e-04  2.50098060e+00  3.73697035e+00  2.40791643e+00  2.40770278e+00 -3.38410151e-05 
 2.86400000e-04  2.50097396e+00  3.73735706e+00  2.40831049e+00  2.40802483e+00 -3.38384211e-05 
 2.91400000e-04  2.50096636e+00  3.73783675e+00  2.40879696e+00  2.40843958e+00 -3.38351557e-05 
 2.96400000e-04  2.50095780e+00  3.73840896e+00  2.40937537e+00  2.40894663e+00 -3.38312220e-05 
 3.01400000e-04  2.50094830e+00  3.73907309e+00  2.41004512e+00  2.40954545e+00 -3.38266241e-05 
 3.06400000e-04  2.50093786e+00  3.73982849e+00  2.41080554e+00  2.41023544e+00 -3.38213666e-05 
 3.11400000e-04  2.50092650e+00  3.74067440e+00  2.41165588e+00  2.41101592e+00 -3.38154549e-05 
 3.16400000e-04  2.50091423e+00  3.74160996e+00  2.41259526e+00  2.41188610e+00 -3.38088949e-05 
 3.21400000e-04  2.50090105e+00  3.74263424e+00  2.41362277e+00  2.41284510e+00 -3.38016932e-05 
 3.26400000e-04  2.50088698e+00  3.74374620e+00  2.41473735e+00  2.41389196e+00 -3.37938571e-05 
