 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+02  1.67240618e-05  1.72198648e-07 
 2.37137371e+02  1.64469975e-05  1.69339450e-07 
 2.44061907e+02  1.61768160e-05  1.66551730e-07 
 2.51188643e+02  1.59132333e-05  1.63832517e-07 
 2.58523484e+02  1.56559812e-05  1.61179007e-07 
 2.66072506e+02  1.54048061e-05  1.58588550e-07 
 2.73841963e+02  1.51594685e-05  1.56058643e-07 
 2.81838293e+02  1.49197418e-05  1.53586921e-07 
 2.90068120e+02  1.46854119e-05  1.51171149e-07 
 2.98538262e+02  1.44562764e-05  1.48809214e-07 
 3.07255737e+02  1.42321437e-05  1.46499118e-07 
 3.16227766e+02  1.40128326e-05  1.44238974e-07 
 3.25461783e+02  1.37981717e-05  1.42026993e-07 
 3.34965439e+02  1.35879989e-05  1.39861486e-07 
 3.44746607e+02  1.33821603e-05  1.37740852e-07 
 3.54813389e+02  1.31805104e-05  1.35663577e-07 
 3.65174127e+02  1.29829114e-05  1.33628224e-07 
 3.75837404e+02  1.27892324e-05  1.31633432e-07 
 3.86812055e+02  1.25993493e-05  1.29677914e-07 
 3.98107171e+02  1.24131446e-05  1.27760443e-07 
 4.09732110e+02  1.22305065e-05  1.25879861e-07 
 4.21696503e+02  1.20513287e-05  1.24035063e-07 
 4.34010264e+02  1.18755105e-05  1.22225003e-07 
 4.46683592e+02  1.17029558e-05  1.20448685e-07 
 4.59726989e+02  1.15335733e-05  1.18705160e-07 
 4.73151259e+02  1.13672762e-05  1.16993528e-07 
 4.86967525e+02  1.12039815e-05  1.15312929e-07 
 5.01187234e+02  1.10436102e-05  1.13662546e-07 
 5.15822165e+02  1.08860871e-05  1.12041598e-07 
 5.30884444e+02  1.07313401e-05  1.10449340e-07 
 5.46386550e+02  1.05793006e-05  1.08885061e-07 
 5.62341325e+02  1.04299027e-05  1.07348080e-07 
 5.78761988e+02  1.02830835e-05  1.05837748e-07 
 5.95662144e+02  1.01387829e-05  1.04353442e-07 
 6.13055792e+02  9.99694308e-06  1.02894567e-07 
 6.30957344e+02  9.85750871e-06  1.01460552e-07 
 6.49381632e+02  9.72042664e-06  1.00050848e-07 
 6.68343918e+02  9.58564584e-06  9.86649288e-08 
 6.87859912e+02  9.45311723e-06  9.73022902e-08 
 7.07945784e+02  9.32279360e-06  9.59624459e-08 
 7.28618175e+02  9.19462950e-06  9.46449287e-08 
 7.49894209e+02  9.06858114e-06  9.33492884e-08 
 7.71791516e+02  8.94460626e-06  9.20750914e-08 
 7.94328235e+02  8.82266410e-06  9.08219197e-08 
 8.17523038e+02  8.70271529e-06  8.95893697e-08 
 8.41395142e+02  8.58472175e-06  8.83770518e-08 
 8.65964323e+02  8.46864666e-06  8.71845893e-08 
 8.91250938e+02  8.35445437e-06  8.60116182e-08 
 9.17275935e+02  8.24211034e-06  8.48577859e-08 
 9.44060876e+02  8.13158106e-06  8.37227511e-08 
 9.71627952e+02  8.02283405e-06  8.26061830e-08 
 1.00000000e+03  7.91583772e-06  8.15077609e-08 
 1.02920053e+03  7.81056142e-06  8.04271734e-08 
 1.05925373e+03  7.70697531e-06  7.93641183e-08 
 1.09018449e+03  7.60505036e-06  7.83183019e-08 
 1.12201845e+03  7.50475830e-06  7.72894387e-08 
 1.15478198e+03  7.40607158e-06  7.62772510e-08 
 1.18850223e+03  7.30896331e-06  7.52814682e-08 
 1.22320712e+03  7.21340728e-06  7.43018272e-08 
 1.25892541e+03  7.11937788e-06  7.33380713e-08 
 1.29568670e+03  7.02685007e-06  7.23899504e-08 
 1.33352143e+03  6.93579938e-06  7.14572205e-08 
 1.37246096e+03  6.84620186e-06  7.05396432e-08 
 1.41253754e+03  6.75803405e-06  6.96369861e-08 
 1.45378439e+03  6.67127299e-06  6.87490220e-08 
 1.49623566e+03  6.58589614e-06  6.78755287e-08 
 1.53992653e+03  6.50188141e-06  6.70162892e-08 
 1.58489319e+03  6.41920708e-06  6.61710908e-08 
 1.63117291e+03  6.33785186e-06  6.53397259e-08 
 1.67880402e+03  6.25779479e-06  6.45219907e-08 
 1.72782598e+03  6.17901526e-06  6.37176859e-08 
 1.77827941e+03  6.10149300e-06  6.29266161e-08 
 1.83020611e+03  6.02520805e-06  6.21485899e-08 
 1.88364909e+03  5.95014071e-06  6.13834194e-08 
 1.93865264e+03  5.87627158e-06  6.06309204e-08 
 1.99526231e+03  5.80358152e-06  5.98909122e-08 
 2.05352503e+03  5.73205162e-06  5.91632173e-08 
 2.11348904e+03  5.66166320e-06  5.84476616e-08 
 2.17520403e+03  5.59239781e-06  5.77440739e-08 
 2.23872114e+03  5.52423716e-06  5.70522860e-08 
 2.30409298e+03  5.45716317e-06  5.63721328e-08 
 2.37137371e+03  5.39115794e-06  5.57034518e-08 
 2.44061907e+03  5.32620368e-06  5.50460832e-08 
 2.51188643e+03  5.26228280e-06  5.43998699e-08 
 2.58523484e+03  5.19937778e-06  5.37646573e-08 
 2.66072506e+03  5.13747126e-06  5.31402933e-08 
