 time            v(vin)          v(b1_collector) v(b2_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 1.71400000e-04  2.50088051e+00  4.99146027e+00  4.99175389e+00  2.50006594e+00  2.50006482e+00  2.50006424e+00 -1.21442771e-05 
 1.76400000e-04  2.50089497e+00  4.99145640e+00  4.99175503e+00  2.50006708e+00  2.50006602e+00  2.50006547e+00 -1.21442936e-05 
 1.81400000e-04  2.50090854e+00  4.99145277e+00  4.99175610e+00  2.50006815e+00  2.50006715e+00  2.50006663e+00 -1.21443092e-05 
 1.86400000e-04  2.50092121e+00  4.99144936e+00  4.99175711e+00  2.50006915e+00  2.50006821e+00  2.50006773e+00 -1.21443237e-05 
 1.91400000e-04  2.50093298e+00  4.99144620e+00  4.99175805e+00  2.50007009e+00  2.50006921e+00  2.50006875e+00 -1.21443372e-05 
 1.96400000e-04  2.50094382e+00  4.99144328e+00  4.99175891e+00  2.50007095e+00  2.50007013e+00  2.50006971e+00 -1.21443497e-05 
 2.01400000e-04  2.50095374e+00  4.99144060e+00  4.99175971e+00  2.50007174e+00  2.50007099e+00  2.50007060e+00 -1.21443611e-05 
 2.06400000e-04  2.50096271e+00  4.99143817e+00  4.99176043e+00  2.50007246e+00  2.50007177e+00  2.50007141e+00 -1.21443714e-05 
 2.11400000e-04  2.50097073e+00  4.99143599e+00  4.99176109e+00  2.50007311e+00  2.50007248e+00  2.50007216e+00 -1.21443807e-05 
 2.16400000e-04  2.50097780e+00  4.99143407e+00  4.99176166e+00  2.50007368e+00  2.50007312e+00  2.50007283e+00 -1.21443889e-05 
 2.21400000e-04  2.50098390e+00  4.99143240e+00  4.99176217e+00  2.50007418e+00  2.50007369e+00  2.50007343e+00 -1.21443960e-05 
 2.26400000e-04  2.50098903e+00  4.99143099e+00  4.99176259e+00  2.50007460e+00  2.50007418e+00  2.50007395e+00 -1.21444020e-05 
 2.31400000e-04  2.50099318e+00  4.99142983e+00  4.99176295e+00  2.50007495e+00  2.50007459e+00  2.50007440e+00 -1.21444068e-05 
 2.36400000e-04  2.50099635e+00  4.99142894e+00  4.99176322e+00  2.50007522e+00  2.50007493e+00  2.50007478e+00 -1.21444106e-05 
 2.41400000e-04  2.50099854e+00  4.99142831e+00  4.99176342e+00  2.50007542e+00  2.50007520e+00  2.50007508e+00 -1.21444132e-05 
 2.46400000e-04  2.50099974e+00  4.99142793e+00  4.99176355e+00  2.50007554e+00  2.50007538e+00  2.50007530e+00 -1.21444148e-05 
 2.51400000e-04  2.50099996e+00  4.99142782e+00  4.99176360e+00  2.50007558e+00  2.50007550e+00  2.50007545e+00 -1.21444151e-05 
 2.56400000e-04  2.50099919e+00  4.99142798e+00  4.99176357e+00  2.50007555e+00  2.50007553e+00  2.50007552e+00 -1.21444144e-05 
 2.61400000e-04  2.50099744e+00  4.99142839e+00  4.99176347e+00  2.50007544e+00  2.50007549e+00  2.50007551e+00 -1.21444126e-05 
 2.66400000e-04  2.50099470e+00  4.99142907e+00  4.99176329e+00  2.50007525e+00  2.50007538e+00  2.50007543e+00 -1.21444096e-05 
 2.71400000e-04  2.50099097e+00  4.99143001e+00  4.99176303e+00  2.50007499e+00  2.50007518e+00  2.50007527e+00 -1.21444055e-05 
 2.76400000e-04  2.50098627e+00  4.99143120e+00  4.99176270e+00  2.50007466e+00  2.50007492e+00  2.50007504e+00 -1.21444003e-05 
 2.81400000e-04  2.50098060e+00  4.99143266e+00  4.99176230e+00  2.50007425e+00  2.50007457e+00  2.50007473e+00 -1.21443940e-05 
 2.86400000e-04  2.50097396e+00  4.99143437e+00  4.99176181e+00  2.50007376e+00  2.50007415e+00  2.50007435e+00 -1.21443866e-05 
 2.91400000e-04  2.50096636e+00  4.99143634e+00  4.99176126e+00  2.50007320e+00  2.50007366e+00  2.50007389e+00 -1.21443780e-05 
 2.96400000e-04  2.50095780e+00  4.99143856e+00  4.99176063e+00  2.50007256e+00  2.50007309e+00  2.50007336e+00 -1.21443685e-05 
 3.01400000e-04  2.50094830e+00  4.99144103e+00  4.99175993e+00  2.50007186e+00  2.50007245e+00  2.50007275e+00 -1.21443578e-05 
 3.06400000e-04  2.50093786e+00  4.99144374e+00  4.99175915e+00  2.50007108e+00  2.50007174e+00  2.50007207e+00 -1.21443461e-05 
 3.11400000e-04  2.50092650e+00  4.99144671e+00  4.99175830e+00  2.50007022e+00  2.50007095e+00  2.50007131e+00 -1.21443333e-05 
 3.16400000e-04  2.50091423e+00  4.99144991e+00  4.99175739e+00  2.50006930e+00  2.50007009e+00  2.50007049e+00 -1.21443195e-05 
 3.21400000e-04  2.50090105e+00  4.99145335e+00  4.99175640e+00  2.50006831e+00  2.50006916e+00  2.50006959e+00 -1.21443047e-05 
 3.26400000e-04  2.50088698e+00  4.99145703e+00  4.99175534e+00  2.50006725e+00  2.50006816e+00  2.50006863e+00 -1.21442888e-05 
 3.31400000e-04  2.50087204e+00  4.99146094e+00  4.99175422e+00  2.50006612e+00  2.50006710e+00  2.50006759e+00 -1.21442720e-05 
 3.36400000e-04  2.50085623e+00  4.99146507e+00  4.99175303e+00  2.50006493e+00  2.50006596e+00  2.50006649e+00 -1.21442543e-05 
 3.41400000e-04  2.50083958e+00  4.99146943e+00  4.99175177e+00  2.50006367e+00  2.50006476e+00  2.50006532e+00 -1.21442355e-05 
 3.46400000e-04  2.50082210e+00  4.99147400e+00  4.99175046e+00  2.50006235e+00  2.50006350e+00  2.50006408e+00 -1.21442159e-05 
 3.51400000e-04  2.50080382e+00  4.99147878e+00  4.99174907e+00  2.50006096e+00  2.50006217e+00  2.50006278e+00 -1.21441953e-05 
 3.56400000e-04  2.50078473e+00  4.99148377e+00  4.99174763e+00  2.50005951e+00  2.50006078e+00  2.50006142e+00 -1.21441739e-05 
 3.61400000e-04  2.50076488e+00  4.99148897e+00  4.99174613e+00  2.50005801e+00  2.50005933e+00  2.50006000e+00 -1.21441516e-05 
 3.66400000e-04  2.50074426e+00  4.99149435e+00  4.99174457e+00  2.50005645e+00  2.50005782e+00  2.50005851e+00 -1.21441285e-05 
 3.71400000e-04  2.50072292e+00  4.99149993e+00  4.99174296e+00  2.50005483e+00  2.50005625e+00  2.50005697e+00 -1.21441046e-05 
 3.76400000e-04  2.50070086e+00  4.99150570e+00  4.99174129e+00  2.50005315e+00  2.50005463e+00  2.50005538e+00 -1.21440798e-05 
 3.81400000e-04  2.50067811e+00  4.99151164e+00  4.99173956e+00  2.50005143e+00  2.50005295e+00  2.50005372e+00 -1.21440544e-05 
 3.86400000e-04  2.50065469e+00  4.99151775e+00  4.99173779e+00  2.50004965e+00  2.50005122e+00  2.50005202e+00 -1.21440282e-05 
 3.91400000e-04  2.50063062e+00  4.99152403e+00  4.99173597e+00  2.50004782e+00  2.50004944e+00  2.50005026e+00 -1.21440013e-05 
 3.96400000e-04  2.50060593e+00  4.99153047e+00  4.99173409e+00  2.50004595e+00  2.50004761e+00  2.50004845e+00 -1.21439737e-05 
 4.01400000e-04  2.50058065e+00  4.99153706e+00  4.99173218e+00  2.50004403e+00  2.50004573e+00  2.50004659e+00 -1.21439455e-05 
 4.06400000e-04  2.50055479e+00  4.99154380e+00  4.99173022e+00  2.50004207e+00  2.50004381e+00  2.50004469e+00 -1.21439167e-05 
 4.11400000e-04  2.50052838e+00  4.99155067e+00  4.99172822e+00  2.50004007e+00  2.50004184e+00  2.50004275e+00 -1.21438873e-05 
 4.16400000e-04  2.50050145e+00  4.99155767e+00  4.99172618e+00  2.50003802e+00  2.50003984e+00  2.50004076e+00 -1.21438573e-05 
 4.21400000e-04  2.50047403e+00  4.99156480e+00  4.99172410e+00  2.50003594e+00  2.50003779e+00  2.50003873e+00 -1.21438268e-05 
 4.26400000e-04  2.50044614e+00  4.99157205e+00  4.99172199e+00  2.50003383e+00  2.50003571e+00  2.50003667e+00 -1.21437959e-05 
 4.31400000e-04  2.50041780e+00  4.99157940e+00  4.99171985e+00  2.50003168e+00  2.50003360e+00  2.50003457e+00 -1.21437644e-05 
 4.36400000e-04  2.50038906e+00  4.99158685e+00  4.99171767e+00  2.50002950e+00  2.50003145e+00  2.50003244e+00 -1.21437326e-05 
 4.41400000e-04  2.50035993e+00  4.99159440e+00  4.99171547e+00  2.50002730e+00  2.50002927e+00  2.50003027e+00 -1.21437004e-05 
 4.46400000e-04  2.50033045e+00  4.99160204e+00  4.99171324e+00  2.50002507e+00  2.50002706e+00  2.50002808e+00 -1.21436678e-05 
 4.51400000e-04  2.50030064e+00  4.99160975e+00  4.99171098e+00  2.50002281e+00  2.50002483e+00  2.50002585e+00 -1.21436349e-05 
 4.56400000e-04  2.50027053e+00  4.99161753e+00  4.99170871e+00  2.50002053e+00  2.50002257e+00  2.50002361e+00 -1.21436017e-05 
 4.61400000e-04  2.50024016e+00  4.99162537e+00  4.99170641e+00  2.50001824e+00  2.50002029e+00  2.50002134e+00 -1.21435683e-05 
 4.66400000e-04  2.50020955e+00  4.99163327e+00  4.99170410e+00  2.50001592e+00  2.50001800e+00  2.50001905e+00 -1.21435346e-05 
 4.71400000e-04  2.50017873e+00  4.99164122e+00  4.99170177e+00  2.50001360e+00  2.50001568e+00  2.50001675e+00 -1.21435007e-05 
 4.76400000e-04  2.50014774e+00  4.99164920e+00  4.99169943e+00  2.50001126e+00  2.50001335e+00  2.50001443e+00 -1.21434667e-05 
 4.81400000e-04  2.50011660e+00  4.99165721e+00  4.99169708e+00  2.50000891e+00  2.50001101e+00  2.50001209e+00 -1.21434326e-05 
 4.86400000e-04  2.50008535e+00  4.99166525e+00  4.99169473e+00  2.50000655e+00  2.50000866e+00  2.50000975e+00 -1.21433984e-05 
 4.91400000e-04  2.50005401e+00  4.99167330e+00  4.99169236e+00  2.50000418e+00  2.50000631e+00  2.50000739e+00 -1.21433642e-05 
 4.96400000e-04  2.50002262e+00  4.99168135e+00  4.99169000e+00  2.50000182e+00  2.50000395e+00  2.50000503e+00 -1.21433299e-05 
 5.01400000e-04  2.49999120e+00  4.99168941e+00  4.99168763e+00  2.49999945e+00  2.50000158e+00  2.50000267e+00 -1.21432957e-05 
 5.06400000e-04  2.49995980e+00  4.99169745e+00  4.99168527e+00  2.49999709e+00  2.49999922e+00  2.50000030e+00 -1.21432615e-05 
 5.11400000e-04  2.49992843e+00  4.99170548e+00  4.99168291e+00  2.49999473e+00  2.49999685e+00  2.49999794e+00 -1.21432274e-05 
 5.16400000e-04  2.49989714e+00  4.99171348e+00  4.99168055e+00  2.49999237e+00  2.49999449e+00  2.49999558e+00 -1.21431934e-05 
 5.21400000e-04  2.49986594e+00  4.99172145e+00  4.99167821e+00  2.49999003e+00  2.49999214e+00  2.49999322e+00 -1.21431595e-05 
 5.26400000e-04  2.49983488e+00  4.99172937e+00  4.99167587e+00  2.49998769e+00  2.49998980e+00  2.49999088e+00 -1.21431259e-05 
 5.31400000e-04  2.49980399e+00  4.99173725e+00  4.99167355e+00  2.49998537e+00  2.49998747e+00  2.49998854e+00 -1.21430925e-05 
 5.36400000e-04  2.49977328e+00  4.99174507e+00  4.99167124e+00  2.49998307e+00  2.49998515e+00  2.49998622e+00 -1.21430593e-05 
 5.41400000e-04  2.49974280e+00  4.99175283e+00  4.99166895e+00  2.49998078e+00  2.49998285e+00  2.49998391e+00 -1.21430264e-05 
 5.46400000e-04  2.49971257e+00  4.99176052e+00  4.99166669e+00  2.49997851e+00  2.49998056e+00  2.49998161e+00 -1.21429938e-05 
 5.51400000e-04  2.49968263e+00  4.99176812e+00  4.99166444e+00  2.49997627e+00  2.49997830e+00  2.49997934e+00 -1.21429616e-05 
 5.56400000e-04  2.49965300e+00  4.99177565e+00  4.99166222e+00  2.49997405e+00  2.49997606e+00  2.49997709e+00 -1.21429297e-05 
 5.61400000e-04  2.49962371e+00  4.99178307e+00  4.99166002e+00  2.49997185e+00  2.49997384e+00  2.49997486e+00 -1.21428983e-05 
 5.66400000e-04  2.49959479e+00  4.99179040e+00  4.99165785e+00  2.49996969e+00  2.49997165e+00  2.49997266e+00 -1.21428672e-05 
 5.71400000e-04  2.49956628e+00  4.99179762e+00  4.99165572e+00  2.49996755e+00  2.49996949e+00  2.49997048e+00 -1.21428367e-05 
