 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+02  1.43746446e-05  1.80929487e-07 
 2.37137371e+02  1.41414484e-05  1.77987998e-07 
 2.44061907e+02  1.39137745e-05  1.75116616e-07 
 2.51188643e+02  1.36914046e-05  1.72312548e-07 
 2.58523484e+02  1.34741319e-05  1.69573149e-07 
 2.66072506e+02  1.32617611e-05  1.66895925e-07 
 2.73841963e+02  1.30541075e-05  1.64278514e-07 
 2.81838293e+02  1.28509965e-05  1.61718687e-07 
 2.90068120e+02  1.26522629e-05  1.59214334e-07 
 2.98538262e+02  1.24577501e-05  1.56763459e-07 
 3.07255737e+02  1.22673103e-05  1.54364175e-07 
 3.16227766e+02  1.20808034e-05  1.52014696e-07 
 3.25461783e+02  1.18980964e-05  1.49713328e-07 
 3.34965439e+02  1.17190638e-05  1.47458469e-07 
 3.44746607e+02  1.15435861e-05  1.45248602e-07 
 3.54813389e+02  1.13715505e-05  1.43082286e-07 
 3.65174127e+02  1.12028494e-05  1.40958156e-07 
 3.75837404e+02  1.10373812e-05  1.38874915e-07 
 3.86812055e+02  1.08750490e-05  1.36831335e-07 
 3.98107171e+02  1.07157608e-05  1.34826245e-07 
 4.09732110e+02  1.05594293e-05  1.32858535e-07 
 4.21696503e+02  1.04059712e-05  1.30927149e-07 
 4.34010264e+02  1.02553073e-05  1.29031081e-07 
 4.46683592e+02  1.01073622e-05  1.27169373e-07 
 4.59726989e+02  9.96206395e-06  1.25341113e-07 
 4.73151259e+02  9.81934389e-06  1.23545431e-07 
 4.86967525e+02  9.67913653e-06  1.21781497e-07 
 5.01187234e+02  9.54137928e-06  1.20048518e-07 
 5.15822165e+02  9.40601232e-06  1.18345737e-07 
 5.30884444e+02  9.27297841e-06  1.16672429e-07 
 5.46386550e+02  9.14222276e-06  1.15027902e-07 
 5.62341325e+02  9.01369285e-06  1.13411492e-07 
 5.78761988e+02  8.88733836e-06  1.11822562e-07 
 5.95662144e+02  8.76311096e-06  1.10260504e-07 
 6.13055792e+02  8.64096426e-06  1.08724731e-07 
 6.30957344e+02  8.52085367e-06  1.07214682e-07 
 6.49381632e+02  8.40273630e-06  1.05729815e-07 
 6.68343918e+02  8.28657087e-06  1.04269612e-07 
 6.87859912e+02  8.17231760e-06  1.02833571e-07 
 7.07945784e+02  8.05993814e-06  1.01421210e-07 
 7.28618175e+02  7.94939550e-06  1.00032065e-07 
 7.49894209e+02  7.84065396e-06  9.86656869e-08 
 7.71791516e+02  7.73367897e-06  9.73216427e-08 
 7.94328235e+02  7.62843716e-06  9.59995142e-08 
 8.17523038e+02  7.52489621e-06  9.46988967e-08 
 8.41395142e+02  7.42302482e-06  9.34193987e-08 
 8.65964323e+02  7.32279264e-06  9.21606414e-08 
 8.91250938e+02  7.22417025e-06  9.09222573e-08 
 9.17275935e+02  7.12712907e-06  8.97038905e-08 
 9.44060876e+02  7.03164137e-06  8.85051954e-08 
 9.71627952e+02  6.93768014e-06  8.73258368e-08 
 1.00000000e+03  6.84521917e-06  8.61654887e-08 
 1.02920053e+03  6.75423289e-06  8.50238346e-08 
 1.05925373e+03  6.66469642e-06  8.39005665e-08 
 1.09018449e+03  6.57658549e-06  8.27953845e-08 
 1.12201845e+03  6.48987646e-06  8.17079968e-08 
 1.15478198e+03  6.40454621e-06  8.06381191e-08 
 1.18850223e+03  6.32057220e-06  7.95854741e-08 
 1.22320712e+03  6.23793237e-06  7.85497917e-08 
 1.25892541e+03  6.15660516e-06  7.75308079e-08 
 1.29568670e+03  6.07656948e-06  7.65282652e-08 
 1.33352143e+03  5.99780466e-06  7.55419122e-08 
 1.37246096e+03  5.92029047e-06  7.45715031e-08 
 1.41253754e+03  5.84400707e-06  7.36167975e-08 
 1.45378439e+03  5.76893499e-06  7.26775605e-08 
 1.49623566e+03  5.69505513e-06  7.17535621e-08 
 1.53992653e+03  5.62234872e-06  7.08445773e-08 
 1.58489319e+03  5.55079734e-06  6.99503856e-08 
 1.63117291e+03  5.48038284e-06  6.90707712e-08 
 1.67880402e+03  5.41108741e-06  6.82055225e-08 
 1.72782598e+03  5.34289348e-06  6.73544321e-08 
 1.77827941e+03  5.27578376e-06  6.65172966e-08 
 1.83020611e+03  5.20974121e-06  6.56939164e-08 
 1.88364909e+03  5.14474901e-06  6.48840959e-08 
 1.93865264e+03  5.08079058e-06  6.40876426e-08 
 1.99526231e+03  5.01784954e-06  6.33043681e-08 
 2.05352503e+03  4.95590971e-06  6.25340868e-08 
 2.11348904e+03  4.89495510e-06  6.17766166e-08 
 2.17520403e+03  4.83496989e-06  6.10317787e-08 
 2.23872114e+03  4.77593840e-06  6.02993970e-08 
 2.30409298e+03  4.71784512e-06  5.95792985e-08 
 2.37137371e+03  4.66067468e-06  5.88713130e-08 
 2.44061907e+03  4.60441183e-06  5.81752732e-08 
 2.51188643e+03  4.54904142e-06  5.74910142e-08 
 2.58523484e+03  4.49454842e-06  5.68183740e-08 
 2.66072506e+03  4.44091790e-06  5.61571929e-08 
 2.73841963e+03  4.38813498e-06  5.55073136e-08 
 2.81838293e+03  4.33618488e-06  5.48685813e-08 
 2.90068120e+03  4.28505286e-06  5.42408435e-08 
 2.98538262e+03  4.23472424e-06  5.36239498e-08 
 3.07255737e+03  4.18518436e-06  5.30177520e-08 
 3.16227766e+03  4.13641861e-06  5.24221041e-08 
 3.25461783e+03  4.08841236e-06  5.18368620e-08 
 3.34965439e+03  4.04115102e-06  5.12618837e-08 
 3.44746607e+03  3.99461996e-06  5.06970291e-08 
 3.54813389e+03  3.94880453e-06  5.01421599e-08 
 3.65174127e+03  3.90369007e-06  4.95971397e-08 
 3.75837404e+03  3.85926186e-06  4.90618340e-08 
 3.86812055e+03  3.81550512e-06  4.85361098e-08 
 3.98107171e+03  3.77240501e-06  4.80198359e-08 
 4.09732110e+03  3.72994660e-06  4.75128828e-08 
 4.21696503e+03  3.68811487e-06  4.70151225e-08 
 4.34010264e+03  3.64689471e-06  4.65264287e-08 
 4.46683592e+03  3.60627086e-06  4.60466765e-08 
 4.59726989e+03  3.56622795e-06  4.55757426e-08 
 4.73151259e+03  3.52675047e-06  4.51135050e-08 
 4.86967525e+03  3.48782274e-06  4.46598434e-08 
 5.01187234e+03  3.44942893e-06  4.42146386e-08 
 5.15822165e+03  3.41155302e-06  4.37777730e-08 
 5.30884444e+03  3.37417878e-06  4.33491302e-08 
 5.46386550e+03  3.33728981e-06  4.29285952e-08 
 5.62341325e+03  3.30086946e-06  4.25160541e-08 
 5.78761988e+03  3.26490088e-06  4.21113946e-08 
 5.95662144e+03  3.22936696e-06  4.17145055e-08 
 6.13055792e+03  3.19425034e-06  4.13252765e-08 
 6.30957344e+03  3.15953343e-06  4.09435991e-08 
 6.49381632e+03  3.12519832e-06  4.05693655e-08 
 6.68343918e+03  3.09122687e-06  4.02024693e-08 
 6.87859912e+03  3.05760064e-06  3.98428052e-08 
 7.07945784e+03  3.02430088e-06  3.94902691e-08 
 7.28618175e+03  2.99130856e-06  3.91447579e-08 
 7.49894209e+03  2.95860436e-06  3.88061699e-08 
 7.71791516e+03  2.92616865e-06  3.84744043e-08 
 7.94328235e+03  2.89398149e-06  3.81493613e-08 
 8.17523038e+03  2.86202265e-06  3.78309426e-08 
 8.41395142e+03  2.83027161e-06  3.75190506e-08 
 8.65964323e+03  2.79870758e-06  3.72135891e-08 
 8.91250938e+03  2.76730946e-06  3.69144629e-08 
 9.17275935e+03  2.73605592e-06  3.66215778e-08 
 9.44060876e+03  2.70492537e-06  3.63348410e-08 
 9.71627952e+03  2.67389603e-06  3.60541605e-08 
 1.00000000e+04  2.64294590e-06  3.57794456e-08 
 1.02920053e+04  2.61205282e-06  3.55106066e-08 
