 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.50000000e+00  2.50000000e+00 -3.31711247e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711280e-05 
 8.00000000e-07  2.50000503e+00  3.82990704e+00  2.49999961e+00  2.49999993e+00 -3.31711394e-05 
 1.60000000e-06  2.50001005e+00  3.82990268e+00  2.49999525e+00  2.49999850e+00 -3.31711811e-05 
 3.20000000e-06  2.50002010e+00  3.82985724e+00  2.49994984e+00  2.49997543e+00 -3.31714373e-05 
 6.40000000e-06  2.50004020e+00  3.82949597e+00  2.49958884e+00  2.49972178e+00 -3.31735403e-05 
 1.14000000e-05  2.50007157e+00  3.82807725e+00  2.49817143e+00  2.49851943e+00 -3.31827014e-05 
 1.64000000e-05  2.50010286e+00  3.82581385e+00  2.49591044e+00  2.49640729e+00 -3.31982691e-05 
 2.14000000e-05  2.50013406e+00  3.82310538e+00  2.49320515e+00  2.49376515e+00 -3.32174654e-05 
 2.64000000e-05  2.50016512e+00  3.82022867e+00  2.49033212e+00  2.49091299e+00 -3.32380816e-05 
 3.14000000e-05  2.50019601e+00  3.81730186e+00  2.48740934e+00  2.48799548e+00 -3.32591356e-05 
 3.64000000e-05  2.50022672e+00  3.81436809e+00  2.48447991e+00  2.48506568e+00 -3.32802680e-05 
 4.14000000e-05  2.50025720e+00  3.81144375e+00  2.48156019e+00  2.48214334e+00 -3.33013442e-05 
 4.64000000e-05  2.50028743e+00  3.80853621e+00  2.47865754e+00  2.47923694e+00 -3.33223056e-05 
 5.14000000e-05  2.50031737e+00  3.80564983e+00  2.47577632e+00  2.47635121e+00 -3.33431188e-05 
 5.64000000e-05  2.50034700e+00  3.80278797e+00  2.47291989e+00  2.47348963e+00 -3.33637590e-05 
 6.14000000e-05  2.50037629e+00  3.79995363e+00  2.47009124e+00  2.47065525e+00 -3.33842043e-05 
 6.64000000e-05  2.50040521e+00  3.79714970e+00  2.46729324e+00  2.46785095e+00 -3.34044338e-05 
 7.14000000e-05  2.50043372e+00  3.79437897e+00  2.46452869e+00  2.46507954e+00 -3.34244273e-05 
 7.64000000e-05  2.50046181e+00  3.79164421e+00  2.46180035e+00  2.46234380e+00 -3.34441647e-05 
 8.14000000e-05  2.50048944e+00  3.78894815e+00  2.45911094e+00  2.45964644e+00 -3.34636264e-05 
 8.64000000e-05  2.50051659e+00  3.78629347e+00  2.45646314e+00  2.45699015e+00 -3.34827928e-05 
 9.14000000e-05  2.50054323e+00  3.78368281e+00  2.45385958e+00  2.45437759e+00 -3.35016448e-05 
 9.64000000e-05  2.50056934e+00  3.78111880e+00  2.45130287e+00  2.45181135e+00 -3.35201636e-05 
 1.01400000e-04  2.50059488e+00  3.77860397e+00  2.44879555e+00  2.44929401e+00 -3.35383306e-05 
 1.06400000e-04  2.50061983e+00  3.77614084e+00  2.44634014e+00  2.44682806e+00 -3.35561277e-05 
 1.11400000e-04  2.50064418e+00  3.77373187e+00  2.44393907e+00  2.44441598e+00 -3.35735369e-05 
 1.16400000e-04  2.50066788e+00  3.77137947e+00  2.44159475e+00  2.44206016e+00 -3.35905409e-05 
 1.21400000e-04  2.50069093e+00  3.76908599e+00  2.43930952e+00  2.43976298e+00 -3.36071226e-05 
 1.26400000e-04  2.50071330e+00  3.76685372e+00  2.43708566e+00  2.43752671e+00 -3.36232654e-05 
 1.31400000e-04  2.50073496e+00  3.76468489e+00  2.43492541e+00  2.43535360e+00 -3.36389530e-05 
 1.36400000e-04  2.50075590e+00  3.76258167e+00  2.43283091e+00  2.43324582e+00 -3.36541698e-05 
 1.41400000e-04  2.50077609e+00  3.76054617e+00  2.43080426e+00  2.43120548e+00 -3.36689004e-05 
 1.46400000e-04  2.50079552e+00  3.75858042e+00  2.42884750e+00  2.42923463e+00 -3.36831301e-05 
 1.51400000e-04  2.50081416e+00  3.75668640e+00  2.42696259e+00  2.42733523e+00 -3.36968445e-05 
 1.56400000e-04  2.50083199e+00  3.75486599e+00  2.42515140e+00  2.42550918e+00 -3.37100298e-05 
 1.61400000e-04  2.50084901e+00  3.75312102e+00  2.42341575e+00  2.42375832e+00 -3.37226728e-05 
 1.66400000e-04  2.50086519e+00  3.75145324e+00  2.42175739e+00  2.42208440e+00 -3.37347608e-05 
 1.71400000e-04  2.50088051e+00  3.74986433e+00  2.42017797e+00  2.42048909e+00 -3.37462816e-05 
 1.76400000e-04  2.50089497e+00  3.74835587e+00  2.41867908e+00  2.41897400e+00 -3.37572235e-05 
 1.81400000e-04  2.50090854e+00  3.74692937e+00  2.41726222e+00  2.41754065e+00 -3.37675757e-05 
 1.86400000e-04  2.50092121e+00  3.74558627e+00  2.41592881e+00  2.41619046e+00 -3.37773276e-05 
 1.91400000e-04  2.50093298e+00  3.74432791e+00  2.41468019e+00  2.41492480e+00 -3.37864695e-05 
 1.96400000e-04  2.50094382e+00  3.74315555e+00  2.41351760e+00  2.41374494e+00 -3.37949921e-05 
 2.01400000e-04  2.50095374e+00  3.74207038e+00  2.41244222e+00  2.41265205e+00 -3.38028868e-05 
 2.06400000e-04  2.50096271e+00  3.74107347e+00  2.41145513e+00  2.41164723e+00 -3.38101458e-05 
 2.11400000e-04  2.50097073e+00  3.74016584e+00  2.41055731e+00  2.41073150e+00 -3.38167616e-05 
 2.16400000e-04  2.50097780e+00  3.73934838e+00  2.40974966e+00  2.40990577e+00 -3.38227276e-05 
 2.21400000e-04  2.50098390e+00  3.73862192e+00  2.40903300e+00  2.40917086e+00 -3.38280378e-05 
 2.26400000e-04  2.50098903e+00  3.73798720e+00  2.40840804e+00  2.40852752e+00 -3.38326869e-05 
 2.31400000e-04  2.50099318e+00  3.73744483e+00  2.40787542e+00  2.40797639e+00 -3.38366701e-05 
 2.36400000e-04  2.50099635e+00  3.73699538e+00  2.40743566e+00  2.40751803e+00 -3.38399835e-05 
