 time            v(vin)          v(b3_collector) v(vout_drv)     v(vfilt1)       v(vout_final)   i(vdd)         
 1.71400000e-04  2.50088051e+00  3.74948960e+00  2.41972570e+00  2.42117677e+00  2.42192658e+00 -4.77494502e-05 
 1.76400000e-04  2.50089497e+00  3.74799984e+00  2.41824405e+00  2.41962316e+00  2.42033636e+00 -4.77602345e-05 
 1.81400000e-04  2.50090854e+00  3.74659241e+00  2.41684486e+00  2.41815063e+00  2.41882650e+00 -4.77704260e-05 
 1.86400000e-04  2.50092121e+00  3.74526871e+00  2.41552954e+00  2.41676067e+00  2.41739853e+00 -4.77800144e-05 
 1.91400000e-04  2.50093298e+00  3.74403007e+00  2.41429941e+00  2.41545466e+00  2.41605388e+00 -4.77889901e-05 
 1.96400000e-04  2.50094382e+00  3.74287774e+00  2.41315570e+00  2.41423391e+00  2.41479388e+00 -4.77973439e-05 
 2.01400000e-04  2.50095374e+00  3.74181286e+00  2.41209956e+00  2.41309965e+00  2.41361981e+00 -4.78050676e-05 
 2.06400000e-04  2.50096271e+00  3.74083651e+00  2.41113205e+00  2.41205301e+00  2.41253285e+00 -4.78121532e-05 
 2.11400000e-04  2.50097073e+00  3.73994967e+00  2.41025414e+00  2.41109505e+00  2.41153408e+00 -4.78185937e-05 
 2.16400000e-04  2.50097780e+00  3.73915322e+00  2.40946670e+00  2.41022673e+00  2.41062450e+00 -4.78243826e-05 
 2.21400000e-04  2.50098390e+00  3.73844797e+00  2.40877054e+00  2.40944891e+00  2.40980504e+00 -4.78295140e-05 
 2.26400000e-04  2.50098903e+00  3.73783462e+00  2.40816634e+00  2.40876238e+00  2.40907650e+00 -4.78339828e-05 
 2.31400000e-04  2.50099318e+00  3.73731379e+00  2.40765472e+00  2.40816782e+00  2.40843963e+00 -4.78377844e-05 
 2.36400000e-04  2.50099635e+00  3.73688600e+00  2.40723619e+00  2.40766584e+00  2.40789505e+00 -4.78409151e-05 
 2.41400000e-04  2.50099854e+00  3.73655167e+00  2.40691116e+00  2.40725693e+00  2.40744332e+00 -4.78433717e-05 
 2.46400000e-04  2.50099974e+00  3.73631116e+00  2.40667996e+00  2.40694151e+00  2.40708489e+00 -4.78451516e-05 
 2.51400000e-04  2.50099996e+00  3.73616469e+00  2.40654283e+00  2.40671990e+00  2.40682011e+00 -4.78462532e-05 
 2.56400000e-04  2.50099919e+00  3.73611241e+00  2.40649990e+00  2.40659230e+00  2.40664926e+00 -4.78466753e-05 
 2.61400000e-04  2.50099744e+00  3.73615437e+00  2.40655121e+00  2.40655886e+00  2.40657251e+00 -4.78464175e-05 
 2.66400000e-04  2.50099470e+00  3.73629054e+00  2.40669671e+00  2.40661960e+00  2.40658992e+00 -4.78454800e-05 
 2.71400000e-04  2.50099097e+00  3.73652077e+00  2.40693626e+00  2.40677446e+00  2.40670149e+00 -4.78438639e-05 
 2.76400000e-04  2.50098627e+00  3.73684483e+00  2.40726961e+00  2.40702329e+00  2.40690710e+00 -4.78415707e-05 
 2.81400000e-04  2.50098060e+00  3.73726239e+00  2.40769643e+00  2.40736583e+00  2.40720654e+00 -4.78386028e-05 
 2.86400000e-04  2.50097396e+00  3.73777304e+00  2.40821628e+00  2.40780174e+00  2.40759951e+00 -4.78349632e-05 
 2.91400000e-04  2.50096636e+00  3.73837627e+00  2.40882865e+00  2.40833059e+00  2.40808561e+00 -4.78306555e-05 
 2.96400000e-04  2.50095780e+00  3.73907145e+00  2.40953292e+00  2.40895184e+00  2.40866436e+00 -4.78256841e-05 
 3.01400000e-04  2.50094830e+00  3.73985791e+00  2.41032838e+00  2.40966486e+00  2.40933518e+00 -4.78200541e-05 
 3.06400000e-04  2.50093786e+00  3.74073484e+00  2.41121424e+00  2.41046894e+00  2.41009739e+00 -4.78137711e-05 
 3.11400000e-04  2.50092650e+00  3.74170136e+00  2.41218959e+00  2.41136327e+00  2.41095022e+00 -4.78068415e-05 
 3.16400000e-04  2.50091423e+00  3.74275651e+00  2.41325347e+00  2.41234696e+00  2.41189282e+00 -4.77992722e-05 
 3.21400000e-04  2.50090105e+00  3.74389923e+00  2.41440480e+00  2.41341901e+00  2.41292424e+00 -4.77910710e-05 
 3.26400000e-04  2.50088698e+00  3.74512836e+00  2.41564243e+00  2.41457834e+00  2.41404344e+00 -4.77822460e-05 
 3.31400000e-04  2.50087204e+00  3.74644268e+00  2.41696512e+00  2.41582380e+00  2.41524931e+00 -4.77728062e-05 
 3.36400000e-04  2.50085623e+00  3.74784085e+00  2.41837153e+00  2.41715414e+00  2.41654062e+00 -4.77627611e-05 
 3.41400000e-04  2.50083958e+00  3.74932149e+00  2.41986026e+00  2.41856801e+00  2.41791609e+00 -4.77521209e-05 
 3.46400000e-04  2.50082210e+00  3.75088311e+00  2.42142981e+00  2.42006400e+00  2.41937434e+00 -4.77408963e-05 
 3.51400000e-04  2.50080382e+00  3.75252413e+00  2.42307861e+00  2.42164061e+00  2.42091389e+00 -4.77290985e-05 
 3.56400000e-04  2.50078473e+00  3.75424292e+00  2.42480500e+00  2.42329626e+00  2.42253321e+00 -4.77167394e-05 
 3.61400000e-04  2.50076488e+00  3.75603775e+00  2.42660726e+00  2.42502928e+00  2.42423067e+00 -4.77038316e-05 
 3.66400000e-04  2.50074426e+00  3.75790682e+00  2.42848358e+00  2.42683794e+00  2.42600457e+00 -4.76903880e-05 
 3.71400000e-04  2.50072292e+00  3.75984826e+00  2.43043207e+00  2.42872043e+00  2.42785313e+00 -4.76764221e-05 
 3.76400000e-04  2.50070086e+00  3.76186012e+00  2.43245079e+00  2.43067486e+00  2.42977450e+00 -4.76619480e-05 
 3.81400000e-04  2.50067811e+00  3.76394039e+00  2.43453771e+00  2.43269927e+00  2.43176676e+00 -4.76469802e-05 
 3.86400000e-04  2.50065469e+00  3.76608699e+00  2.43669074e+00  2.43479164e+00  2.43382790e+00 -4.76315337e-05 
 3.91400000e-04  2.50063062e+00  3.76829777e+00  2.43890774e+00  2.43694987e+00  2.43595587e+00 -4.76156242e-05 
 3.96400000e-04  2.50060593e+00  3.77057051e+00  2.44118648e+00  2.43917180e+00  2.43814854e+00 -4.75992676e-05 
 4.01400000e-04  2.50058065e+00  3.77290294e+00  2.44352468e+00  2.44145520e+00  2.44040371e+00 -4.75824802e-05 
 4.06400000e-04  2.50055479e+00  3.77529274e+00  2.44592000e+00  2.44379781e+00  2.44271912e+00 -4.75652790e-05 
 4.11400000e-04  2.50052838e+00  3.77773751e+00  2.44837006e+00  2.44619726e+00  2.44509247e+00 -4.75476811e-05 
 4.16400000e-04  2.50050145e+00  3.78023481e+00  2.45087240e+00  2.44865117e+00  2.44752137e+00 -4.75297043e-05 
