 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711237e-05 
 1.00000000e-07  2.50000063e+00  3.82990742e+00  2.49999999e+00  2.50000000e+00 -3.31711242e-05 
 2.00000000e-07  2.50000126e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711259e-05 
 4.00000000e-07  2.50000251e+00  3.82990720e+00  2.49999978e+00  2.49999999e+00 -3.31711316e-05 
 8.00000000e-07  2.50000503e+00  3.82990485e+00  2.49999742e+00  2.49999988e+00 -3.31711538e-05 
 1.60000000e-06  2.50001005e+00  3.82988031e+00  2.49997288e+00  2.49999757e+00 -3.31712974e-05 
 3.20000000e-06  2.50002010e+00  3.82968839e+00  2.49978100e+00  2.49996248e+00 -3.31724454e-05 
 6.40000000e-06  2.50004020e+00  3.82869632e+00  2.49878932e+00  2.49961844e+00 -3.31789618e-05 
 1.14000000e-05  2.50007157e+00  3.82621764e+00  2.49631233e+00  2.49818260e+00 -3.31962219e-05 
 1.64000000e-05  2.50010286e+00  3.82339111e+00  2.49348858e+00  2.49590333e+00 -3.32163847e-05 
 2.14000000e-05  2.50013406e+00  3.82050431e+00  2.49060525e+00  2.49322527e+00 -3.32370839e-05 
 2.64000000e-05  2.50016512e+00  3.81757699e+00  2.48768186e+00  2.49039075e+00 -3.32581332e-05 
 3.14000000e-05  2.50019601e+00  3.81464513e+00  2.48475427e+00  2.48749305e+00 -3.32792416e-05 
 3.64000000e-05  2.50022672e+00  3.81172105e+00  2.48183478e+00  2.48457741e+00 -3.33003055e-05 
 4.14000000e-05  2.50025720e+00  3.80881205e+00  2.47893065e+00  2.48166443e+00 -3.33212681e-05 
 4.64000000e-05  2.50028743e+00  3.80592325e+00  2.47604701e+00  2.47876471e+00 -3.33420893e-05 
 5.14000000e-05  2.50031737e+00  3.80305824e+00  2.47318742e+00  2.47588450e+00 -3.33627424e-05 
 5.64000000e-05  2.50034700e+00  3.80022031e+00  2.47035516e+00  2.47302810e+00 -3.33832032e-05 
 6.14000000e-05  2.50037629e+00  3.79741240e+00  2.46755319e+00  2.47019899e+00 -3.34034501e-05 
 6.64000000e-05  2.50040521e+00  3.79463740e+00  2.46478437e+00  2.46740023e+00 -3.34234623e-05 
 7.14000000e-05  2.50043372e+00  3.79189808e+00  2.46205147e+00  2.46463474e+00 -3.34432197e-05 
 7.64000000e-05  2.50046181e+00  3.78919720e+00  2.45935725e+00  2.46190531e+00 -3.34627023e-05 
 8.14000000e-05  2.50048944e+00  3.78653745e+00  2.45670438e+00  2.45921469e+00 -3.34818906e-05 
 8.64000000e-05  2.50051659e+00  3.78392147e+00  2.45409552e+00  2.45656557e+00 -3.35007655e-05 
 9.14000000e-05  2.50054323e+00  3.78135189e+00  2.45153326e+00  2.45396058e+00 -3.35193081e-05 
 9.64000000e-05  2.50056934e+00  3.77883127e+00  2.44902017e+00  2.45140234e+00 -3.35374998e-05 
 1.01400000e-04  2.50059488e+00  3.77636212e+00  2.44655875e+00  2.44889340e+00 -3.35553225e-05 
 1.06400000e-04  2.50061983e+00  3.77394691e+00  2.44415146e+00  2.44643625e+00 -3.35727581e-05 
 1.11400000e-04  2.50064418e+00  3.77158804e+00  2.44180070e+00  2.44403335e+00 -3.35897893e-05 
 1.16400000e-04  2.50066788e+00  3.76928789e+00  2.43950882e+00  2.44168711e+00 -3.36063991e-05 
 1.21400000e-04  2.50069093e+00  3.76704874e+00  2.43727812e+00  2.43939986e+00 -3.36225706e-05 
 1.26400000e-04  2.50071330e+00  3.76487283e+00  2.43511082e+00  2.43717390e+00 -3.36382878e-05 
 1.31400000e-04  2.50073496e+00  3.76276235e+00  2.43300910e+00  2.43501144e+00 -3.36535348e-05 
