 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 2.41400000e-04  2.50099854e+00  3.73663789e+00  2.40708783e+00  2.40713032e+00 -3.38426354e-05 
 2.46400000e-04  2.50099974e+00  3.73637551e+00  2.40683502e+00  2.40686476e+00 -3.38445998e-05 
 2.51400000e-04  2.50099996e+00  3.73620711e+00  2.40667611e+00  2.40669307e+00 -3.38458863e-05 
 2.56400000e-04  2.50099919e+00  3.73613285e+00  2.40661127e+00  2.40661543e+00 -3.38464938e-05 
 2.61400000e-04  2.50099744e+00  3.73615282e+00  2.40664056e+00  2.40663192e+00 -3.38464215e-05 
 2.66400000e-04  2.50099470e+00  3.73626700e+00  2.40676395e+00  2.40674252e+00 -3.38456695e-05 
 2.71400000e-04  2.50099097e+00  3.73647526e+00  2.40698132e+00  2.40694711e+00 -3.38442387e-05 
 2.76400000e-04  2.50098627e+00  3.73677740e+00  2.40729245e+00  2.40724550e+00 -3.38421305e-05 
 2.81400000e-04  2.50098060e+00  3.73717311e+00  2.40769702e+00  2.40763738e+00 -3.38393470e-05 
 2.86400000e-04  2.50097396e+00  3.73766199e+00  2.40819462e+00  2.40812235e+00 -3.38358910e-05 
 2.91400000e-04  2.50096636e+00  3.73824356e+00  2.40878477e+00  2.40869994e+00 -3.38317660e-05 
 2.96400000e-04  2.50095780e+00  3.73891723e+00  2.40946685e+00  2.40936955e+00 -3.38269762e-05 
 3.01400000e-04  2.50094830e+00  3.73968232e+00  2.41024020e+00  2.41013052e+00 -3.38215265e-05 
 3.06400000e-04  2.50093786e+00  3.74053806e+00  2.41110402e+00  2.41098208e+00 -3.38154223e-05 
 3.11400000e-04  2.50092650e+00  3.74148360e+00  2.41205746e+00  2.41192337e+00 -3.38086698e-05 
 3.16400000e-04  2.50091423e+00  3.74251798e+00  2.41309955e+00  2.41295345e+00 -3.38012759e-05 
 3.21400000e-04  2.50090105e+00  3.74364016e+00  2.41422924e+00  2.41407129e+00 -3.37932479e-05 
 3.26400000e-04  2.50088698e+00  3.74484902e+00  2.41544542e+00  2.41527576e+00 -3.37845941e-05 
 3.31400000e-04  2.50087204e+00  3.74614334e+00  2.41674684e+00  2.41656565e+00 -3.37753231e-05 
 3.36400000e-04  2.50085623e+00  3.74752183e+00  2.41813221e+00  2.41793967e+00 -3.37654442e-05 
 3.41400000e-04  2.50083958e+00  3.74898310e+00  2.41960013e+00  2.41939643e+00 -3.37549676e-05 
 3.46400000e-04  2.50082210e+00  3.75052568e+00  2.42114914e+00  2.42093449e+00 -3.37439036e-05 
 3.51400000e-04  2.50080382e+00  3.75214803e+00  2.42277768e+00  2.42255229e+00 -3.37322635e-05 
 3.56400000e-04  2.50078473e+00  3.75384852e+00  2.42448411e+00  2.42424821e+00 -3.37200589e-05 
 3.61400000e-04  2.50076488e+00  3.75562545e+00  2.42626673e+00  2.42602055e+00 -3.37073023e-05 
 3.66400000e-04  2.50074426e+00  3.75747703e+00  2.42812374e+00  2.42786754e+00 -3.36940063e-05 
 3.71400000e-04  2.50072292e+00  3.75940141e+00  2.43005330e+00  2.42978732e+00 -3.36801845e-05 
 3.76400000e-04  2.50070086e+00  3.76139666e+00  2.43205345e+00  2.43177797e+00 -3.36658507e-05 
 3.81400000e-04  2.50067811e+00  3.76346079e+00  2.43412221e+00  2.43383750e+00 -3.36510193e-05 
 3.86400000e-04  2.50065469e+00  3.76559172e+00  2.43625750e+00  2.43596384e+00 -3.36357052e-05 
 3.91400000e-04  2.50063062e+00  3.76778733e+00  2.43845717e+00  2.43815487e+00 -3.36199239e-05 
 3.96400000e-04  2.50060593e+00  3.77004541e+00  2.44071905e+00  2.44040839e+00 -3.36036911e-05 
 4.01400000e-04  2.50058065e+00  3.77236371e+00  2.44304084e+00  2.44272215e+00 -3.35870232e-05 
 4.06400000e-04  2.50055479e+00  3.77473991e+00  2.44542025e+00  2.44509384e+00 -3.35699368e-05 
 4.11400000e-04  2.50052838e+00  3.77717164e+00  2.44785489e+00  2.44752109e+00 -3.35524492e-05 
