 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711235e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711238e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.50000000e+00  2.50000000e+00 -3.31711247e-05 
 4.00000000e-07  2.50000251e+00  3.82990740e+00  2.49999997e+00  2.50000000e+00 -3.31711280e-05 
 8.00000000e-07  2.50000503e+00  3.82990707e+00  2.49999964e+00  2.49999997e+00 -3.31711392e-05 
 1.60000000e-06  2.50001005e+00  3.82990327e+00  2.49999584e+00  2.49999939e+00 -3.31711761e-05 
 3.20000000e-06  2.50002010e+00  3.82986681e+00  2.49995944e+00  2.49998939e+00 -3.31713565e-05 
 6.40000000e-06  2.50004020e+00  3.82960031e+00  2.49969365e+00  2.49986761e+00 -3.31726601e-05 
 1.14000000e-05  2.50007157e+00  3.82858717e+00  2.49868432e+00  2.49921244e+00 -3.31783997e-05 
 1.64000000e-05  2.50010286e+00  3.82693419e+00  2.49703899e+00  2.49790834e+00 -3.31888178e-05 
 2.14000000e-05  2.50013406e+00  3.82482992e+00  2.49494567e+00  2.49605855e+00 -3.32029169e-05 
 2.64000000e-05  2.50016512e+00  3.82243081e+00  2.49255987e+00  2.49383246e+00 -3.32195036e-05 
 3.14000000e-05  2.50019601e+00  3.81984255e+00  2.48998657e+00  2.49136167e+00 -3.32377009e-05 
 3.64000000e-05  2.50022672e+00  3.81713563e+00  2.48729575e+00  2.48873519e+00 -3.32569187e-05 
 4.14000000e-05  2.50025720e+00  3.81435725e+00  2.48453430e+00  2.48601250e+00 -3.32767625e-05 
 4.64000000e-05  2.50028743e+00  3.81153937e+00  2.48173395e+00  2.48323361e+00 -3.32969663e-05 
 5.14000000e-05  2.50031737e+00  3.80870394e+00  2.47891649e+00  2.48042574e+00 -3.33173485e-05 
 5.64000000e-05  2.50034700e+00  3.80586633e+00  2.47609719e+00  2.47760772e+00 -3.33377829e-05 
 6.14000000e-05  2.50037629e+00  3.80303758e+00  2.47328702e+00  2.47479288e+00 -3.33581797e-05 
 6.64000000e-05  2.50040521e+00  3.80022592e+00  2.47049414e+00  2.47199089e+00 -3.33784732e-05 
 7.14000000e-05  2.50043372e+00  3.79743767e+00  2.46772483e+00  2.46920907e+00 -3.33986132e-05 
 7.64000000e-05  2.50046181e+00  3.79467793e+00  2.46498417e+00  2.46645316e+00 -3.34185600e-05 
 8.14000000e-05  2.50048944e+00  3.79195097e+00  2.46227638e+00  2.46372784e+00 -3.34382810e-05 
 8.64000000e-05  2.50051659e+00  3.78926051e+00  2.45960516e+00  2.46103710e+00 -3.34577480e-05 
 9.14000000e-05  2.50054323e+00  3.78660987e+00  2.45697381e+00  2.45838445e+00 -3.34769361e-05 
 9.64000000e-05  2.50056934e+00  3.78400213e+00  2.45438539e+00  2.45577309e+00 -3.34958224e-05 
 1.01400000e-04  2.50059488e+00  3.78144018e+00  2.45184276e+00  2.45320598e+00 -3.35143858e-05 
 1.06400000e-04  2.50061983e+00  3.77892675e+00  2.44934863e+00  2.45068591e+00 -3.35326059e-05 
 1.11400000e-04  2.50064418e+00  3.77646447e+00  2.44690562e+00  2.44821557e+00 -3.35504638e-05 
 1.16400000e-04  2.50066788e+00  3.77405588e+00  2.44451624e+00  2.44579750e+00 -3.35679406e-05 
 1.21400000e-04  2.50069093e+00  3.77170343e+00  2.44218293e+00  2.44343419e+00 -3.35850186e-05 
 1.26400000e-04  2.50071330e+00  3.76940952e+00  2.43990806e+00  2.44112806e+00 -3.36016802e-05 
 1.31400000e-04  2.50073496e+00  3.76717646e+00  2.43769392e+00  2.43888142e+00 -3.36179087e-05 
 1.36400000e-04  2.50075590e+00  3.76500649e+00  2.43554275e+00  2.43669655e+00 -3.36336875e-05 
 1.41400000e-04  2.50077609e+00  3.76290179e+00  2.43345669e+00  2.43457565e+00 -3.36490008e-05 
 1.46400000e-04  2.50079552e+00  3.76086448e+00  2.43143785e+00  2.43252083e+00 -3.36638331e-05 
 1.51400000e-04  2.50081416e+00  3.75889660e+00  2.42948825e+00  2.43053417e+00 -3.36781695e-05 
 1.56400000e-04  2.50083199e+00  3.75700012e+00  2.42760984e+00  2.42861765e+00 -3.36919956e-05 
 1.61400000e-04  2.50084901e+00  3.75517695e+00  2.42580450e+00  2.42677320e+00 -3.37052975e-05 
 1.66400000e-04  2.50086519e+00  3.75342890e+00  2.42407406e+00  2.42500267e+00 -3.37180617e-05 
 1.71400000e-04  2.50088051e+00  3.75175774e+00  2.42242023e+00  2.42330782e+00 -3.37302755e-05 
 1.76400000e-04  2.50089497e+00  3.75016513e+00  2.42084468e+00  2.42169036e+00 -3.37419265e-05 
 1.81400000e-04  2.50090854e+00  3.74865268e+00  2.41934898e+00  2.42015191e+00 -3.37530030e-05 
 1.86400000e-04  2.50092121e+00  3.74722189e+00  2.41793464e+00  2.41869401e+00 -3.37634939e-05 
 1.91400000e-04  2.50093298e+00  3.74587421e+00  2.41660308e+00  2.41731812e+00 -3.37733885e-05 
 1.96400000e-04  2.50094382e+00  3.74461099e+00  2.41535562e+00  2.41602562e+00 -3.37826771e-05 
 2.01400000e-04  2.50095374e+00  3.74343348e+00  2.41419352e+00  2.41481781e+00 -3.37913501e-05 
 2.06400000e-04  2.50096271e+00  3.74234288e+00  2.41311795e+00  2.41369590e+00 -3.37993988e-05 
 2.11400000e-04  2.50097073e+00  3.74134027e+00  2.41212998e+00  2.41266102e+00 -3.38068152e-05 
 2.16400000e-04  2.50097780e+00  3.74042667e+00  2.41123061e+00  2.41171419e+00 -3.38135918e-05 
 2.21400000e-04  2.50098390e+00  3.73960299e+00  2.41042073e+00  2.41085638e+00 -3.38197218e-05 
 2.26400000e-04  2.50098903e+00  3.73887005e+00  2.40970116e+00  2.41008844e+00 -3.38251989e-05 
 2.31400000e-04  2.50099318e+00  3.73822859e+00  2.40907262e+00  2.40941114e+00 -3.38300177e-05 
 2.36400000e-04  2.50099635e+00  3.73767925e+00  2.40853575e+00  2.40882516e+00 -3.38341733e-05 
