 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 0.00000000e+00  2.50000000e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711234e-05 
 5.00000000e-08  2.50000031e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711236e-05 
 1.00000000e-07  2.50000063e+00  3.82990743e+00  2.50000000e+00  2.50000000e+00 -3.31711240e-05 
 2.00000000e-07  2.50000126e+00  3.82990742e+00  2.49999999e+00  2.50000000e+00 -3.31711251e-05 
 4.00000000e-07  2.50000251e+00  3.82990735e+00  2.49999992e+00  2.50000000e+00 -3.31711294e-05 
 8.00000000e-07  2.50000503e+00  3.82990649e+00  2.49999907e+00  2.49999994e+00 -3.31711442e-05 
 1.60000000e-06  2.50001005e+00  3.82989653e+00  2.49998910e+00  2.49999867e+00 -3.31712129e-05 
 3.20000000e-06  2.50002010e+00  3.82980347e+00  2.49989607e+00  2.49997679e+00 -3.31717442e-05 
 6.40000000e-06  2.50004020e+00  3.82918853e+00  2.49928141e+00  2.49972337e+00 -3.31755710e-05 
 1.14000000e-05  2.50007157e+00  3.82722881e+00  2.49732309e+00  2.49849826e+00 -3.31887868e-05 
 1.64000000e-05  2.50010286e+00  3.82458927e+00  2.49468609e+00  2.49634854e+00 -3.32073696e-05 
 2.14000000e-05  2.50013406e+00  3.82173664e+00  2.49183680e+00  2.49368725e+00 -3.32277713e-05 
 2.64000000e-05  2.50016512e+00  3.81882027e+00  2.48892424e+00  2.49083662e+00 -3.32487260e-05 
 3.14000000e-05  2.50019601e+00  3.81588589e+00  2.48599402e+00  2.48792499e+00 -3.32698495e-05 
 3.64000000e-05  2.50022672e+00  3.81295544e+00  2.48306805e+00  2.48499917e+00 -3.32909608e-05 
 4.14000000e-05  2.50025720e+00  3.81003843e+00  2.48015579e+00  2.48207913e+00 -3.33119834e-05 
 4.64000000e-05  2.50028743e+00  3.80714030e+00  2.47726270e+00  2.47917406e+00 -3.33328746e-05 
 5.14000000e-05  2.50031737e+00  3.80426489e+00  2.47439259e+00  2.47628922e+00 -3.33536059e-05 
 5.64000000e-05  2.50034700e+00  3.80141540e+00  2.47154866e+00  2.47342836e+00 -3.33741534e-05 
 6.14000000e-05  2.50037629e+00  3.79859480e+00  2.46873388e+00  2.47059466e+00 -3.33944957e-05 
 6.64000000e-05  2.50040521e+00  3.79580595e+00  2.46595110e+00  2.46779107e+00 -3.34146120e-05 
 7.14000000e-05  2.50043372e+00  3.79305163e+00  2.46320310e+00  2.46502041e+00 -3.34344822e-05 
 7.64000000e-05  2.50046181e+00  3.79033461e+00  2.46049263e+00  2.46228546e+00 -3.34540863e-05 
 8.14000000e-05  2.50048944e+00  3.78765759e+00  2.45782239e+00  2.45958895e+00 -3.34734047e-05 
 8.64000000e-05  2.50051659e+00  3.78502323e+00  2.45519504e+00  2.45693357e+00 -3.34924181e-05 
 9.14000000e-05  2.50054323e+00  3.78243417e+00  2.45261320e+00  2.45432197e+00 -3.35111076e-05 
 9.64000000e-05  2.50056934e+00  3.77989299e+00  2.45007944e+00  2.45175676e+00 -3.35294543e-05 
 1.01400000e-04  2.50059488e+00  3.77740222e+00  2.44759631e+00  2.44924048e+00 -3.35474400e-05 
 1.06400000e-04  2.50061983e+00  3.77496435e+00  2.44516626e+00  2.44677566e+00 -3.35650466e-05 
 1.11400000e-04  2.50064418e+00  3.77258181e+00  2.44279174e+00  2.44436475e+00 -3.35822565e-05 
 1.16400000e-04  2.50066788e+00  3.77025699e+00  2.44047511e+00  2.44201016e+00 -3.35990524e-05 
 1.21400000e-04  2.50069093e+00  3.76799221e+00  2.43821869e+00  2.43971425e+00 -3.36154175e-05 
 1.26400000e-04  2.50071330e+00  3.76578973e+00  2.43602473e+00  2.43747930e+00 -3.36313354e-05 
 1.31400000e-04  2.50073496e+00  3.76365176e+00  2.43389543e+00  2.43530756e+00 -3.36467901e-05 
 1.36400000e-04  2.50075590e+00  3.76158043e+00  2.43183292e+00  2.43320120e+00 -3.36617660e-05 
 1.41400000e-04  2.50077609e+00  3.75957781e+00  2.42983927e+00  2.43116232e+00 -3.36762482e-05 
 1.46400000e-04  2.50079552e+00  3.75764592e+00  2.42791646e+00  2.42919296e+00 -3.36902220e-05 
