 frequency       onoise_spectrum inoise_spectrum
 2.30409298e+02  1.63180744e-05  1.72198659e-07 
 2.37137371e+02  1.60478187e-05  1.69339462e-07 
 2.44061907e+02  1.57842714e-05  1.66551741e-07 
 2.51188643e+02  1.55271562e-05  1.63832529e-07 
 2.58523484e+02  1.52762119e-05  1.61179019e-07 
 2.66072506e+02  1.50311916e-05  1.58588563e-07 
 2.73841963e+02  1.47918618e-05  1.56058656e-07 
 2.81838293e+02  1.45580021e-05  1.53586934e-07 
 2.90068120e+02  1.43294038e-05  1.51171162e-07 
 2.98538262e+02  1.41058697e-05  1.48809227e-07 
 3.07255737e+02  1.38872133e-05  1.46499132e-07 
 3.16227766e+02  1.36732582e-05  1.44238987e-07 
 3.25461783e+02  1.34638373e-05  1.42027007e-07 
 3.34965439e+02  1.32587925e-05  1.39861500e-07 
 3.44746607e+02  1.30579741e-05  1.37740867e-07 
 3.54813389e+02  1.28612404e-05  1.35663591e-07 
 3.65174127e+02  1.26684569e-05  1.33628238e-07 
 3.75837404e+02  1.24794963e-05  1.31633447e-07 
 3.86812055e+02  1.22942376e-05  1.29677929e-07 
 3.98107171e+02  1.21125663e-05  1.27760459e-07 
 4.09732110e+02  1.19343733e-05  1.25879877e-07 
 4.21696503e+02  1.17595553e-05  1.24035080e-07 
 4.34010264e+02  1.15880140e-05  1.22225020e-07 
 4.46683592e+02  1.14196558e-05  1.20448701e-07 
 4.59726989e+02  1.12543917e-05  1.18705177e-07 
 4.73151259e+02  1.10921371e-05  1.16993545e-07 
 4.86967525e+02  1.09328111e-05  1.15312947e-07 
 5.01187234e+02  1.07763368e-05  1.13662565e-07 
 5.15822165e+02  1.06226408e-05  1.12041617e-07 
 5.30884444e+02  1.04716529e-05  1.10449359e-07 
 5.46386550e+02  1.03233061e-05  1.08885080e-07 
 5.62341325e+02  1.01775363e-05  1.07348099e-07 
 5.78761988e+02  1.00342822e-05  1.05837768e-07 
 5.95662144e+02  9.89348508e-06  1.04353463e-07 
 6.13055792e+02  9.75508872e-06  1.02894588e-07 
 6.30957344e+02  9.61903912e-06  1.01460573e-07 
 6.49381632e+02  9.48528448e-06  1.00050869e-07 
 6.68343918e+02  9.35377504e-06  9.86649505e-08 
 6.87859912e+02  9.22446297e-06  9.73023122e-08 
 7.07945784e+02  9.09730224e-06  9.59624684e-08 
 7.28618175e+02  8.97224855e-06  9.46449515e-08 
 7.49894209e+02  8.84925919e-06  9.33493116e-08 
 7.71791516e+02  8.72829297e-06  9.20751150e-08 
 7.94328235e+02  8.60931017e-06  9.08219437e-08 
 8.17523038e+02  8.49227237e-06  8.95893942e-08 
 8.41395142e+02  8.37714248e-06  8.83770766e-08 
 8.65964323e+02  8.26388459e-06  8.71846146e-08 
 8.91250938e+02  8.15246394e-06  8.60116439e-08 
 9.17275935e+02  8.04284686e-06  8.48578120e-08 
 9.44060876e+02  7.93500068e-06  8.37227776e-08 
 9.71627952e+02  7.82889373e-06  8.26062100e-08 
 1.00000000e+03  7.72449523e-06  8.15077883e-08 
 1.02920053e+03  7.62177528e-06  8.04272013e-08 
 1.05925373e+03  7.52070480e-06  7.93641467e-08 
 1.09018449e+03  7.42125548e-06  7.83183308e-08 
 1.12201845e+03  7.32339978e-06  7.72894681e-08 
 1.15478198e+03  7.22711082e-06  7.62772807e-08 
 1.18850223e+03  7.13236242e-06  7.52814985e-08 
 1.22320712e+03  7.03912901e-06  7.43018579e-08 
 1.25892541e+03  6.94738562e-06  7.33381026e-08 
 1.29568670e+03  6.85710787e-06  7.23899821e-08 
 1.33352143e+03  6.76827189e-06  7.14572527e-08 
 1.37246096e+03  6.68085435e-06  7.05396759e-08 
 1.41253754e+03  6.59483239e-06  6.96370193e-08 
 1.45378439e+03  6.51018362e-06  6.87490557e-08 
 1.49623566e+03  6.42688609e-06  6.78755629e-08 
